individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
15,15,41,37,0,4,37,36.75853658536585,0.8965496728138013,2.207901285949491,0.5271784322386545,1.2154570424170832,0.9953112892495982
14,14,41,30,0,11,30,29.8609756097561,0.7283164782867342,1.1129586343760873,0.3713091324081515,0.9876728012241119,1.050175591382571
8,8,42,29,0,13,29,28.885714285714283,0.6877551020408162,0.8957749224725821,0.3584463701922256,0.8734175531487964,0.9571691585295604
1,1,44,30,0,14,30,29.89090909090909,0.6793388429752066,1.075693937075238,0.34781280155287686,0.8289543324361436,0.9217295760268864
4,4,42,28,0,14,28,27.900000000000002,0.6642857142857144,0.6499425806684423,0.3565728632172658,1.2983107006427286,1.0438912733172794
20,20,40,26,0,14,26,25.909999999999997,0.6477499999999999,0.714027389692847,0.35810245633050336,0.8227167515829514,0.9030309181330901
9,9,48,29,0,19,29,28.9375,0.6028645833333334,0.48867828322391155,0.3281620551305406,0.8547183947314426,0.9613015560743323
7,7,47,28,0,19,28,27.942553191489363,0.5945224083295609,0.34332300499524965,0.3264250662608546,0.8044013410370483,0.8985106154863506
16,16,47,27,0,20,27,26.95531914893617,0.5735174287007696,0.18782407978894142,0.3255687556976765,0.7792369188674482,0.8913892818819098
12,12,46,25,0,21,25,24.973913043478262,0.5429111531190927,0.13109828816136307,0.32570046211629,1.0001193897277214,1.08133740098924
17,17,46,23,0,23,23,23,0.5,0.17964054061195042,0.32399180875982375,1.058748081985265,1.0299161025033663
19,19,48,24,0,24,24,24,0.5,-0.05733995073943034,0.3052914980720015,1.4146437885076164,1.1811297319274239
10,10,50,22,0,28,22,22.036,0.44072,-0.260147598064426,0.3125292928549038,1.0521838184952452,1.0837558447195268
11,11,46,18,0,28,18,18.065217391304348,0.3927221172022684,-0.3083906368093042,0.32862808571030316,0.7676961349180895,0.8641587049357298
18,18,48,18,0,30,18,18.075,0.37656249999999997,-0.42707718658209953,0.3316669376492268,1.031346373118682,1.0413394652269328
3,3,43,16,0,27,16,16.07674418604651,0.3738777717685235,-0.5477062911637595,0.34868876278705224,1.0675799523726754,0.8793966284367897
13,13,48,17,0,31,17,17.0875,0.3559895833333333,-1.033307163073498,0.3434327376098459,0.958218758651336,1.0524894097632176
6,6,43,14,0,29,14,14.104651162790699,0.3280151433207139,-0.8910550645020726,0.37548521094455595,1.2382785279375703,0.9495701700908215
2,2,48,7,0,41,7,7.2125,0.15026041666666667,-2.0986964923474685,0.4322177237629507,0.6219881571391712,0.7440633327844024
5,5,48,5,0,43,5,5.2375,0.10911458333333333,-2.363142563734045,0.4894786931203215,1.1384146727574878,1.1544200673001135
