individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
12,12,14,12,0,2,12,11.785714285714286,0.8418367346938777,6.153737442501602,0.8710609561378999,0.2336102787773991,0.5466827155420553
40,40,13,11,0,2,11,10.792307692307693,0.8301775147928995,3.586025867316335,0.9892939302660604,0.8921881575219168,1.1202446437142957
122,122,16,13,0,3,13,12.812500000000002,0.8007812500000001,5.209443392597628,0.7396607746627379,0.27123447884762775,0.48705360115759444
88,88,13,10,0,3,10,9.838461538461539,0.7568047337278107,8.016253005772718,0.7945606370070255,0.5418281786294968,1.068655598623534
117,117,13,10,0,3,10,9.838461538461539,0.7568047337278107,3.2726581909012418,0.7267856640298618,0.4599784993467757,0.7247266042493699
146,146,13,10,0,3,10,9.838461538461539,0.7568047337278107,0.5467852230515015,0.7402416992858262,0.9807526461837279,1.1191362140091123
13,13,17,13,0,4,13,12.841176470588236,0.755363321799308,6.4273828517119815,0.6003205409508392,0.6767088372393038,0.90072875066925
131,131,17,13,0,4,13,12.841176470588236,0.755363321799308,5.343385667497122,0.6381356108217393,0.670436022839084,0.8966480477340272
35,35,16,12,0,4,12,11.850000000000001,0.7406250000000001,0.9685647163777902,0.7092796165373054,0.30708851298212086,0.5416916058850856
87,87,19,14,0,5,14,13.857894736842104,0.7293628808864265,8.294046944084885,0.59278236474446655,0.5958178160630841,0.9317907696894348
53,53,15,11,0,4,11,10.860000000000001,0.7240000000000001,-0.33821066200814376,0.6491637277877632,0.44938841511772953,0.6186029807913137
89,89,15,11,0,4,11,10.860000000000001,0.7240000000000001,5.571586862011393,0.7467170140617623,0.38693011931692767,0.6719780992885066
108,108,18,13,0,5,13,12.866666666666667,0.7148148148148148,5.001986793304669,0.6232060747133595,0.32416872437699784,0.4788851789488557
10,10,14,10,0,4,10,9.871428571428572,0.7051020408163265,5.584504436817162,0.7060385093545599,0.7600091486441544,1.087320476791902
39,39,14,10,0,4,10,9.871428571428572,0.7051020408163265,8.060561391466722,0.6758694510123383,0.5213871854768222,0.795726292241502
44,44,14,10,0,4,10,9.871428571428572,0.7051020408163265,3.7989056682381634,0.7465665875849601,0.43751620256727236,0.7673620177276217
132,132,14,10,0,4,10,9.871428571428572,0.7051020408163265,1.7433978261100658,0.7527448964633282,1.9040090440575548,1.0821462766555612
135,135,14,10,0,4,10,9.871428571428572,0.7051020408163265,6.3013968083720115,0.7457980831628623,0.5004224412434407,0.8199643662185163
103,103,17,12,0,5,12,11.876470588235295,0.6986159169550173,6.23509680868599,0.6526300794266257,1.672924397222747,1.1122567451624263
137,137,17,12,0,5,12,11.876470588235295,0.6986159169550173,8.315869821343837,0.6018515214975163,0.6404180493399193,0.9682252413024023
19,19,13,9,0,4,9,8.884615384615387,0.683431952662722,0.17471186355273932,0.6917081208153592,0.39422041086386794,0.5436743911915507
37,37,13,9,0,4,9,8.884615384615387,0.683431952662722,-0.4454876985568815,0.7697227812059764,2.064254601673407,1.0577986782282478
59,59,13,9,0,4,9,8.884615384615387,0.683431952662722,1.0530609080210174,0.7328226648670138,0.5902386145207182,0.8903393371108178
78,78,13,9,0,4,9,8.884615384615387,0.683431952662722,7.453269332653218,0.7591102369316926,2.755866271446408,1.3365623433974592
82,82,13,9,0,4,9,8.884615384615387,0.683431952662722,2.958592554529168,0.6969828647560292,0.8003595929454886,0.9502709136652384
111,111,13,9,0,4,9,8.884615384615387,0.683431952662722,3.1508109732198424,0.6947158037034549,0.6155364913769952,0.8900933686097595
128,128,13,9,0,4,9,8.884615384615387,0.683431952662722,3.7934878663178786,0.6305994372632392,1.296249434099579,1.2218480212880156
149,149,13,9,0,4,9,8.884615384615387,0.683431952662722,-0.5638874274735399,0.7074969396460699,21.076674833867223,1.1004093504018024
3,3,16,11,0,5,11,10.887500000000001,0.6804687500000001,-0.24006851227820644,0.6076670225287866,0.5845900966034481,0.8055877146547568
84,84,16,11,0,5,11,10.887500000000001,0.6804687500000001,2.7709165492371874,0.7255660923562571,0.4199322108454038,0.620556616837157
14,14,15,10,0,5,10,9.9,0.66,2.3239221167285375,0.6123163311816515,0.5411743959010094,0.6920986711676157
106,106,15,10,0,5,10,9.9,0.66,5.602159446560551,0.6294931765422398,0.7147409362893773,0.9162233114359574
133,133,15,10,0,5,10,9.9,0.66,-2.8262714756771006,0.6649507948676053,0.8448799679265737,1.0079414299088991
139,139,15,10,0,5,10,9.9,0.66,4.38116489223264,0.7015302807991188,0.29695423536483995,0.45258630655882853
127,127,17,11,0,6,11,10.911764705882351,0.6418685121107266,0.20344729409621748,0.5716268703106892,0.877094701207277,1.0217979746804668
45,45,14,9,0,5,9,8.914285714285716,0.6367346938775512,4.6149003990855935,0.6779921650772558,2.618641597941408,2.0929926475021037
49,49,14,9,0,5,9,8.914285714285716,0.6367346938775512,1.0019709308883857,0.656874968897431,0.7444704459662939,1.0150688993920327
79,79,14,9,0,5,9,8.914285714285716,0.6367346938775512,1.9064400636870864,0.700339539356204,0.4417810288041615,0.6822475560660292
118,118,14,9,0,5,9,8.914285714285716,0.6367346938775512,-0.7724895818106244,0.650259798301957,0.708337882571225,0.9751340904641945
143,143,14,9,0,5,9,8.914285714285716,0.6367346938775512,-5.272813989857683,0.6665325520995218,0.46100914839337587,0.6161941255624682
150,150,14,9,0,5,9,8.914285714285716,0.6367346938775512,3.3687291241104353,0.6714637154082747,1.0626384198891012,0.9156635532504421
17,17,13,8,0,5,8,7.930769230769231,0.6100591715976331,-1.905967921585045,0.7793991266629127,0.8418075785642499,1.0752230406329533
34,34,13,8,0,5,8,7.930769230769231,0.6100591715976331,3.2507124574061965,0.6756964736348487,0.5250413139717659,0.6974031968459959
58,58,13,8,0,5,8,7.930769230769231,0.6100591715976331,1.6191722494872198,0.7038143550027633,0.8748066062846225,1.2273141041038635
77,77,13,8,0,5,8,7.930769230769231,0.6100591715976331,5.988317553479462,0.6997086539654056,0.4820135728695998,0.6907001512404839
81,81,13,8,0,5,8,7.930769230769231,0.6100591715976331,-1.020521624807506,0.8565669003004909,0.3938886264445749,0.8676513294526522
86,86,13,8,0,5,8,7.930769230769231,0.6100591715976331,3.694706033982242,0.7123793213901947,0.40108012794761777,0.5895783474546002
11,11,15,9,0,6,9,8.94,0.596,2.2061267766860024,0.6198538290677459,0.698011029006642,0.8878945639984952
63,63,15,9,0,6,9,8.94,0.596,-2.8487070829278673,0.5982447163111696,0.984887780420073,1.0328819205621596
97,97,15,9,0,6,9,8.94,0.596,-0.73266955120903,0.675799961379362,0.40977039282413563,0.6446926316245519
32,32,14,8,0,6,8,7.957142857142857,0.5683673469387756,2.29358653679783,0.648954504570841,0.768009194687722,0.981972671473173
50,50,14,8,0,6,8,7.957142857142857,0.5683673469387756,-3.4605793624703156,0.647403001697847,0.4127718199072409,0.5320544103871029
54,54,14,8,0,6,8,7.957142857142857,0.5683673469387756,-4.756204733128705,0.6676132381976693,1.3908819419600393,1.2452695347589378
65,65,14,8,0,6,8,7.957142857142857,0.5683673469387756,4.928145331100269,0.6283425068680543,0.8494869821977071,1.0110557611469357
113,113,14,8,0,6,8,7.957142857142857,0.5683673469387756,5.163069151793694,0.6556304898438351,0.594821028357388,0.8184183873743468
136,136,14,8,0,6,8,7.957142857142857,0.5683673469387756,-2.6024960307304683,0.6315918916738029,1.0518925977584221,1.065931211576626
