name,value
87,290.61
12,280.327
13,277.599
137,260.891
131,254.956
122,246.883
88,239.618
39,238.379
40,238.186
89,233.031
78,219.198
103,217.004
10,202.559
135,192.009
106,190.693
108,186.424
117,183.108
146,169.063
132,168.847
35,168.402
19,159.371
44,155.666
77,152.212
139,150.015
128,149.347
82,145.389
84,144.316
53,143.792
59,131.679
149,130.374
3,125.773
45,117.941
14,117.253
49,115.134
93,113.192
65,111.829
113,110.823
150,106.874
86,106.051
127,105.53
34,102.339
111,101.723
79,90.888
109,90.872
118,90.127
37,82.555
11,75.993
58,74.572
133,71.496
32,70.509
126,65.076
85,62.677
138,62.568
17,55.575
97,51.247
81,50.696
120,45.999
102,42.698
23,41.788
63,41.704
27,41.655
116,41.265
52,39.63
96,35.347
55,32.524
15,27.764
99,22.847
136,21.778
140,18.983
144,16.781
28,9.703
50,7.958
143,1.631
30,-0.863
76,-2.427
8,-3.792
141,-5.181
20,-10.094
47,-12.386
147,-13.574
38,-17.782
36,-21.557
121,-25.512
6,-26.035
101,-31.025
69,-32.299
74,-32.439
54,-32.689
18,-34.585
22,-34.855
46,-35.031
1,-39.392
94,-39.946
112,-40.219
142,-41.25
24,-41.635
92,-42.758
2,-42.987
95,-44.456
105,-49.066
61,-56.089
91,-58.046
124,-58.775
60,-60.711
16,-64.823
29,-67.366
129,-69.108
33,-70.561
66,-71.294
7,-76.223
114,-85.96
68,-90.844
57,-97.277
148,-101.351
145,-107.967
51,-119.524
41,-122.768
119,-127.788
31,-129.032
70,-129.704
5,-142.696
25,-143.202
72,-145.872
100,-148.701
43,-148.842
75,-152.007
130,-158.692
26,-164.458
123,-175.266
62,-176.218
107,-177.934
67,-179.548
48,-179.956
98,-180.163
134,-187.924
9,-192.502
56,-204.903
71,-214.401
125,-215.819
73,-216.505
104,-219.374
64,-220.975
42,-242.844
80,-249.871
83,-256.345
4,-263.789
110,-269.982
115,-311.055
90,-325.304
21,-355.122
