individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
12,12,18,16,0,2,16,15.766666666666666,0.8759259259259259,2.246303863529474,0.7528233616619462,0.8995518790847193,0.859506222761823
13,13,18,15,0,3,15,14.8,0.8222222222222223,1.8510149932251985,0.6630455554823377,0.99030669276658,1.0918131906433814
10,10,18,14,0,4,14,13.833333333333332,0.7685185185185185,1.4433761111475072,0.6188614009325893,1.2342643827902284,1.0509292620354518
11,11,18,13,0,5,13,12.866666666666667,0.7148148148148148,1.106290785721972,0.5866622096264882,0.6452854664606011,0.8004589648193714
20,20,18,12,0,6,12,11.9,0.6611111111111111,0.8270759383155694,0.5637076705985551,0.7296903304327667,0.8538076562446041
3,3,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.5928958668908872,0.5456865895078237,1.1920907077408591,1.1028048880643506
19,19,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.5648132613394645,0.5487948444120414,0.7553453808436281,0.9092633645187936
7,7,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.20756349490979759,0.5379830361514678,1.3602596668968259,1.0109542900707371
8,8,18,9,0,9,9,9,0.5,-0.0666301355753575,0.5331107335609087,0.7452359323028301,0.8737148775152961
14,14,18,9,0,9,9,9,0.5,0.12049051277876635,0.5274931416257556,0.5790951757564824,0.6629595567668544
17,17,18,9,0,9,9,9,0.5,-0.0371499746190459,0.5374814689760231,0.814606123968104,0.8916662309581282
1,1,18,8,0,10,8,8.033333333333333,0.4462962962962963,-0.17774648152100583,0.5390865752318574,1.0949926544064716,1.1947193906411893
6,6,18,8,0,10,8,8.033333333333333,0.4462962962962963,-0.3440967224367441,0.5327101675448317,1.2454009470685135,1.0586763713738978
16,16,18,8,0,10,8,8.033333333333333,0.4462962962962963,-0.16091517587261825,0.536257146990455,0.8654451173344679,0.9970770874378369
18,18,18,8,0,10,8,8.033333333333333,0.4462962962962963,-0.28441245498255097,0.542121331324119,1.3076155315697882,0.9768162134468874
15,15,18,6,0,12,6,6.1,0.33888888888888885,-0.8335237505735434,0.5665575858055816,0.7917322517506251,0.9085389992977595
9,9,18,5,0,13,5,5.133333333333333,0.28518518518518515,-1.0899779812163353,0.594186676483163,1.100595078056517,0.8158753867634637
2,2,18,4,0,14,4,4.166666666666666,0.23148148148148145,-1.4210939013472161,0.6298818058312607,1.156368781082594,1.2569136265358096
4,4,18,2,0,16,2,2.233333333333333,0.12407407407407406,-2.254837600325564,0.7677707701595539,0.38597083775139274,0.6665508908847165
5,5,18,2,0,16,2,2.233333333333333,0.12407407407407406,-2.2894406493886543,0.7620384319534587,0.9486670686936814,1.0266905981243237
