individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
137,137,15,15,0,0,15,14.700000000000001,0.9800000000000001,4.444070778830723,1.8683846802267072,0.021004553652086463,0.048178582929301876
106,106,14,13,0,1,13,12.742857142857146,0.9102040816326532,2.259033257091348,0.965233982233862,0.5333742130364314,0.8432255611679328
132,132,13,12,0,1,12,11.746153846153847,0.9035502958579882,3.2573531711267365,0.9717527869754946,0.33438266898894603,0.6758226961867116
139,139,13,12,0,1,12,11.746153846153847,0.9035502958579882,2.4627889876846685,1.022743512861136,0.15380667211040427,0.3748291693995188
12,12,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.3435009759231913,0.798230263434777,1.7394907449883814,1.117178537367965
44,44,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.0640796163080353,0.7686668145554088,0.46935762398289554,0.6775876783587271
85,85,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.884269534199123,0.7876335866519167,0.3921956186701633,0.7596042730607446
150,150,14,12,0,2,12,11.785714285714286,0.8418367346938777,2.5732125459193878,0.81355612791249865,0.7018515916682612,0.8622359238034709
122,122,13,11,0,2,11,10.792307692307693,0.8301775147928995,2.3100457997684782,0.8364080804487891,1.0577163979997322,1.2232775281218182
135,135,13,11,0,2,11,10.792307692307693,0.8301775147928995,2.0609770660491016,0.7816562792231608,0.6802627447611006,0.9856309846840308
39,39,12,10,0,2,10,9.8,0.8166666666666668,1.86331490666832,0.7926339104751425,1.0613899089883332,1.1917133306002154
65,65,12,10,0,2,10,9.8,0.8166666666666668,1.9625364580939977,0.8179343219815872,0.7543583327379473,1.1519260360715418
66,66,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.1867182643259793,0.7121239932918375,0.8913072115511491,1.1885957737010355
93,93,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.4193906975648198,0.676020490916889,0.541980997717794,0.7563411664532984
103,103,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.1052812458613204,0.8350639891970271,4.524841466440672,1.6372511266223404
108,108,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.213456463004876,0.7187226356587929,0.6121039979166571,0.8426851775974921
113,113,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.9808636298200637,0.7323333913347573,0.8619159760152885,1.1156959423565767
13,13,9,7,0,2,7,6.833333333333334,0.7592592592592593,1.1892333637545984,0.8527798133073478,0.46195795420260155,0.6882552235213855
78,78,13,10,0,3,10,9.838461538461539,0.7568047337278107,1.0410061445467722,0.7121201859124078,0.5409782710619344,0.7971321234774923
88,88,13,10,0,3,10,9.838461538461539,0.7568047337278107,1.0421884552993008,0.7312242144628327,0.5175294678131126,0.7421074888293622
117,117,43,32,0,11,32,31.85348837209302,0.7407787993510005,2.0212603909933096,0.35992816542586253,0.9031522858465058,0.9831611122699389
20,20,12,9,0,3,9,8.850000000000001,0.7375000000000002,1.9441478400155607,0.7548739118395211,0.416419287445732,0.6221331312725692
8,8,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.029988288114755,0.6459527340228244,1.038786266592796,1.0990998553721236
79,79,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.3236420653650185,0.6338076217933141,0.673804955768212,0.8570764852096387
34,34,11,8,0,3,8,7.863636363636363,0.7148760330578512,1.9577940796999025,0.7374295698296395,0.4212555461074663,0.5582200468194707
40,40,11,8,0,3,8,7.863636363636363,0.7148760330578512,0.8302589065963532,0.7667607155819025,0.5700666617624752,0.7063983699118777
101,101,11,8,0,3,8,7.863636363636363,0.7148760330578512,0.9606148858497913,0.7849433465821808,0.7908712235729479,0.9224721578563257
