name,value
0603_Stress3.pdf,326.53
0709EMT Stress2.pdf,315.977
0215EMT_Stress_2.pdf,283.394
0405_Stress3.pdf,268.688
0913EMT_Stress_2.pdf,239.756
0416_Stress1.pdf,230.102
0205EMT_Stress_3.pdf,229.681
0613_Stress1.pdf,209.754
0916EMT_Stress_1.pdf,202.5
1009_stress_2.pdf,200.286
0402_Stress3.pdf,144.043
0907EMT_stress_1.pdf,114.865
0406_Stress3.pdf,113.577
0702EMT Stress2.pdf,95.245
0216EMT_Stress_2.pdf,84.826
0423_Stress2.pdf,79.74
0706EMT Stress2.pdf,79.081
0109_Stress_1.pdf,38.465
0517_stress_3.pdf,7.695
0521_stress_1.pdf,-8.323
0404_Stress3.pdf,-20.219
0105_Stress_1.pdf,-23.847
0303_Stress_3.pdf,-52.273
0302_Stress_1.pdf,-91.321
0111_Stress2.pdf,-111.202
1004_Stress_1.pdf,-137.04
0407_Stress2.pdf,-144.357
0605_Stress3.pdf,-159.099
0101_Stress2.pdf,-289.541
0807_Stress3.pdf,-298.923
0110_Stress_1.pdf,-331.613
0908EMT_stress_3.pdf,-334.716
0112_Stress_3.pdf,-346.99
0510_Stress_3.pdf,-438.263
0518_stress_2.pdf,-476.478
