name,value
Zelfreflectie 18,313.642
Zelfreflectie 2,309.193
Zelfreflectie 19,253.677
Zelfreflectie 4,241.24
Zelfreflectie 3,172.471
Zelfreflectie 6,137.016
Zelfreflectie 16,111.748
Zelfreflectie 10,106.447
Zelfreflectie 1,56.959
Zelfreflectie 15,-29.979
Zelfreflectie 9,-42.893
Zelfreflectie 20,-50.522
Zelfreflectie 12,-58.71
Zelfreflectie 14,-74.824
Zelfreflectie 21,-88.175
Zelfreflectie 13,-109.267
Zelfreflectie 7,-113.514
Zelfreflectie 17,-152.537
Zelfreflectie 22,-180.871
Zelfreflectie 11,-211.251
Zelfreflectie 5,-219.476
Zelfreflectie 8,-370.374
