name,value
N/A,390.723
0403_Orgaan3.pdf,350.527
0417_Orgaan2.pdf,315.562
0818_Orgaan2.pdf,310.397
401_Orgaan2.pdf,306.284
0307_Orgaan_2.pdf,281.404
0611_Orgaan3.pdf,270.982
0604_Orgaan3.pdf,267.911
0918EMT_Orgaan_1.pdf,265.894
0709EMT Orgaan3.pdf,248.873
0413_Orgaan2.pdf,244.277
0909EMT_orgaan_1.pdf,236.113
0704EMT Orgaan1.pdf,233.903
0402_Orgaan1.pdf,228.386
0210EMT_Orgaan_2.pdf,222.565
0917EMT_orgaan_1.pdf,219.374
0907EMT_orgaan_3.pdf,216.53
0614_Orgaan1.pdf,214.974
0416_Orgaan3.pdf,204.114
0205EMT_Orgaan_2.pdf,192.437
0603_Orgaan1.pdf,189.717
0108_Orgaan_3.pdf,187.074
0421_Orgaan2.pdf,179.052
0212EMT_Orgaan_1.pdf,178.773
0208EMT_Orgaan_3.pdf,174
0816_orgaan_3.pdf,168.329
0424_Orgaan1.pdf,165.255
0608_Orgaan3.pdf,162.714
0911EMT_orgaan_3.pdf,162.269
0418_Orgaan2.pdf,140.624
0802_orgaan_2.pdf,133.676
0710EMT Orgaan1.pdf,133.595
0814_Orgaan3.pdf,132.799
0913_Orgaan1.pdf,123.179
0414_Orgaan3.pdf,123.14
0213EMT_Orgaan_1.pdf,121.705
0601_Orgaan2.pdf,119.291
0410_Orgaan1.pdf,116.082
0507_orgaan_2.pdf,115.937
0102_Orgaan1.pdf,113.394
0405_Orgaan1.pdf,108.879
0215EMT_Orgaan_1.pdf,102.521
0422_Orgaan3.pdf,101.603
0420_Orgaan1.pdf,94.393
0916_Orgaan2.pdf,88.547
0521_Orgaan_3.pdf,84.909
0214EMT_Orgaan_2.pdf,83.387
0201EMT_Orgaan_3.pdf,81.823
0701EMT Orgaan3.pdf,80.289
1009_orgaan_1.pdf,79.574
0811_Orgaan3.pdf,69.261
0702EMT Orgaan3.pdf,65.358
0905EMT_orgaan_1.pdf,59.175
0912EMT_orgaan_3.pdf,55.35
1003_Orgaan3.pdf,52.124
0705EMT Orgaan2.pdf,41.243
0914EMT_orgaan_2.pdf,39.543
0419_Orgaan3.pdf,29.762
0616_Orgaan1.pdf,24.758
0703EMT Orgaan2.pdf,24.161
0105_Orgaan_2.pdf,17.618
0408_Orgaan3.pdf,16.321
0901EMT_orgaan_1.pdf,2.537
0902EMT_Orgaan_2.pdf,-0.943
0216EMT_orgaan_1.pdf,-4.962
0109_Orgaan_3.pdf,-7.583
0820_orgaan_2.pdf,-11.789
0302_orgaan_2.pdf,-14.471
0425_Orgaan3.pdf,-15.98
0906_Orgaan1.pdf,-16.101
0505_orgaan_3.pdf,-20.257
0706EMT Orgaan1.pdf,-20.282
1008_orgaan_2.pdf,-23.918
0707EMT Orgaan1.pdf,-24.477
1006_orgaan_1.pdf,-29.226
0517_orgaan_2.pdf,-30.133
0406_Orgaan2.pdf,-30.64
0613_Orgaan2.pdf,-37.288
0813_Orgaan_1.pdf,-37.428
0910_Orgaan2.pdf,-40.331
0915EMT_Orgaan_3.pdf,-45.008
0607_Orgaan2.pdf,-46.417
0106_Orgaan_3.pdf,-48.188
0409_Orgaan2.pdf,-51.035
0807_Orgaan1.pdf,-51.571
0615_orgaan_2.pdf,-55.101
1002_orgaan_2.pdf,-55.861
0609_Orgaan2.pdf,-57.962
1005_Orgaan_2.pdf,-59.239
0303_Orgaan_2.pdf,-59.747
0815_Orgaan1.pdf,-60.397
0110_Orgaan_2.pdf,-60.902
0407_Orgaan3.pdf,-60.914
0908EMT_orgaan_2.pdf,-66.095
0804_orgaan_3.pdf,-67.047
0404_Orgaan1.pdf,-80.442
0423_Orgaan1.pdf,-85.307
0111_Orgaan_1.pdf,-90.458
0819_Orgaan_1.pdf,-108.843
0412_Orgaan1.pdf,-109.996
0812_orgaan_1.pdf,-111.233
0810_orgaan_2.pdf,-116.471
0104_Orgaan_2.pdf,-118.795
0602_Orgaan2.pdf,-119.545
0516_orgaan_2.pdf,-126.523
0519_orgaan_2.pdf,-128.412
0415_Orgaan1.pdf,-130.336
0904_Orgaan2.pdf,-134.57
0107_Orgaan1.pdf,-135.897
0817_Orgaan3.pdf,-152.874
1004_orgaan_3.pdf,-157.602
0310_Orgaan1.pdf,-163.026
0101_Orgaan1.pdf,-171.564
0803_Orgaan2.pdf,-175.194
0605_Orgaan1.pdf,-181.464
0510_orgaan_1.pdf,-189.646
0821_Orgaan3.pdf,-195.882
0512_orgaan_3.pdf,-200.695
0606_Orgaan3.pdf,-201.826
0301_Orgaan_3.pdf,-205.075
0513_orgaan_3.pdf,-211.273
0805_Orgaan3.pdf,-215.648
0411_Orgaan3.pdf,-229.476
0520_orgaan_2.pdf,-230.77
0903EMT_orgaan_3.pdf,-235.737
0314_Orgaan3.pdf,-242.594
0509_orgaan_1.pdf,-263.494
0502_Orgaan_1.pdf,-265.116
0508_orgaan_1.pdf,-272.439
0801_ORgaan_1.pdf,-272.702
0808_Orgaan_2.pdf,-276.829
0103_Orgaan_3.pdf,-313.749
0112_Orgaan_1.pdf,-322.609
0506_orgaan_1.pdf,-333.279
0501_orgaan_2.pdf,-339.336
0515_orgaan_1.pdf,-355
0518_Orgaan_3.pdf,-381.951
