name,value
33.1,338.539
92.1,332.872
94.1,318.614
35.1,315.712
59.1,312.254
118.1,300.497
60.1,297.221
56.2,285.201
67.2,280.808
63.1,270.743
105.1,267.569
114.1,264.431
72.1,263.338
74.2,261.423
22.1,261.101
37.1,254.587
28.1,250.418
81.1,244.006
117.1,243.238
107.1,237.694
9.2,237.203
112.1,226.586
14.2,224.1
55.1,218.638
61.1,217.981
75.2,215.77
61.2,212.625
56.1,212.18
82.1,208.031
29.1,202.154
119.1,196.366
111.2,190.938
68.1,190.049
120.1,188.493
97.1,187.57
86.1,183.052
93.1,179.654
73.2,175.165
83.1,166.471
47.2,163.987
57.1,144.789
76.2,136.581
58.2,134.788
26.2,132.502
47.1,125.116
34.1,123.744
84.1,122.503
110.2,115.988
73.1,115.678
27.1,93.008
13.2,90.917
44.2,90.211
99.2,83.895
34.2,80.29
31.1,79.681
103.2,73.388
98.1,73.279
102.2,71.282
95.1,68.065
116.1,67.603
64.2,67.27
58.1,65.357
54.2,64.612
30.1,57.821
81.2,54.085
26.1,52.628
75.1,49.071
51.1,43.806
65.1,38.844
43.2,27.371
74.1,12.528
99.1,11.918
77.2,7.273
49.1,7.205
42.2,4.217
45.2,-0.511
79.2,-6.414
19.1,-6.48
60.2,-8.058
2.2,-15.82
90.1,-18.237
62.1,-20.493
52.1,-21.174
113.2,-22.409
17.1,-25.156
66.1,-30.868
64.1,-33.835
18.1,-41.302
25.1,-54.759
69.2,-57.405
72.2,-64.607
50.1,-66.351
32.1,-80.033
108.2,-89.859
80.2,-93.701
41.1,-94.935
12.2,-95.316
16.1,-101.167
11.2,-109.038
59.2,-111.644
57.2,-113.636
23.2,-118.935
42.1,-121.141
43.1,-121.183
106.1,-125.61
101.2,-127.99
109.1,-129.581
78.2,-144.278
104.2,-147.881
85.1,-152.667
35.2,-154.699
91.1,-155.258
114.2,-158.825
22.2,-161.689
52.2,-166.808
115.1,-176.714
113.1,-208.649
38.1,-214.427
46.2,-214.559
76.1,-219.509
25.2,-220.961
89.1,-237.416
53.2,-245.687
41.2,-248.282
21.1,-254.166
15.2,-270.641
44.1,-271.505
115.2,-276.527
109.2,-298.959
105.2,-300.644
84.2,-311.698
48.1,-312.588
118.2,-318.308
77.1,-321.108
48.2,-384.333
83.2,-407.999
3.2,-409.43
112.2,-414.89
51.2,-427.039
20.1,-431.568
10.2,-447.373
65.2,-467.393
45.1,-502.467
