individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
256322-256314-21848795,14,21,21,0,0,21,20.7,0.9857142857142857,4.878765022205832,1.8573829709745493,0.014792703099924951,0.03498467816554106
256322-256314-21858879,19,21,20,0,1,20,19.728571428571428,0.9394557823129251,3.0579358908768373,0.958545075316347,0.24565671977569326,0.7126295765557463
256322-256314-22067929,28,22,20,0,2,20,19.754545454545454,0.8979338842975206,2.466264638053312,0.7415657658516591,1.378971355279724,0.9533217740035383
256322-256314-22113907,31,22,20,0,2,20,19.754545454545454,0.8979338842975206,2.527786837751095,0.7440161610677127,1.8057058669897756,1.0851706094191118
256322-256314-21950198,21,23,20,0,3,20,19.77826086956522,0.8599243856332704,2.4123183879268315,0.6353777064883542,0.5390205127288568,0.7904577541215911
256322-256314-21788135,5,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.3640488140134748,0.6490542726881341,0.8299740778731857,0.9683628886517489
256322-256314-22052022,27,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.289791706072926,0.659454095630719,0.687328316355699,0.8875610363660351
256322-256314-22088225,29,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.4285176302158202,0.6522494554340773,1.1097275958087485,1.0863025538515898
256322-256314-22094276,30,22,19,0,3,19,18.78181818181818,0.8537190082644628,1.6684253950210481,0.6818059765134488,0.9898910388274331,0.8455071429722739
C112.1 word,60,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.1255441262189048,0.6468831367742052,2.108645096301222,1.1516089235576021
C22.1 word,83,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.129490945491061,0.6492368132617595,2.8989007018049473,1.2679353609803272
C37.1 word,100,24,20,0,4,20,19.8,0.8250000000000001,1.4607274189199713,0.5869018759840849,0.4433239049074405,0.741302629129595
C55.1 word,123,23,19,0,4,19,18.804347826086957,0.8175803402646503,1.6486418245568772,0.5935005015306024,0.4241886455321641,0.5700954898445973
256322-256314-21788344,7,22,18,0,4,18,17.80909090909091,0.8095041322314049,1.71343001861483,0.6085675644160026,0.7990597809841679,0.7098645826137643
256322-256314-21853772,17,22,18,0,4,18,17.80909090909091,0.8095041322314049,1.5211715889540618,0.580888538725528,0.7992285460109355,0.8310975927267388
256322-256314-21855861,18,22,18,0,4,18,17.80909090909091,0.8095041322314049,1.3338749130168364,0.6192869762603473,0.43825831500267437,0.7383457566637074
256322-256314-22779100,37,22,18,0,4,18,17.80909090909091,0.8095041322314049,1.9778453954128514,0.5950131252379529,1.3985624098217166,1.2047499417887886
256322-256314-22034228,23,21,17,0,4,17,16.814285714285713,0.8006802721088435,1.9844622942465608,0.602613768391962,0.5599440297799291,0.7150439822079604
C74.2 word,147,25,20,0,5,20,19.82,0.7928000000000001,2.175925275548274,0.5996785316675274,0.966241980790702,1.0057260747336474
256322-256314-22466548,35,20,16,0,4,16,15.82,0.791,1.5738122781185584,0.5964704715733076,1.2455198191063819,0.9559135917930122
C54.2 word,122,20,16,0,4,16,15.82,0.791,1.9017943599799814,0.6180328928005455,1.014439906340802,1.0311066911067615
256322-256314-22041283,26,24,19,0,5,19,18.825,0.7843749999999999,1.6017081728867653,0.5366873065638429,0.5666796555826562,0.809727776273239
256322-256314-21799725,9,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.4520800203207676,0.5732451455020668,0.6689780025535123,0.9984770770273546
256322-256314-21800794,10,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.5613830057605538,0.5577150335441353,1.066725158241715,1.0774874483701529
256322-256314-21860772,20,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.9334451401298045,0.5925923600109626,0.948002028683251,0.9760737279231898
256322-256314-22039322,24,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.9179540783942535,0.5558067261846484,0.9621947430276901,1.2137602877397244
256322-256314-22118172,33,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.6948551772479634,0.6061721193587923,1.7505748281247882,1.6145596053378715
C47.2 word,114,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.8407769232342168,0.5550978469802225,0.8999855177724091,1.016985212483178
C59.1 word,129,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.1887504153184045,0.5704397366493879,0.5154366244782849,0.7831435478456696
C94.1 word,170,21,16,0,5,16,15.842857142857142,0.7544217687074829,1.2041538375196665,0.5721004739929118,0.8954900656809889,0.9965019645912284
256322-256314-21849538,15,24,18,0,6,18,17.85,0.74375,1.6781824154762068,0.5232572762294887,0.6433305382930269,0.9112346359988842
256322-256314-21847156,12,23,17,0,6,17,16.856521739130432,0.7328922495274101,1.663295205774074,0.5403004812801672,0.5477008917968927,0.7878150580041896
256322-256314-21851432,16,22,16,0,6,16,15.863636363636363,0.7210743801652892,0.5874217369089553,0.5438936201709518,0.778899471020502,0.9650477497118906
256322-256314-22034134,22,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.6109980900299607,0.5475191584972994,0.6274034347159858,0.7322400559677648
C56.1 word,124,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.6294626396826144,0.5207200925631367,0.6938208713448646,0.8719785658048071
C21.1 word,82,25,18,0,7,18,17.868,0.7147199999999999,1.4930091496064437,0.5051968444336511,0.4764394451087992,0.6796616101585541
256322-256314-22824794,43,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.2045508788373758,0.5751147263775488,0.9095007648538657,1.0335826145394296
C103.2 word,48,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.012952839369184,0.6055285382025676,0.43200315997663724,0.7133595458002006
C117.1 word,69,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.2238652724332904,0.5577357245810038,0.8540481084360222,0.8795941966072169
C118.2 word,70,23,16,0,7,16,15.882608695652173,0.6905482041587901,1.221289689697376,0.5259194854629924,0.6961970336384397,0.8958051073841014
C46.2 word,112,22,15,0,7,15,14.890909090909092,0.6768595041322315,1.0903831375585828,0.4957273527846554,1.848510412577164,1.0916659614122322
C99.1 word,174,22,15,0,7,15,14.890909090909092,0.6768595041322315,0.906368834145209,0.5042031810270993,1.119371516111684,1.248453781742846
256322-256314-22824807,44,24,16,0,8,16,15.9,0.6625,0.9060710158663863,0.5000719323797099,0.849562094758689,0.8712013106231808
C81.1 word,155,21,14,0,7,14,13.899999999999999,0.6619047619047619,1.27267662726781,0.5193602803237962,0.6520633583287837,0.8197755162941672
256322-256314-22780844,39,23,15,0,8,15,14.908695652173913,0.6482041587901701,1.3479118739533489,0.5150740744575124,0.6326418489499709,0.8309273209524025
C120.1 word,73,23,15,0,8,15,14.908695652173913,0.6482041587901701,1.1738051231938795,0.536911299687277,0.6646995053430739,0.8886076958319683
256322-256314-21839336,11,22,14,0,8,14,13.918181818181818,0.6326446280991735,1.0070513791883127,0.4961492691370335,0.9284825445260363,0.9043214581802382
256322-256314-22824745,41,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.7109234979488097,0.5304039906396918,0.6753934123284053,0.8950565138870629
256322-256314-22828688,45,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.7354562413812697,0.5067757558623214,0.5742419696340076,0.6831503901696204
C106.1 word,52,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.913167736423107,0.5186701069955684,0.7157246454398895,0.8083389064548414
C58.2 word,128,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.13334199528735108,0.5188752493761085,0.48039114100734415,0.6425294380336897
C83.2 word,159,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.7721802917451612,0.49683177136671125,1.0960277612709186,1.075545732516153
256322-256314-21788277,6,24,15,0,9,15,14.925,0.6218750000000001,0.5264522738786359,0.47864394648858766,0.8771012231190722,1.0441889414462988
C35.1 word,99,24,15,0,9,15,14.925,0.6218750000000001,0.9305338050827785,0.49252822428448667,0.6583043651771567,0.8341961451894885
C44.1 word,108,24,15,0,9,15,14.925,0.6218750000000001,0.10268819297912829,0.4772274746243718,0.9110476240715236,1.0900290879088286
256322-256314-22824759,42,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.4264781021663877,0.5276622526125516,1.050916233680945,1.1522176826124984
C63.1 word,135,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.7671856948696124,0.502497435055053,0.5531687283464839,0.6678967409542104
C82.1 word,157,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.6075921283439445,0.5621226290438933,0.5192972414637109,0.7208630437062412
C84.1 word,160,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.5921796902884391,0.5160383322095673,0.9447878999953095,1.0358673693743476
256322-256314-22759029,36,26,16,0,10,16,15.930769230769231,0.6127218934911243,0.6144445625548528,0.46076808033915156,0.8926910098569406,1.0665335012709445
C58.1 word,127,23,14,0,9,14,13.93478260869565,0.60586011342155,0.47027146253812424,0.4649555852558645,0.9331553129972557,1.0065057469521599
256322-256314-22114669,32,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.6348187932656658,0.4849215439917671,0.9626032732948141,1.047917650173623
C114.2 word,65,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.7401652116426053,0.49658421078048665,0.7946845098936103,0.9480603555344465
C38.1 word,101,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.3113615647016268,0.5339629896656407,0.5345594140080301,0.7305241313697343
C43.1 word,106,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.17356832187568677,0.5023575194368431,0.6883653407510264,0.7651261557556019
C57.1 word,126,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.9783573336249336,0.4908488501884381,1.0448679423637006,1.1939549419620235
C61.2 word,133,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.5611087581080335,0.5150506517135247,1.4983671605588775,1.491849287447851
C64.1 word,136,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.2803959372009409,0.5013355107050974,0.8230612940235958,0.9829805935652343
C64.2 word,137,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.4595435043180361,0.5012175907818343,0.6729500882400973,0.7910271756510289
C84.2 word,161,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.433269573792065,0.5051026233310918,0.8407590247151376,1.057445706042192
256322-256314-22795338,40,21,12,0,9,12,11.957142857142857,0.5693877551020409,-0.005484789211657043,0.5092058352459107,0.8902550074970274,1.006237422061252
C74.1 word,146,21,12,0,9,12,11.957142857142857,0.5693877551020409,0.00512398128017174,0.4902832287891038,0.7988652722078461,0.9230663778422971
C47.1 word,113,23,13,0,10,13,12.960869565217392,0.5635160680529301,0.39010123162021393,0.4829727897939903,0.7323715576814208,0.8168265971201536
256322-256314-21787437,1,22,12,0,10,12,11.972727272727271,0.5442148760330577,0.03328610468955361,0.5057541443807244,1.1991767077116928,1.3836673232647247
256322-256314-22159528,34,22,12,0,10,12,11.972727272727271,0.5442148760330577,0.19934995949752862,0.5063796501348427,1.5807011508923823,1.285915131261203
256322-256314-22780604,38,22,12,0,10,12,11.972727272727271,0.5442148760330577,0.4142031466695419,0.4935049371001184,1.0865458374270616,1.081215193021951
C102.2 word,47,22,12,0,10,12,11.972727272727271,0.5442148760330577,0.45651415060969536,0.5128795800836176,0.6673168529708082,0.7795138149143671
