individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
C55.1 word,123,22,19,0,3,19,18.78181818181818,0.8537190082644628,2.047876588090743,0.62364777552712,1.0255578091446065,1.0776559444470402
256322-256314-21848795,14,19,16,0,3,16,15.794736842105262,0.8313019390581717,1.5894581891831387,0.6404209435582525,0.6207502917206645,0.7929837738116905
C52.2 word,121,19,16,0,3,16,15.794736842105262,0.8313019390581717,1.4143200635732653,0.6282110618399873,0.9982362694859827,0.9400712409938079
256322-256314-21858879,19,21,17,0,4,17,16.814285714285713,0.8006802721088435,1.7209836790834125,0.5657766222798127,1.0105228449906924,1.0507794029580753
C13.2 word,74,21,17,0,4,17,16.814285714285713,0.8006802721088435,1.3944285100863443,0.5618451766168341,0.7670948299739906,0.9450656275811543
256322-256314-22034228,23,20,16,0,4,16,15.82,0.791,1.324939204388321,0.5684628666137379,0.9004509010156975,0.948279070522627
256322-256314-22088225,29,20,16,0,4,16,15.82,0.791,1.3447354571196455,0.5720405805783787,1.1542035033235423,1.07025248742856
C114.2 word,65,20,16,0,4,16,15.82,0.791,1.3796672082716874,0.5827655014524452,0.9297101570879054,0.8835405740468615
C99.1 word,174,20,16,0,4,16,15.82,0.791,1.3235030973132245,0.5750530811381293,0.9795335587729926,1.0510125606386
256322-256314-22041283,26,21,16,0,5,16,15.842857142857142,0.7544217687074829,1.354727934223291,0.5389500141803525,0.9429236385410915,1.1090170691258767
256322-256314-22159528,34,21,16,0,5,16,15.842857142857142,0.7544217687074829,1.2605387239132932,0.5251471551593522,0.7885114235560566,0.9019830969992191
C115.2 word,67,21,16,0,5,16,15.842857142857142,0.7544217687074829,1.141463591846221,0.5420734907434865,0.6287933641640182,0.8396268276137315
C61.1 word,132,20,15,0,5,15,14.850000000000001,0.7425,1.0498786241382614,0.5451820334004279,0.7360958383427172,0.888386066859424
C81.2 word,156,16,12,0,4,12,11.850000000000001,0.7406250000000001,1.215296567524275,0.5983679564589836,0.8548985049726219,0.9414922892020925
C28.1 word,91,19,14,0,5,14,13.857894736842104,0.7293628808864265,0.8457808712465648,0.5357064432402897,0.6950538719788948,0.8153147810074701
C86.1 word,163,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.1082790873535966,0.49959525913027003,1.4572130166517483,1.336669464030475
256322-256314-21839336,11,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.1334301198534613,0.4997936790737476,1.0992081295579859,1.0898181078288178
256322-256314-22113907,31,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.001233630056473,0.5213811739477893,1.514657662791238,1.0949780343912352
C117.1 word,69,21,15,0,6,15,14.871428571428572,0.7081632653061225,0.9366279533476874,0.5106681178901589,1.0710333617536187,1.0357534009710498
C31.1 word,95,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.0543915763481733,0.4974878119539591,0.9383762130297952,0.8813734153753385
C83.2 word,159,21,15,0,6,15,14.871428571428572,0.7081632653061225,0.9048398516164186,0.5086666009550609,0.7729675715314441,0.9323046881622751
C74.2 word,147,17,12,0,5,12,11.876470588235295,0.6986159169550173,0.8281150942235005,0.5566413910583315,1.1307688570879098,1.0205740595517196
256322-256314-22052022,27,20,14,0,6,14,13.879999999999999,0.694,1.0271839253818191,0.5217040291282561,0.6531928712795991,0.732343025666395
256322-256314-22067929,28,20,14,0,6,14,13.879999999999999,0.694,1.1155573373478291,0.5042946935925868,0.803745433776103,0.8967015999745306
256322-256314-22795338,40,20,14,0,6,14,13.879999999999999,0.694,0.9969351907086411,0.5206091611961664,0.9762132160982485,1.131949089139245
C103.2 word,48,20,14,0,6,14,13.879999999999999,0.694,1.216642813713887,0.5181045455377769,0.6563157517340911,0.7773052365815762
C118.2 word,70,20,14,0,6,14,13.879999999999999,0.694,1.0529869020546714,0.5026509883636348,1.0170983149201307,1.0405265863684818
C94.1 word,170,20,14,0,6,14,13.879999999999999,0.694,0.745182608981487,0.5234559970682998,0.6353258456902667,0.764861013442981
256322-256314-22780844,39,19,13,0,6,13,12.889473684210527,0.678393351800554,0.9721787767134619,0.5314576655046359,0.8399317133295431,0.9365238240131788
C58.1 word,127,19,13,0,6,13,12.889473684210527,0.678393351800554,1.2483039878140463,0.536313713598409,0.7439530396624526,0.8828734964519306
256322-256314-21853772,17,21,14,0,7,14,13.899999999999999,0.6619047619047619,0.9265177789835375,0.47952320453907266,0.7457365954922397,0.8235930232555989
C104.2 word,49,21,14,0,7,14,13.899999999999999,0.6619047619047619,0.6522467057984122,0.4904950147651557,0.8579765058453829,0.9604447895878578
C56.1 word,124,21,14,0,7,14,13.899999999999999,0.6619047619047619,0.661548567449077,0.4936988036178393,0.9662999288938482,1.0203235636072752
C64.1 word,136,21,14,0,7,14,13.899999999999999,0.6619047619047619,0.6034296191794225,0.48180574424703404,1.0155594257838907,1.0775933371267912
C82.1 word,157,21,14,0,7,14,13.899999999999999,0.6619047619047619,0.7421539468852958,0.49512949769162723,0.8977930084806423,0.9099828913843518
C111.2 word,59,18,12,0,6,12,11.9,0.6611111111111111,0.7300395344214728,0.5260678944898408,0.76587087461673,0.8545937376238589
256322-256314-22466548,35,20,13,0,7,13,12.91,0.6455,0.5806777159775821,0.5030407487858849,0.8247791991094051,0.8795556921414627
256322-256314-22828688,45,20,13,0,7,13,12.91,0.6455,0.4598525772740067,0.5106711429561425,0.8694123641248772,1.0287476004762166
C110.2 word,58,20,13,0,7,13,12.91,0.6455,0.7454951440977143,0.4967344301056201,0.9025874204994591,0.9580627316009193
C21.1 word,82,17,11,0,6,11,10.911764705882351,0.6418685121107266,0.8339708015392704,0.5571483812025848,0.8161579061393467,0.924991269756405
C32.1 word,96,17,11,0,6,11,10.911764705882351,0.6418685121107266,0.6049631290988781,0.5495302093637668,0.7399119560954065,0.855980874595054
C102.2 word,47,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.5987867578258762,0.5028848994487568,0.6877139976459266,0.7479539891501242
C77.1 word,152,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.7173486369925691,0.5022632372517567,0.786289218478384,0.8591851205527314
C80.2 word,154,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.1504726394808558,0.496374832745907,0.8419221303795731,0.8937596392871664
256322-256314-22779100,37,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.37421658742298364,0.4656238093961243,0.9775300087474739,1.0059911749985828
C54.2 word,122,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.6911851980991643,0.47312386228049164,1.0350313789838428,1.0404631589716236
C60.2 word,131,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.8182612030703648,0.4728203144094936,0.9065000530298638,0.9563886527728682
C35.1 word,99,18,11,0,7,11,10.933333333333334,0.6074074074074074,0.19120877187886748,0.5374560393600252,1.453746691496333,1.3140696034878354
C30.1 word,94,23,14,0,9,14,13.93478260869565,0.60586011342155,0.22858624689339974,0.45494863246848843,0.9351991537095018,1.0370729678497987
C106.1 word,52,20,12,0,8,12,11.94,0.597,0.6430671079792102,0.48210678291246656,1.1333264221852797,1.1673556583852271
C47.2 word,114,20,12,0,8,12,11.94,0.597,0.7023910529644369,0.5093845742067008,0.7123302174584543,0.8059427886998005
C90.1 word,166,15,9,0,6,9,8.94,0.596,0.6657527343434084,0.5616552986907128,1.3076537197344311,1.2050405050338244
C34.1 word,98,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.44255773327136805,0.46527934807716076,0.8911748145166982,0.9301833991555849
C120.1 word,73,17,10,0,7,10,9.947058823529412,0.585121107266436,0.2582295009645865,0.5217409871118253,0.7543301256096387,0.8065058864137572
256322-256314-22824794,43,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.21157025914149666,0.5246182846946748,0.8946818468062877,1.028395883308029
C19.1 word,79,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.37006325967448833,0.4956123837555863,0.9758248004717075,1.057513321591992
C22.1 word,83,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.3997130695892097,0.5017267196859087,1.6211722078675714,1.4635127279121922
C43.2 word,107,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.4154461546860258,0.507196195686575,1.0486673084640443,1.1078914443914012
C59.2 word,130,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.30086193641277076,0.5033022143376328,0.8770515935494977,0.9315926388131176
C72.1 word,143,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.5295153191080103,0.4827838310771924,0.9736542699630143,0.9930753660694255
C79.2 word,153,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.19412734457008315,0.5037605263963705,0.9130087076626787,1.0126667827908575
C98.1 word,173,19,11,0,8,11,10.952631578947368,0.5764542936288088,0.31852382945208585,0.5047758644756782,1.0318556980191698,1.0826859048545427
C14.2 word,75,21,12,0,9,12,11.957142857142857,0.5693877551020409,0.09030422560849057,0.4917403187052049,0.8703873128524215,1.015598588958369
C38.1 word,101,21,12,0,9,12,11.957142857142857,0.5693877551020409,0.29995954902217253,0.48061660527675143,0.6420894672119017,0.7258571871605571
C75.2 word,149,21,12,0,9,12,11.957142857142857,0.5693877551020409,0.23268833373069084,0.47170111398700865,1.1736403444090613,1.0635252924028513
256322-256314-22824807,44,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.3950879236039068,0.5113979817398757,1.1922382824590925,1.136710169475324
C37.1 word,100,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.5460835220223228,0.5054352510749242,0.8860338266870242,0.9038273582357946
C49.1 word,116,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.3186854974841284,0.5085259230405393,0.94826690981654,1.0158588904203307
256322-256314-21788344,7,20,11,0,9,11,10.969999999999999,0.5485,-0.004027166879964105,0.5110699232879733,1.123023164378204,1.0534188497032566
256322-256314-21855861,18,20,11,0,9,11,10.969999999999999,0.5485,-0.0030846847562460084,0.4872672488237113,1.1546676354104415,1.0876826590905724
256322-256314-22039322,24,20,11,0,9,11,10.969999999999999,0.5485,0.16970275405022633,0.48362863668716416,1.4190326391703116,1.251774046984997
C105.1 word,50,20,11,0,9,11,10.969999999999999,0.5485,0.26006128441787024,0.4704999120328578,0.9035696877041872,0.940874705952036
