name,value
C55.1 word,308.442
256322-256314-21858879,266.824
256322-256314-21848795,244.863
C52.2 word,229.935
C13.2 word,224.884
C114.2 word,221.08
256322-256314-22034228,217.374
C99.1 word,217.002
256322-256314-22088225,216.624
256322-256314-22041283,215.768
256322-256314-22159528,209.195
C115.2 word,187.423
C86.1 word,185.357
256322-256314-21839336,182.756
C103.2 word,181.266
C81.2 word,180.719
C58.1 word,179.607
256322-256314-22067929,178.467
C61.1 word,176.673
C118.2 word,168.87
C31.1 word,167.417
256322-256314-22113907,162.615
256322-256314-22795338,159.574
256322-256314-22052022,158.36
C117.1 word,158.04
C28.1 word,150.486
C83.2 word,149.721
256322-256314-22780844,146.188
256322-256314-21853772,144.293
C74.2 word,138.267
C94.1 word,127.396
C82.1 word,123.457
C60.2 word,122.749
C110.2 word,121.618
C21.1 word,119.024
C111.2 word,114.28
C77.1 word,113.165
C104.2 word,112.741
C56.1 word,112.62
C54.2 word,110.423
C64.1 word,106.216
C102.2 word,101.234
C47.2 word,98.041
C32.1 word,97.205
256322-256314-22466548,97.071
C106.1 word,95.21
C90.1 word,87.171
C72.1 word,78.432
C37.1 word,78.37
256322-256314-22828688,78.236
C34.1 word,70.011
256322-256314-22779100,69.89
C22.1 word,65.133
C43.2 word,64.171
256322-256314-22824807,56.476
C19.1 word,56.37
C114.1 word,54.9
C98.1 word,50.033
C30.1 word,49.958
C49.1 word,47.92
C80.2 word,46.439
C120.1 word,45.293
C35.1 word,44.653
C59.2 word,43.316
C105.1 word,42.405
C38.1 word,42.303
C56.2 word,41.226
C27.1 word,40.304
C45.1 word,39.851
256322-256314-22824794,39.62
C75.1 word,38.53
C75.2 word,37.075
C95.1 word,35.536
C79.2 word,33.525
C81.1 word,33.041
256322-256314-22039322,32.059
256322-256314-21788135,32.051
C9.2 word,31.621
C89.1 word,27.885
C44.1 word,26.458
C11.2 word,23.356
C14.2 word,21.089
C33.1 word,19.668
256322-256314-21860772,13.62
C16.1 word,13.456
256322-256314-21788344,12.118
C52.1 word,11.266
256322-256314-22114669,10.263
256322-256314-21855861,9.096
256322-256314-21787881,7.366
C109.2 word,6.828
256322-256314-21787437,3.507
C51.2 word,2.175
C109.1 word,-1.063
C113.2 word,-2.204
C116.1 word,-4.062
256322-256314-21847156,-7.863
256322-256314-21799725,-9.628
C41.2 word,-9.662
C74.1 word,-12.477
C68.1 word,-12.511
C84.2 word,-14.237
C61.2 word,-14.327
C66.1 word,-19.534
C73.2 word,-21.801
C105.2 word,-21.961
C65.1 word,-22.338
C113.1 word,-23.124
C3.2 word,-24.122
C25.1 word,-25.686
256322-256314-21788277,-27.195
256322-256314-21787935,-27.222
C101.2 word,-29.052
C97.1 word,-30.046
C64.2 word,-30.751
C20.1 word,-32.757
256322-256314-21851432,-36.823
256322-256314-21788390,-39.266
C26.2 word,-39.721
C112.1 word,-40.154
C43.1 word,-44.361
C2.2 word,-49.984
C42.2 word,-54.086
C45.2 word,-57.27
256322-256314-21950198,-59.577
256322-256314-22094276,-61.558
C84.1 word,-64.29
256322-256314-21787574,-65.809
C93.1 word,-66.888
C18.1 word,-70.628
256322-256314-21847713,-75.184
C23.2 word,-75.264
256322-256314-22039885,-76.956
256322-256314-22780604,-78.624
256322-256314-22118172,-79.753
C46.2 word,-84.166
C91.1 word,-87.785
256322-256314-22034134,-93.632
256322-256314-22824745,-95.772
256322-256314-21800794,-96.686
C63.1 word,-101.447
C62.1 word,-101.63
C41.1 word,-102.626
256322-256314-21849538,-110.907
C58.2 word,-115.7
C29.1 word,-120.264
C108.2 word,-120.645
C76.2 word,-152.011
C112.2 word,-152.67
256322-256314-22759029,-154.862
C76.1 word,-155.036
C15.2 word,-157.799
C59.1 word,-158.188
C115.1 word,-161.687
C69.2 word,-166.19
C92.1 word,-167.355
C12.2 word,-177.951
C65.2 word,-179.461
C42.1 word,-188.98
C57.1 word,-199.003
C50.1 word,-210.229
C22.2 word,-217.345
C51.1 word,-230.967
C83.1 word,-246.591
C25.2 word,-246.765
256322-256314-22824759,-275.55
C47.1 word,-275.595
C85.1 word,-290.551
C99.2 word,-292.263
C119.1 word,-295.451
C107.1 word,-300.822
C26.1 word,-303.596
C72.2 word,-360.369
C48.1 word,-393.886
C44.2 word,-412.358
