individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
W12-17-02,54,52,42,0,10,42,41.81538461538461,0.8041420118343194,1.5493628336304204,0.36160868916846467,1.2019569859133996,1.1136447394741127
E23-12-01,32,51,39,0,12,39,38.84117647058823,0.76159169550173,1.26919365066585,0.34168662636963726,1.2178399260176496,1.0901691420399509
W21-06-02,56,49,36,0,13,36,35.85918367346938,0.7318200749687629,1.1397960087206072,0.33699570352625846,0.94596105486935,1.0048676873286204
W22-17-02,66,49,36,0,13,36,35.85918367346938,0.7318200749687629,1.109987320657608,0.3358150804669192,0.9127645588239907,0.9662057261393721
W21-06-01,55,52,37,0,15,37,36.87307692307692,0.7090976331360946,1.031221102624776,0.3168326091444783,1.0771863518225722,1.0540163258747215
A22-08-01,11,49,34,0,15,34,33.88367346938775,0.6915035401915868,0.9072265368189593,0.3244106613050964,0.8646047742441249,0.9314581840152867
O23-12-01,47,49,33,0,16,33,32.89591836734694,0.6713452728029987,0.8932996114919202,0.3195934784429082,0.8490037486685306,0.8967976511707539
W12-17-01,53,51,34,0,17,34,33.9,0.6647058823529411,0.8665422530232973,0.31092483480363026,0.947173950441725,1.0016390616054647
E23-16-02,34,48,32,0,16,32,31.9,0.6645833333333333,0.7954603699270677,0.31845087339547357,0.8313762950483713,0.8937259249262988
E22-03-01,25,53,35,0,18,35,34.90377358490566,0.6585617657529369,0.7723655268232998,0.3052932782049079,0.995737060574282,0.9801128091653585
E22-09-02,28,53,35,0,18,35,34.90377358490566,0.6585617657529369,0.6882823577297904,0.30225032461050455,0.8411383666996982,0.8985039654860583
W22-10-01,64,52,34,0,18,34,33.9076923076923,0.6520710059171596,0.6670235802942782,0.3044961421683916,1.455628985916427,1.125632737360407
A23-16-02,17,49,32,0,17,32,31.908163265306122,0.6511870054144107,0.7281915657797773,0.3165233825691737,1.1035720805749205,1.0401682700510397
A21-13-01,5,50,32,0,18,32,31.916,0.63832,0.6285188332165544,0.3113875192720234,0.8700294294370603,0.9222638028742246
E22-03-02,26,51,32,0,19,32,31.923529411764704,0.6259515570934255,0.5419330061958023,0.30659028971157604,1.0978975819527281,0.964070520292208
A21-13-02,6,50,31,0,19,31,30.927999999999997,0.61856,0.5871722334585793,0.30672485685752743,0.9126613247727329,0.9681354154835017
W21-09-01,57,47,29,0,18,29,28.929787234042553,0.6155273879583522,0.4682871490908512,0.31836500985545024,0.9996686732999712,1.0243158842442899
E23-16-01,33,52,32,0,20,32,31.93076923076923,0.6140532544378698,0.566489146422172,0.30131564101359865,0.9275650518483572,0.9648463447336413
O21-09-02,42,52,32,0,20,32,31.93076923076923,0.6140532544378698,0.4744287372177011,0.30122657842619766,1.1218187912705777,1.0914603535715905
O22-02-02,44,49,30,0,19,30,29.93265306122449,0.6108704706372344,0.5405646109584926,0.30777759654198367,0.9197118870859233,0.899980017493863
O23-12-02,48,49,30,0,19,30,29.93265306122449,0.6108704706372344,0.5330549725139694,0.31007907024476106,1.1255408833080676,1.0730133469720269
A22-22-02,14,52,30,0,22,30,29.953846153846154,0.5760355029585799,0.41348643245434313,0.2955519637976661,1.1816612661134611,1.0841619533472955
O13-03-01,37,52,30,0,22,30,29.953846153846154,0.5760355029585799,0.34706351223344456,0.2976790359167408,1.0077543326751943,1.0245287354092965
E21-17-02,24,47,27,0,20,27,26.95531914893617,0.5735174287007696,0.34812564844998867,0.31188420112492804,1.0700934483674787,1.0068554917015666
E11-06-01,20,48,27,0,21,27,26.9625,0.5617187499999999,0.33965992627103353,0.3076590091412512,1.04173028956951,1.0529429716570153
O13-03-02,38,50,28,0,22,28,27.964000000000002,0.55928,0.17983832305673048,0.30257421339673646,0.7784926860603693,0.8323966477718159
A21-18-02,10,52,29,0,23,29,28.965384615384615,0.5570266272189349,0.29777557644781993,0.2954311620460994,0.9312097414798438,0.958038217748182
