individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
401_alltaskscropped,1357,28,28,0,0,28,27.7,0.9892857142857142,5.680474385656335,1.911930833723911,0.011802298154978514,0.09663552318680523
1214_alltaskscropped,241,27,27,0,0,27,26.7,0.9888888888888888,6.307898512281584,1.90128566964803,0.012099537928883823,0.084458812167067715
190_alltaskscropped,1002,27,27,0,0,27,26.7,0.9888888888888888,5.536310619799408,1.855253377951775,0.011479108751763807,0.03258071463117699
1171_alltaskscropped,193,26,26,0,0,26,25.7,0.9884615384615384,5.196431249248232,1.858892911720314,0.011971913888294982,0.036635867603895124
1870_alltaskscropped,969,26,26,0,0,26,25.7,0.9884615384615384,5.676984609211621,1.8591622808057022,0.01197320715432155,0.036936598748847756
412_alltaskscropped,1369,26,26,0,0,26,25.7,0.9884615384615384,5.571603613434103,1.8568880364930076,0.01194158499667201,0.034401276172689906
635_alltaskscropped,1616,26,26,0,0,26,25.7,0.9884615384615384,5.170580617818118,1.8504646118343078,0.011855868908804025,0.027256119289065343
1106_alltaskscropped,121,25,25,0,0,25,24.7,0.988,5.456500994059017,1.8712967810686,0.012628148401849395,0.05051643456870024
1194_alltaskscropped,218,25,25,0,0,25,24.7,0.988,5.721288699792931,1.85337414123236,0.012368458532044688,0.03049018233115555
390_alltaskscropped,1344,25,25,0,0,25,24.7,0.988,5.782844008450017,1.8572338078204167,0.01242274139092082,0.0347865729761756
67_alltaskscropped,1654,25,25,0,0,25,24.7,0.988,5.79396338846859,1.8647193595559173,0.012526967353288138,0.043145181111290204
1912_alltaskscropped,1016,33,32,0,1,32,31.71818181818182,0.9611570247933885,3.806144107380973,1.0019335930206998,0.20621365668308678,0.9700489281057834
1119_alltaskscropped,135,27,26,0,1,26,25.72222222222222,0.9526748971193415,4.262540844754562,0.9530613715692628,1.0457515439727363,1.0035516862056828
117_alltaskscropped,191,27,26,0,1,26,25.72222222222222,0.9526748971193415,4.018007382764052,0.9456316079759461,1.5607982039052333,0.9939297074806991
1185_alltaskscropped,208,27,26,0,1,26,25.72222222222222,0.9526748971193415,4.343455492774705,0.9331919912068581,0.3564064874660123,0.7966840880039997
1199_alltaskscropped,223,27,26,0,1,26,25.72222222222222,0.9526748971193415,4.043173471469992,0.9403068877496957,0.3563860936227502,0.8235155161154369
1458_alltaskscropped,511,27,26,0,1,26,25.72222222222222,0.9526748971193415,3.7875779495567605,0.9358071797171217,0.20355891439735604,0.6638546243200223
1020_alltaskscropped,26,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.8835942018491205,0.9505873444177207,3.6835306316099357,1.0384924070284716
1043_alltaskscropped,51,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.952741490326684,0.9743779484451786,1.5701083346072162,1.1145672453885493
1138_alltaskscropped,156,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.4623280370048937,0.9600243937493154,0.10930384426309453,0.4498227834569217
1156_alltaskscropped,176,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.071352191986588,1.019565981033305,0.10148723110102251,0.5432096825945607
1172_alltaskscropped,194,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.545281330184894,0.9775354030322684,0.3257913870249523,0.9368301361738618
1207_alltaskscropped,233,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.8706045789764767,0.9374790673326573,0.24170634405437702,0.7102177717839331
1221_alltaskscropped,249,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.868354540226613,0.9374295450291963,0.2806848622086259,0.7506703566024041
1226_alltaskscropped,254,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.525114751411393,0.9643648837540032,0.18273008721303932,0.7049012081050273
124_alltaskscropped,269,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.817862969061463,0.939791412850657,0.2536712237828455,0.7322467048521338
1328_alltaskscropped,367,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.942741218196034,0.9588769363604536,0.41812460254394074,0.9176567281283401
1927_alltaskscropped,1032,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.6545951725938437,0.9657418000344216,0.11914321826929974,0.5093901920919398
384_alltaskscropped,1337,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.068376975872903,0.9728969192596477,0.18123624843643635,0.7267624325335604
392_alltaskscropped,1346,26,25,0,1,25,24.723076923076924,0.9508875739644971,4.314826990475882,0.9955937998479322,0.08318501333635098,0.37621709442003376
394_alltaskscropped,1348,26,25,0,1,25,24.723076923076924,0.9508875739644971,3.694077944921671,0.9738493235168272,0.45820311733062125,0.9934844522834596
113_alltaskscropped,147,25,24,0,1,24,23.723999999999997,0.9489599999999999,3.981629617161266,0.9731681507736226,0.1320671977456879,0.5618849072649591
1132_alltaskscropped,150,25,24,0,1,24,23.723999999999997,0.9489599999999999,3.2851066297195732,1.0134328743590624,0.52812314625917,1.1726782373018896
1204_alltaskscropped,230,25,24,0,1,24,23.723999999999997,0.9489599999999999,3.4801718718021593,0.9570667925443737,8.79045511263481,1.0763988431819134
182_alltaskscropped,913,25,24,0,1,24,23.723999999999997,0.9489599999999999,4.3012708881302615,0.9928700661502985,0.12774677503919635,0.5952410667572249
885_alltaskscropped,1893,25,24,0,1,24,23.723999999999997,0.9489599999999999,3.806633734046736,0.9538496983909257,0.2687362304103403,0.7870673940552746
253_alltaskscropped,1192,45,42,0,3,42,41.739999999999995,0.9275555555555555,3.952009148451342,0.6061268594269041,0.2029293758847868,0.5932391845643085
1201_alltaskscropped,227,28,26,0,2,26,25.742857142857144,0.9193877551020408,3.6499586383818974,0.7871082261658552,1.1165681240795515,1.4606735078354876
4_alltaskscropped,1354,28,26,0,2,26,25.742857142857144,0.9193877551020408,3.84410778137218,0.7655056478750912,0.4450741346803225,0.700673442445223
406_alltaskscropped,1362,28,26,0,2,26,25.742857142857144,0.9193877551020408,4.492134282757773,0.9075604413064812,0.46221179300501286,0.9523965946603501
