name,value
1214_alltaskscropped,526.606
390_alltaskscropped,520.07
1870_alltaskscropped,518.146
124_alltaskscropped,515.065
1194_alltaskscropped,513.925
190_alltaskscropped,506.741
412_alltaskscropped,504.113
67_alltaskscropped,496.752
635_alltaskscropped,492.06
401_alltaskscropped,487.773
1185_alltaskscropped,485.297
1172_alltaskscropped,485.007
1226_alltaskscropped,483.353
1119_alltaskscropped,480.027
1106_alltaskscropped,479.5
1171_alltaskscropped,476.911
253_alltaskscropped,475.114
1199_alltaskscropped,463.936
406_alltaskscropped,463.374
117_alltaskscropped,458.52
501_alltaskscropped,458.143
1221_alltaskscropped,457.094
384_alltaskscropped,452.878
392_alltaskscropped,451.583
1043_alltaskscropped,448.626
1207_alltaskscropped,447.016
182_alltaskscropped,446.638
178_alltaskscropped,446.109
1224_alltaskscropped,445.053
4_alltaskscropped,443.355
1328_alltaskscropped,442.713
1458_alltaskscropped,441.855
1056_alltaskscropped,439.967
113_alltaskscropped,436.507
1020_alltaskscropped,436.328
1201_alltaskscropped,435.55
146_alltaskscropped,431.968
409_alltaskscropped,430.579
849_alltaskscropped,430.022
136_alltaskscropped,429.536
Y7lo,427.606
885_alltaskscropped,427.566
1435_alltaskscropped,427.291
1775_alltaskscropped,426.744
1156_alltaskscropped,424.974
380_alltaskscropped,424.672
1912_alltaskscropped,424.021
388_alltaskscropped,423.582
395_alltaskscropped,422.765
394_alltaskscropped,421.917
1215_alltaskscropped,421.362
1145_alltaskscropped,418.927
1138_alltaskscropped,417.183
1111_alltaskscropped,416.425
1927_alltaskscropped,415.64
1495_alltaskscropped,411.609
1811_alltaskscropped,410.561
435_alltaskscropped,410.266
376_alltaskscropped,410.04
1141_alltaskscropped,409.601
554_alltaskscropped,409.56
1486_alltaskscropped,408.615
998_alltaskscropped,408.343
1916_alltaskscropped,408.307
1828_alltaskscropped,403.162
1204_alltaskscropped,402.618
1187_alltaskscropped,401.054
1036_alltaskscropped,399.758
1723_alltaskscropped,397.514
1083_alltaskscropped,396.077
1223_alltaskscropped,396.054
Y8lo,394.359
400_alltaskscropped,394.276
1057_alltaskscropped,394.061
1232_alltaskscropped,393.236
1225_alltaskscropped,392.804
1104_alltaskscropped,392.283
1169_alltaskscropped,391.782
1485_alltaskscropped,390.614
1117_alltaskscropped,389.812
1603_alltaskscropped,389.662
417_alltaskscropped,388.447
771_alltaskscropped,387.202
1885_alltaskscropped,386.909
1139_alltaskscropped,384.018
1143_alltaskscropped,383.387
1132_alltaskscropped,383.386
414_alltaskscropped,381.786
1062_alltaskscropped,380.207
789_alltaskscropped,379.63
1786_alltaskscropped,379.254
243_alltaskscropped,379.139
201_alltaskscropped,378.799
1795_alltaskscropped,378.349
1070_alltaskscropped,378.315
1184_alltaskscropped,376.809
1431_alltaskscropped,376.499
1133_alltaskscropped,376.486
1040_alltaskscropped,375.768
570_alltaskscropped,372.39
418_alltaskscropped,372.206
1146_alltaskscropped,371.892
209_alltaskscropped,370.973
382_alltaskscropped,370.388
1242_alltaskscropped,369.898
1798_alltaskscropped,369.06
133_alltaskscropped,368.453
1591_alltaskscropped,367.771
411_alltaskscropped,367.25
1900_alltaskscropped,366.762
1128_alltaskscropped,366.754
1212_alltaskscropped,366.699
569_alltaskscropped,365.296
166_alltaskscropped,364.979
1228_alltaskscropped,364.142
1209_alltaskscropped,363.015
1931_alltaskscropped,362.864
1164_alltaskscropped,362.762
1155_alltaskscropped,362.461
Y6lo,362.233
1135_alltaskscropped,360.79
861_alltaskscropped,358.676
1126_alltaskscropped,358.534
342_alltaskscropped,358.089
1463_alltaskscropped,357.133
1836_alltaskscropped,356.656
1390_alltaskscropped,355.372
452_alltaskscropped,354.571
1051_alltaskscropped,354.514
1917_alltaskscropped,353.948
410_alltaskscropped,353.718
518_alltaskscropped,353.65
1470_alltaskscropped,353.239
1042_alltaskscropped,352.031
1829_alltaskscropped,351.284
1507_alltaskscropped,350.143
403_alltaskscropped,349.928
393_alltaskscropped,348.133
255_alltaskscropped,347.57
1377_alltaskscropped,347.293
477_alltaskscropped,346.795
1805_alltaskscropped,346.688
2015_alltaskscropped,344.374
413_alltaskscropped,343.789
825_alltaskscropped,343.762
1123_alltaskscropped,343.391
1808_alltaskscropped,342.172
1048_alltaskscropped,342.059
334_alltaskscropped,341.929
774_alltaskscropped,341.787
1136_alltaskscropped,341.348
1480_alltaskscropped,340.777
1147_alltaskscropped,339.299
232_alltaskscropped,338.515
389_alltaskscropped,337.591
1116_alltaskscropped,337.295
1713_alltaskscropped,336.981
1412_alltaskscropped,336.843
1576_alltaskscropped,336.827
1182_alltaskscropped,336.507
1165_alltaskscropped,336.168
237_alltaskscropped,335.78
379_alltaskscropped,335.536
340_alltaskscropped,334.843
1196_alltaskscropped,334.314
552_alltaskscropped,333.699
1188_alltaskscropped,333.35
1235_alltaskscropped,333.342
1550_alltaskscropped,333.207
781_alltaskscropped,332.688
1498_alltaskscropped,331.65
189_alltaskscropped,330.798
123_alltaskscropped,329.888
398_alltaskscropped,329.373
1975_alltaskscropped,328.489
1152_alltaskscropped,328.356
1978_alltaskscropped,327.186
1796_alltaskscropped,327.116
78_alltaskscropped,326.98
1446_alltaskscropped,326.537
207_alltaskscropped,325.478
589_alltaskscropped,324.894
2009_alltaskscropped,323.679
399_alltaskscropped,323.133
192_alltaskscropped,323.098
100_alltaskscropped,320.619
131_alltaskscropped,319.485
1102_alltaskscropped,319.36
2011_alltaskscropped,318.935
784_alltaskscropped,316.71
1131_alltaskscropped,316.315
405_alltaskscropped,315.887
1216_alltaskscropped,314.434
1810_alltaskscropped,314.387
1120_alltaskscropped,314.04
375_alltaskscropped,312.867
1807_alltaskscropped,312.307
