name,value
155,315.514
153,314.18
73,313.22
72,303.08
25,283.381
86,257.197
152,252.694
131,235.715
121,230.658
168,229.135
96,225.776
77,225.477
50,196.365
8,195.634
140,194.014
225,193.147
22,190.991
76,190.381
88,188.51
33,188.289
154,184.226
135,177.734
74,174.833
4,171.805
75,168.82
105,166.369
24,163.393
58,148.028
114,142.209
145,141.428
97,139.228
115,138.434
116,136.912
47,134.818
175,132.482
195,127.646
125,125.022
71,123.387
113,121.849
37,119.685
170,117.557
64,114.492
109,112.029
137,107.479
230,106.886
95,105.966
110,105.022
169,100.066
45,96.424
224,96.365
148,89.97
41,79.036
108,77.683
122,77.618
192,73.074
147,72.936
124,67.71
182,65.99
103,65.467
190,63.908
65,63.482
55,62.886
149,52.316
27,51.405
181,43.074
89,39.743
3,38.571
23,38.358
21,35.539
63,35.359
187,35.014
212,34.075
56,33.389
49,28.334
208,28.096
119,19.375
211,18.294
2,17.617
218,13.403
226,9.878
39,6.005
200,2.547
40,0.633
87,-2.387
69,-5.649
120,-5.801
215,-7.008
146,-11.96
104,-12.569
228,-16.094
90,-16.967
6,-18.79
167,-23.67
78,-23.928
44,-24.279
111,-24.553
46,-24.556
141,-25.66
134,-26.167
126,-29.166
130,-32.577
171,-40.727
7,-41.514
93,-45.32
143,-48.84
34,-50.109
220,-52.011
223,-53.504
136,-54.131
205,-59.189
151,-71.549
128,-76.828
123,-77.47
207,-79.273
176,-80.01
48,-82.981
191,-84.122
35,-86.453
70,-95.563
43,-96.103
203,-96.542
132,-98.624
180,-99.705
53,-101.107
79,-105.938
198,-105.992
193,-106.353
214,-107.175
229,-112.759
219,-117.109
92,-117.274
52,-120.634
28,-122.459
32,-127.847
57,-129.811
227,-135.307
31,-141.488
201,-142.808
210,-147.381
221,-148.924
26,-149.023
184,-149.619
216,-156.42
99,-159.574
199,-161.97
209,-164.443
102,-165.386
206,-185.649
36,-190.917
194,-191.977
189,-192.631
142,-196.359
30,-203.3
144,-203.498
159,-207.411
217,-208.758
29,-210.026
202,-223.238
38,-226.413
164,-234.303
91,-240.713
157,-251.837
163,-256.768
213,-267.987
20,-299.784
112,-311.167
94,-358.39
179,-404.461
