individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
102,70,13,12,0,1,12,11.746153846153847,0.9035502958579882,12.050868153430475,1.0678499461089708,0.14476430646520647,0.4198519305856279
168,119,13,12,0,1,12,11.746153846153847,0.9035502958579882,12.069378919081059,1.056196283905058,0.9417765683589677,1.3202797689287515
153,111,15,13,0,2,13,12.780000000000001,0.8520000000000001,9.592573624568756,0.8941914516436004,1.1616847350935395,1.1006502901392032
3,2,15,12,0,3,12,11.820000000000002,0.7880000000000001,11.062289933184255,0.6876318204131638,0.549013091138957,0.8716540052360855
109,75,15,12,0,3,12,11.820000000000002,0.7880000000000001,10.608897019014915,0.7339251311471923,0.5090170572017595,0.7846459100645969
131,93,15,12,0,3,12,11.820000000000002,0.7880000000000001,9.123064575114514,0.7635954363016711,0.41336099048606395,0.845948137637734
175,123,14,11,0,3,11,10.82857142857143,0.7734693877551021,8.56538733498025,0.8776320290210339,0.8811045946291197,1.3776089514642282
39,26,15,11,0,4,11,10.860000000000001,0.7240000000000001,8.518935705307864,0.7453243578330735,0.3015266296779516,0.53403565639658
40,27,15,11,0,4,11,10.860000000000001,0.7240000000000001,5.443822459978837,0.7932083813087288,0.5593419048131208,0.9505159399111817
86,57,15,11,0,4,11,10.860000000000001,0.7240000000000001,3.7182017029378107,0.7474675538238215,0.3437531198960139,0.6295875867997
141,100,15,11,0,4,11,10.860000000000001,0.7240000000000001,4.404232199747242,0.7889918007367999,1.599193344717835,1.203808497872298
190,132,15,11,0,4,11,10.860000000000001,0.7240000000000001,-1.3105066540707901,0.7509766989383038,0.5281355668121003,0.951179264830196
224,162,15,11,0,4,11,10.860000000000001,0.7240000000000001,3.301516808208332,0.6588022339247739,0.46312604138495317,0.7022063986023019
229,167,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.6846723509588397,0.6607858659887403,0.7764328517542067,0.9834767301924703
63,43,14,10,0,4,10,9.871428571428572,0.7051020408163265,2.6749532815438655,0.8895131409815034,0.46401009660520603,0.8336144874152678
146,105,14,10,0,4,10,9.871428571428572,0.7051020408163265,10.618863319580155,0.7592928184801113,0.571723688235824,0.8783550687866397
155,113,14,10,0,4,10,9.871428571428572,0.7051020408163265,5.188518700824218,0.9277037350352045,0.3992666982595316,1.104171150422115
167,118,14,10,0,4,10,9.871428571428572,0.7051020408163265,8.590915474076573,0.9003996824543008,0.44693601185808507,1.061363353534405
108,74,13,9,0,4,9,8.884615384615387,0.683431952662722,-0.10845690216806526,0.8516690523907349,0.22716699092989232,0.42622169545874966
7,5,15,10,0,5,10,9.9,0.66,0.24606322855453314,0.7686416135189413,0.5104029619762703,0.8100655001657933
49,35,15,10,0,5,10,9.9,0.66,10.62266852590613,0.7055944311381196,0.4173225661137762,0.6922210453341411
78,55,15,10,0,5,10,9.9,0.66,-2.1631078434382345,0.7105382781362194,1.2403757747501563,1.232718143169027
93,64,15,10,0,5,10,9.9,0.66,-4.03559741644136,0.6472031825424847,0.6849206712103765,0.7968439473245483
136,97,15,10,0,5,10,9.9,0.66,6.36746307274656,0.739044661910487,0.3599564038831857,0.6364976337385702
170,121,15,10,0,5,10,9.9,0.66,2.5753348880879714,0.6783464296947936,0.5100503112106576,0.7804994043565584
182,128,15,10,0,5,10,9.9,0.66,-4.248826598755869,0.758565069037522,0.5037165186361839,0.9137806989892031
191,133,15,10,0,5,10,9.9,0.66,-0.08470846644708176,0.6930582983428614,0.4517726576440933,0.7408510227858062
195,137,15,10,0,5,10,9.9,0.66,10.348437353720474,0.671518782382773,0.7195164316224976,0.9761338014834532
198,138,15,10,0,5,10,9.9,0.66,6.633886972783925,0.6706120683776317,0.4884368606670144,0.7586508357654594
225,163,15,10,0,5,10,9.9,0.66,7.601171803767579,0.7483951936290418,0.2581158384802746,0.452503694711233
230,168,15,10,0,5,10,9.9,0.66,0.6120900814358751,0.6822106647653231,883.5965611256178,1.2576955937754153
55,39,14,9,0,5,9,8.914285714285716,0.6367346938775512,1.8619852538547643,0.7537058963659443,0.26030243510400153,0.4169115924204792
120,84,13,8,0,5,8,7.930769230769231,0.6100591715976331,-5.637456743781473,0.7276704374199046,0.40936286128937854,0.5884062873315471
180,126,13,8,0,5,8,7.930769230769231,0.6100591715976331,2.771371379240239,0.8609669055196032,0.5245520407613182,0.911322857475693
201,141,13,8,0,5,8,7.930769230769231,0.6100591715976331,-1.8077968011605792,0.8222568927293447,0.44215059036811666,0.8309831820095079
4,3,15,9,0,6,9,8.94,0.596,4.8109692679702265,0.6773733149486216,1.054101426630129,1.1397241620570087
24,11,15,9,0,6,9,8.94,0.596,1.8544264900792773,0.7509775131784583,0.25210418621609,0.44102282000083937
26,13,15,9,0,6,9,8.94,0.596,0.9067189447681356,0.6850867600539956,0.9558548386229598,0.9534253533441427
27,14,15,9,0,6,9,8.94,0.596,-2.8164462800437478,0.707822112643065,0.8435097664714185,1.10569719472633
35,22,15,9,0,6,9,8.94,0.596,4.528445123758808,0.7367594489044889,5.65266568148313,1.140534524391315
47,33,15,9,0,6,9,8.94,0.596,-4.933356920291895,0.7051913211452945,2.7708732738006523,1.9603124836591383
56,40,15,9,0,6,9,8.94,0.596,9.236190035469992,0.6479629376469076,0.4218696137930193,0.5776503929568478
58,42,15,9,0,6,9,8.94,0.596,4.147752825456705,0.6775719651408584,0.5802597747479886,0.76770686653467
104,72,15,9,0,6,9,8.94,0.596,-0.7496179196606912,0.638391924458887,0.6112200279695197,0.8012380791289464
125,89,15,9,0,6,9,8.94,0.596,8.991487691105146,0.7712325720866454,0.9898699315481987,1.148291287066274
126,90,15,9,0,6,9,8.94,0.596,3.149244873386096,0.7158185034160699,1.7085136469455395,1.0855150592924288
128,91,15,9,0,6,9,8.94,0.596,-5.115084676890781,0.6238522930423427,0.8716584773382718,0.9993587309632448
130,92,15,9,0,6,9,8.94,0.596,-2.49586143166103,0.5831939624215986,0.9410776153805249,1.0167396766913621
132,94,15,9,0,6,9,8.94,0.596,4.500143232808329,0.6982473544385478,0.5396130612571013,0.8613541477940537
145,104,15,9,0,6,9,8.94,0.596,0.8378187988431754,0.6767740168182962,0.499955595061084,0.751881292182896
157,114,15,9,0,6,9,8.94,0.596,-5.902509775803091,0.6964020362628041,0.43650150888585,0.6900302695909213
176,124,15,9,0,6,9,8.94,0.596,7.701759912382577,0.6856572972877226,0.29908106256127104,0.43226548742063353
211,150,15,9,0,6,9,8.94,0.596,1.5595135291307334,0.7410929636756741,0.38528526349766234,0.7025458848567454
215,154,15,9,0,6,9,8.94,0.596,0.9697068174429474,0.6966696234584729,0.46213035096775346,0.6632331896850742
