name,value
102,353.253
168,340.993
3,310.99
153,301.684
109,293.843
175,284.693
131,269.25
146,236.45
39,221.196
195,211.1
49,205.448
229,196.142
167,195.993
86,192.182
40,190.301
141,188.541
225,188.459
224,178.359
155,168.773
56,161.957
136,153.334
125,153.233
198,141.884
170,141.276
63,137.426
74,136.568
190,132.064
72,130.625
220,130.337
126,122.047
108,119.843
7,119.505
6,113.056
4,107.455
55,101.963
64,101.892
105,100.694
176,100.23
211,99.617
65,99.33
124,99.269
191,93.398
78,92.904
218,91.865
58,87.776
132,86.421
228,84.381
26,80.424
21,78.512
182,77.594
215,75.408
35,75.012
152,70.255
230,68.324
180,66.072
226,65.121
24,63.78
93,62.583
73,62.282
227,56.637
145,56.053
27,55.13
151,55.027
130,53.643
92,52.923
201,52.175
38,48.022
25,39.611
31,38.722
45,37.784
192,37.183
87,27.413
169,27.192
104,25.082
122,25.058
120,23.887
115,21.629
50,15.682
96,14.826
28,12.678
193,12.646
128,10.421
154,6.274
209,4.379
71,2.787
171,-0.142
77,-1.852
34,-4.509
47,-6.17
205,-7.214
99,-7.823
123,-8.375
32,-11.39
157,-13.25
121,-14.725
8,-15.606
70,-16.839
29,-19.549
181,-19.807
142,-20.125
137,-21.285
97,-21.592
43,-23.027
135,-27.878
44,-28.302
95,-28.306
48,-33.63
75,-34.494
41,-35.073
103,-36.01
149,-41.216
116,-48.023
37,-56.905
194,-62.536
112,-62.965
140,-63.277
221,-65.263
52,-68.419
223,-76.182
33,-76.453
143,-82.083
203,-82.25
88,-86.32
23,-88.885
110,-90.365
76,-94.455
69,-97.593
213,-103.12
187,-104.212
113,-111.062
20,-113.629
57,-115.658
2,-116.924
119,-120.269
114,-122.13
79,-123.067
134,-127.648
214,-129.575
36,-129.608
200,-135.042
210,-137.202
111,-137.346
53,-145.194
163,-147.053
46,-164.431
144,-170.588
89,-175.11
91,-179.642
216,-183.757
22,-185.606
219,-187.377
212,-191.567
208,-196.87
90,-203.603
147,-216.412
206,-227.355
94,-240.288
202,-248.211
199,-249.676
207,-263.521
159,-271.836
217,-272.539
189,-272.762
184,-274.374
30,-283.689
148,-289.799
164,-320.519
179,-337.797
