name,value
63,379.572
153,328.043
228,299.534
126,294.654
40,270.683
105,268.999
146,253.696
56,247.342
226,243.362
215,237.843
3,237.103
167,220.384
86,216.22
131,212.687
8,190.105
169,188.194
96,183.969
77,181.799
31,180.571
70,179.756
74,176.791
109,176.307
108,172.925
192,168.035
25,167.523
47,161.214
155,160.562
124,159.906
45,158.877
168,156.785
175,155.709
72,153.737
46,151.593
23,126.061
73,123.535
221,113.084
115,102.384
21,101.376
135,98.769
182,97.427
104,95.391
33,94.987
50,93.516
154,92.495
207,92.478
137,91.845
88,87.949
152,85.861
220,81.812
122,78.002
116,71.69
229,68.299
136,63.201
224,62.714
190,59.046
132,55.585
71,52.681
37,52.246
171,49.442
99,47.162
225,46.179
121,45.941
141,44.107
119,43.945
27,43.284
32,39.245
200,38.911
92,38.386
227,34.092
64,30.136
28,27.684
39,26.892
97,26.334
24,24.903
125,22.92
55,19.636
230,16.578
87,12.925
89,12.846
193,11.948
29,10.804
65,9.748
110,7.927
170,7.28
75,3.633
102,-0.924
93,-2.228
38,-3.796
120,-5.711
140,-10.861
4,-12.503
52,-14.671
6,-17.278
201,-18.219
48,-20.209
90,-22.868
142,-26.592
198,-27.885
103,-28.162
26,-30.363
49,-30.718
206,-36.614
123,-41.162
91,-44.761
114,-53.65
43,-55.083
35,-55.223
180,-56.695
76,-63.493
53,-64.08
176,-66.304
195,-67.429
134,-68.485
113,-68.947
151,-76.024
149,-78.465
214,-79.579
58,-86.916
78,-88.312
7,-88.855
95,-92.445
211,-94.767
128,-97.452
147,-97.868
36,-100.325
187,-102.952
144,-104.988
209,-106.736
20,-106.854
130,-107.844
57,-112.791
112,-115.808
218,-117.837
223,-120.077
145,-120.522
181,-120.755
69,-121.47
203,-122.599
199,-129.03
143,-129.45
22,-134.734
208,-135.071
194,-137.674
191,-144.114
205,-149.236
79,-156.537
44,-163.084
2,-184.167
111,-187.206
157,-189.857
219,-193.131
213,-193.4
212,-194.587
148,-195.419
163,-196.652
34,-216.284
94,-220.439
189,-238.062
217,-238.12
184,-262.862
216,-262.946
30,-275.149
210,-277.834
41,-278.684
179,-304.225
164,-310.316
202,-321.531
159,-322.846
