individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
103,17,31,26,0,5,26,25.796774193548387,0.8321540062434963,3.7228884364482164,0.5164254788817945,0.5743192752997225,0.8936532603680465
104,18,34,28,0,6,28,27.805882352941175,0.8178200692041522,3.3621520857177245,0.5065138350622681,0.6370787939540634,0.9160720029070429
106,20,32,24,0,8,24,23.849999999999998,0.7453124999999999,2.7618107815541406,0.4612500614255505,0.9274193381146683,1.203959174662856
1010,25,31,20,0,11,20,19.912903225806453,0.6423517169614985,2.029996502884089,0.42353012885498326,0.7316638927005168,0.9448767581266456
89,9,33,21,0,12,21,20.918181818181818,0.6338842975206611,-0.036828942685072474,0.5009759955019004,0.9874759385785526,1.1004851192114713
83,3,32,20,0,12,20,19.925,0.62265625,1.5959829181155727,0.46717115786790886,0.5132051590855401,0.8065073986658187
105,19,29,18,0,11,18,17.927586206896553,0.6181926278240191,2.3622470838859653,0.45004209584827065,0.7045879452950584,0.8967147812316681
108,22,31,18,0,13,18,17.951612903225804,0.5790842872008324,1.8464806021052749,0.4351475677796772,1.5751192190059569,1.2203181590011989
81,1,33,19,0,14,19,18.954545454545457,0.5743801652892563,1.6291041373593873,0.43483927875351164,0.5112206326988123,0.7214364098949854
85,5,32,18,0,14,18,17.9625,0.561328125,-1.5394721284763935,0.38890749187163814,0.7932350454906267,0.874505441966831
107,21,31,17,0,14,17,16.970967741935482,0.5474505723204994,2.1829837740867633,0.42926273735139736,0.9018119235836312,1.0381486224696594
109,23,32,16,0,16,16,16,0.5,-1.2451416361845142,0.4368632522072486,0.5960650710366315,0.8178334078093626
86,6,32,15,0,17,15,15.01875,0.4693359375,1.0330633988163611,0.4574935455048179,1.0790961769114438,1.103802188782662
101,15,31,14,0,17,14,14.029032258064516,0.4525494276795005,1.4146720601830733,0.43399556662386685,0.9381942787247118,1.0480921186136123
102,16,32,14,0,18,14,14.0375,0.438671875,-0.8157667148897547,0.48545806187896123,0.7066270510689813,0.9150220692935913
810,24,32,14,0,18,14,14.0375,0.438671875,-1.8139882558312388,0.3987571410346785,0.7832052885037852,0.9460645193726994
95,14,33,13,0,20,13,13.063636363636364,0.39586776859504136,-2.508052867719958,0.4048869174105569,0.7514274763203884,0.8421494461840315
91,10,32,12,0,20,12,12.075,0.37734375,-2.053485622688235,0.4097253502841626,0.9072224950578739,1.057457040364708
93,12,32,12,0,20,12,12.075,0.37734375,-1.7653439108849602,0.4361120077084943,0.678037793520583,0.9366262711719886
82,2,33,12,0,21,12,12.081818181818182,0.36611570247933883,-1.2698630623889469,0.44787643191707016,0.9574182996199725,1.0954181453961411
92,11,34,12,0,22,12,12.088235294117647,0.3555363321799308,-1.4514423569663855,0.45368226626546854,0.7293854119675685,1.0723174974897558
84,4,32,11,0,21,11,11.09375,0.3466796875,-2.325965937097991,0.3913419115304864,1.2664550709890374,1.1208915013600442
87,7,33,11,0,22,11,11.1,0.33636363636363636,-1.2175064272003866,0.4414078325182105,1.2298180889818604,1.0057082892366438
88,8,31,8,0,23,8,8.14516129032258,0.2627471383975026,-2.546497989707676,0.46884352823923675,0.9390685975732221,1.2335706163833855
94,13,32,7,0,25,7,7.168749999999999,0.22402343749999998,-3.352025928435056,0.4344692308838929,0.7569065414596102,0.9033934155114165
