individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
3,3,14,12,0,2,12,11.785714285714286,0.8418367346938777,1.9363064039451863,0.7644220150962524,0.6713047165814512,0.8636670552694206
1,1,13,10,0,3,10,9.838461538461539,0.7568047337278107,1.344054526110571,0.7191434084967169,0.9067551646151727,1.0092448180794504
5,5,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.7119631770508357,0.5135849146982047,0.6266356668850921,0.8338459142795797
4,4,21,15,0,6,15,14.871428571428572,0.7081632653061225,1.3521837278144706,0.5606207454157202,0.6807110482660494,0.9988281526460824
6,6,17,12,0,5,12,11.876470588235295,0.6986159169550173,1.6372247751775322,0.5810623562686368,1.0220039459628425,1.1048817623040732
8,8,19,12,0,7,12,11.921052631578947,0.6274238227146814,0.5175481235292844,0.554330807295212,1.1473207229721138,1.2897822398465815
9,9,18,10,0,8,10,9.966666666666667,0.5537037037037037,0.24635316731338697,0.544850110658924,0.9680785609881275,0.9541927940871259
2,2,13,7,0,6,7,6.976923076923076,0.5366863905325443,0.998925724077622,0.6313981876626632,0.639660554911207,0.7497315360042506
11,11,19,9,0,10,9,9.015789473684212,0.47451523545706376,-0.13823542270087513,0.5264403563793265,1.0227739985017412,1.0308655921412344
7,7,13,6,0,7,6,6.023076923076923,0.4633136094674556,0.21231998048563602,0.6505700611138201,0.6689688092401814,0.7940252102471669
14,14,19,8,0,11,8,8.047368421052632,0.42354570637119116,-0.6529686301912588,0.4896286366153867,1.0731645154713771,1.0684304785964696
12,12,17,7,0,10,7,7.052941176470587,0.41487889273356393,-0.7134026807799532,0.5731244416081264,1.2371215353499498,1.1696858708775009
16,16,15,6,0,9,6,6.0600000000000005,0.404,-0.5202332759219404,0.6298545301120346,1.0184838240666076,1.0889784490097731
10,10,18,7,0,11,7,7.0666666666666655,0.39259259259259255,-0.9145170343626544,0.571774262203795,0.6915907795898261,0.8021068448832441
15,15,18,7,0,11,7,7.0666666666666655,0.39259259259259255,-0.8682778649324395,0.5542873964676442,0.8902540267439925,1.0797979289371138
18,18,20,4,0,16,4,4.18,0.209,-1.7845115058381824,0.6372762709001276,0.45281720300324046,0.6784383059748372
13,13,13,2,0,11,2,2.207692307692308,0.1698224852071006,-1.5022945655305855,0.7886929956518113,0.4377707587661549,0.7403778378490817
17,17,13,1,0,12,1,1.2538461538461538,0.09644970414201183,-2.8624386252466354,0.9743813834761724,0.7664087992465589,0.9401327573548842
