individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
336,277,9,9,0,0,9,8.700000000000001,0.9666666666666668,13.960231820111963,1.9596876905740697,0.03838130490950205,0.1487018828566614
333,274,8,8,0,0,8,7.7,0.9625,16.62464870885849,1.934356808190595,0.041880759376892104,0.11912458436439126
376,315,10,9,0,1,9,8.760000000000002,0.8760000000000001,13.41106088218161,1.2248535048273048,0.3773281222173644,1.2572200734044885
6,5,9,8,0,1,8,7.766666666666667,0.8629629629629629,6.520607010273508,1.2370577143576744,0.1426440595306688,0.38952317461568403
22,17,9,8,0,1,8,7.766666666666667,0.8629629629629629,14.41062244089404,1.7078047349743,0.06054592356242618,0.2517004668319041
36,26,9,8,0,1,8,7.766666666666667,0.8629629629629629,8.064222274774147,1.170909365550587,0.1484269317936844,0.34042142704949757
90,75,9,8,0,1,8,7.766666666666667,0.8629629629629629,13.5733226958576,1.1658361217301731,0.1515899068238762,0.34659434363826025
105,89,9,8,0,1,8,7.766666666666667,0.8629629629629629,10.358988814922578,1.2540565708119835,0.12743672140925805,0.33440654805381126
258,203,9,8,0,1,8,7.766666666666667,0.8629629629629629,4.909810508678989,1.0278368851172879,0.3582400199862532,0.6714533675810237
259,204,9,8,0,1,8,7.766666666666667,0.8629629629629629,6.908271447142464,1.2102424178570357,0.13691090443037637,0.33380233826056677
271,216,9,8,0,1,8,7.766666666666667,0.8629629629629629,11.881312946341424,1.0673921975248408,1.3601260867856666,1.3435159980361833
272,217,9,8,0,1,8,7.766666666666667,0.8629629629629629,11.251106087218421,1.4298084427850752,0.07243752062950423,0.152967267696972
302,244,9,8,0,1,8,7.766666666666667,0.8629629629629629,11.268238680761817,1.1567137454337144,0.16379237835504,0.3861718895828551
307,249,9,8,0,1,8,7.766666666666667,0.8629629629629629,8.232868509114743,1.7656048911271998,0.05391693622323732,0.22267572144906456
308,250,9,8,0,1,8,7.766666666666667,0.8629629629629629,13.275305095395614,1.420407238194353,0.08174236307660651,0.21500292732112403
326,267,9,8,0,1,8,7.766666666666667,0.8629629629629629,10.441082832902374,1.244835889569299,0.16100453185203414,0.4831009308166119
327,268,9,8,0,1,8,7.766666666666667,0.8629629629629629,7.764661564139585,1.4846447690741826,0.07188375101285176,0.19088330349103808
328,269,9,8,0,1,8,7.766666666666667,0.8629629629629629,8.334117563239499,1.2012747787925742,0.16607838428523125,0.45772511936812904
329,270,9,8,0,1,8,7.766666666666667,0.8629629629629629,13.961623943178063,1.7711879930375682,0.04602470263149178,0.13760751416702857
349,290,9,8,0,1,8,7.766666666666667,0.8629629629629629,8.035765682060866,1.3433847758794177,0.09916947383003755,0.26697228514705196
380,319,9,8,0,1,8,7.766666666666667,0.8629629629629629,14.063054217900708,1.0660296258199815,0.3432334347817378,0.7431597438327064
396,335,9,8,0,1,8,7.766666666666667,0.8629629629629629,6.651335607285214,1.1664509833794225,0.15911220984047217,0.38148812016296724
468,389,9,8,0,1,8,7.766666666666667,0.8629629629629629,14.756245960314422,1.5283040796653935,0.0648607554147461,0.16629408873732973
484,405,9,8,0,1,8,7.766666666666667,0.8629629629629629,2.883101201006755,1.1063271025053605,0.2789896988972891,0.6875405163307535
869,705,9,8,0,1,8,7.766666666666667,0.8629629629629629,3.3993478598522815,1.035409900657976,0.9482656492454777,1.1234485935708871
880,710,9,8,0,1,8,7.766666666666667,0.8629629629629629,8.675875857548325,1.1623613783345894,0.14975283279132448,0.33355104563006877
914,742,9,8,0,1,8,7.766666666666667,0.8629629629629629,6.837074260688955,1.328486519036749,0.09553891712468517,0.22917306220298217
37,27,8,7,0,1,7,6.775,0.846875,13.613754237289458,1.1247088956463014,0.19686920503322708,0.384571229004771
132,105,8,7,0,1,7,6.775,0.846875,6.790508386827307,1.1464984507356994,0.18707436708583092,0.38165287993971686
339,280,8,7,0,1,7,6.775,0.846875,7.076148488840268,1.266252839206343,0.1228409998395201,0.24847632623361188
357,298,8,7,0,1,7,6.775,0.846875,11.592460570808479,1.2780577237951416,0.1674199921564093,0.4632172410024465
401,340,8,7,0,1,7,6.775,0.846875,9.141121228461085,1.900068179010414,0.047162264452292095,0.16225192276837544
474,395,8,7,0,1,7,6.775,0.846875,11.760942813325736,1.0627826516571957,0.31175566182744846,0.5893407638436224
98,82,11,9,0,2,9,8.80909090909091,0.8008264462809919,13.87068491061488,0.8882770928397323,0.31455968314667365,0.6302991137117379
330,271,11,9,0,2,9,8.80909090909091,0.8008264462809919,13.991244811899595,0.8440183287214247,1.9666090452200515,1.3913259325216614
197,142,10,8,0,2,8,7.82,0.782,5.736935625408515,0.9333131233599191,0.3981924388159152,0.7891334768244007
274,218,10,8,0,2,8,7.82,0.782,2.2585732261459315,0.9134003431835565,0.6764692051092511,0.8665038589857157
331,272,10,8,0,2,8,7.82,0.782,4.345907638316916,1.1163074591599256,0.21479363540305751,0.5754477281317213
369,308,10,8,0,2,8,7.82,0.782,6.410928427184328,1.1784600478217377,0.11905306082039606,0.27535411796335846
568,478,10,8,0,2,8,7.82,0.782,-2.922504244896839,1.0618754695914758,0.4639459480139535,0.9365949288931417
724,585,10,8,0,2,8,7.82,0.782,5.362494941429385,1.1839370077592881,0.20756924767593565,0.6611389257782302
13,9,9,7,0,2,7,6.833333333333334,0.7592592592592593,6.194770955526354,1.3536910156256194,0.09052235107458109,0.2162530772719161
23,18,9,7,0,2,7,6.833333333333334,0.7592592592592593,7.262678670942334,1.4914439417711036,0.06801410256536819,0.16576513038729382
26,21,9,7,0,2,7,6.833333333333334,0.7592592592592593,3.5026825133280592,0.9804894452292107,0.42392094312237016,0.7946047384305766
34,24,9,7,0,2,7,6.833333333333334,0.7592592592592593,7.105756390450009,1.0919026387049555,0.3176647699684445,0.7542594123916765
85,71,9,7,0,2,7,6.833333333333334,0.7592592592592593,12.625196364937901,1.1605818275856223,0.13824772557803688,0.28555013870250123
86,72,9,7,0,2,7,6.833333333333334,0.7592592592592593,10.675177783832511,1.3038346519907869,0.09573245944990792,0.2055403239583881
101,85,9,7,0,2,7,6.833333333333334,0.7592592592592593,9.669651216107157,1.3379298640246253,0.09563441301603065,0.23583379250230402
103,87,9,7,0,2,7,6.833333333333334,0.7592592592592593,11.003532218249656,1.0493690553757353,0.2620976661169058,0.5611574390197466
104,88,9,7,0,2,7,6.833333333333334,0.7592592592592593,5.62559131166615,1.2897905757833008,0.10689580517346364,0.26083077402137833
119,100,9,7,0,2,7,6.833333333333334,0.7592592592592593,-0.4103948820275812,1.9555395888977893,0.03393222606510907,0.07969740286918349
185,131,9,7,0,2,7,6.833333333333334,0.7592592592592593,10.868942266916847,0.9491605724008711,0.5337102404044963,0.9357077489763383
186,132,9,7,0,2,7,6.833333333333334,0.7592592592592593,6.640021320282675,1.0187342110300874,0.44536674067764714,0.7829019800176272
188,134,9,7,0,2,7,6.833333333333334,0.7592592592592593,9.214212986332473,1.0335798925666138,0.23825241043560214,0.4669217207813118
287,231,9,7,0,2,7,6.833333333333334,0.7592592592592593,3.198098373407076,1.3475493069587152,0.08350580206589275,0.16643545861481926
306,248,9,7,0,2,7,6.833333333333334,0.7592592592592593,11.275442611619264,1.0906783037942769,0.1558975228307461,0.28705824543214226
312,254,9,7,0,2,7,6.833333333333334,0.7592592592592593,6.114056272925008,0.9943380427952254,0.40337304821441333,0.7150245633686139
335,276,9,7,0,2,7,6.833333333333334,0.7592592592592593,12.175323723717124,1.1958947967412894,0.12154015000054486,0.24524037497989176
