individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
1968Q8,16,48,43,0,5,43,42.762499999999996,0.8908854166666665,2.4305688119260336,0.4878953997898048,1.0838942196799832,1.1051596096721525
1968Q7,15,46,40,0,6,40,39.778260869565216,0.8647448015122873,2.1833932405611667,0.4580033473631832,0.8986091867604675,0.8150623513894042
1968Q6,14,43,36,0,7,36,35.79767441860464,0.8325040562466196,1.7200560353330048,0.43173075890208823,0.5653783996019375,0.8054706911867405
1968Q1,9,29,22,0,7,22,21.844827586206897,0.753269916765755,1.1712711588695472,0.46385575467886553,0.8606336701212046,1.0514422269953991
1968Q9,17,39,28,0,11,28,27.86923076923077,0.714595660749507,0.8807308421757384,0.3850016158535682,1.2709163543832551,1.0266858708260458
1964Q2,2,44,31,0,13,31,30.877272727272725,0.7017561983471073,1.0059822373560272,0.37608778167419615,1.0195390663718165,0.8260155299207695
1968Q2,10,37,26,0,11,26,25.87837837837838,0.6994156318480643,0.9985918869991396,0.4035911391701368,1.1332023463275052,0.9467185666538708
1996Q5,26,36,25,0,11,25,24.883333333333333,0.6912037037037037,0.8012931575722624,0.4097271428133356,1.2209981285905538,1.0885349057578688
2012Q8,38,45,30,0,15,30,29.900000000000002,0.6644444444444445,0.9864309193887826,0.3579024412780544,1.2910826499094679,1.3232659182634046
1964Q3,3,36,24,0,12,24,23.9,0.6638888888888889,0.8655280122896897,0.38145548057723644,0.6603122241940756,0.7922777328865527
1968Q3,11,44,29,0,15,29,28.904545454545453,0.6569214876033057,0.791277729509386,0.3556409740024075,0.9407311740798743,1.0603092382527528
1996Q10,19,39,24,0,15,24,23.93076923076923,0.6136094674556213,0.6891928069722358,0.3627714507160775,0.9313642211427554,0.9871358473056561
1964Q8,7,51,31,0,20,31,30.935294117647057,0.6065743944636678,0.3720324793514838,0.3344510042411176,0.6684822250202117,0.8036499897889388
1964Q9,8,45,27,0,18,27,26.94,0.5986666666666667,0.7101296311554594,0.33486618549601316,1.0586219830040897,1.066944059376649
1964Q4,4,45,26,0,19,26,25.95333333333333,0.5767407407407407,0.31726122794436756,0.3430750340434167,1.1353826255193675,1.1196771634109288
1964Q5,5,49,28,0,21,28,27.95714285714286,0.5705539358600583,0.28828489292734383,0.31799837624562244,0.9817293684272295,1.02523447258665
2012Q1,31,41,23,0,18,23,22.96341463414634,0.5600832837596668,0.043614727766552126,0.35405339127841134,1.2295290376599706,1.1833404658310271
1996Q13,22,43,24,0,19,24,23.965116279069765,0.557328285559762,0.30243393485469067,0.3479932763453231,0.9818520491163821,0.967080381833277
1996Q11,20,37,19,0,18,19,18.991891891891893,0.5132943754565377,-0.15083440971304293,0.3747694496431386,0.9801459517514465,1.0194135160537274
2012Q5,35,51,25,0,26,25,25.005882352941178,0.4903114186851211,-0.19219753877866205,0.3105270879557771,0.9834562667926235,0.984238653550004
1964Q1,1,43,21,0,22,21,21.006976744186048,0.48853434288804765,-0.05296514441514142,0.3407920127450289,1.2374572494523268,1.072906266655997
1996Q8,29,47,22,0,25,22,22.01914893617021,0.468492530556813,-0.11497902527750346,0.32638648884513605,0.8766117312349575,0.9573398085305981
1996Q9,30,39,18,0,21,18,18.02307692307692,0.46213017751479285,-0.01960399039220574,0.358793096700335,0.7857133715198952,0.8687642773828912
1968Q5,13,42,19,0,23,19,19.02857142857143,0.4530612244897959,-0.32134875096510784,0.3512552023680909,1.0769895326799332,1.0692532962058592
2012Q4,34,48,21,0,27,21,21.0375,0.43828125,-0.03362698622040391,0.3249135143651942,0.7489152134904185,0.8138465876139833
1968Q4,12,36,14,0,22,14,14.066666666666666,0.3907407407407407,-0.6393294397842072,0.37855429588706496,0.8528629229278459,0.9486914562699618
1964Q6,6,39,15,0,24,15,15.06923076923077,0.3863905325443787,-0.6255679774258345,0.37760376515379646,1.170596555165355,0.8707618242739612
1996Q1,18,50,19,0,31,19,19.072000000000003,0.38144000000000006,-0.8121562501532895,0.3242618031788482,1.021405134989034,1.0762045713524644
2012Q3,33,40,15,0,25,15,15.075000000000001,0.376875,-0.6548328088126554,0.35268431484975626,0.8520913617707752,0.9275675608302428
1996Q12,21,42,14,0,28,14,14.100000000000001,0.33571428571428574,-0.9150375346021968,0.3657367654472119,0.8304155046782368,0.8779206641948963
1996Q4,25,46,15,0,31,15,15.104347826086958,0.3283553875236295,-0.7915037889052402,0.3523143245538557,0.8529826069710496,0.9286038603975849
2012Q2,32,38,11,0,27,11,11.126315789473685,0.292797783933518,-0.9446138926305827,0.3991943524943104,1.254331257984957,0.9350453659705644
1996Q6,27,37,9,0,28,9,9.154054054054054,0.24740686632578524,-1.3498899931653008,0.4212311481170242,0.7305360737805836,0.9166919424475388
2012Q6,36,39,9,0,30,9,9.161538461538461,0.23491124260355029,-1.2165088602816252,0.40499998847168933,1.1146801691391335,1.0908198344111335
1996Q7,28,47,8,0,39,8,8.197872340425532,0.17442281575373472,-1.8686376692912583,0.4077851304589706,0.9654342392042838,0.9461762076477584
2012Q7,37,49,8,0,41,8,8.20204081632653,0.16738858808829654,-1.7895734504262621,0.40551754602745144,1.2398867499660768,1.22962975464678
1996Q3,24,44,6,0,38,6,6.218181818181818,0.14132231404958676,-2.0184579892010284,0.4604248233771937,0.501282426128903,0.7233792142262563
1996Q2,23,46,5,0,41,5,5.234782608695652,0.11379962192816635,-2.046408232511364,0.4890412508892432,1.2705975975572736,1.0795729727338195
