name,value
32196858,422.557
26196848,408.221
94196442,403.586
29196859,394.573
59199658,385.345
23196858,379.178
29196851,377.781
79201241,375.222
87196455,371.236
95196448,367.88
29196858,364.981
24196817,351.731
32196857,344.549
35196854,336.73
56199659,329.741
28196852,326.48
23196852,321.754
27196816,317.631
23196859,315.972
37196844,315.019
36196847,310.417
85196452,309.578
89196454,304.561
87196454,302.976
28196856,299.447
29196853,297.737
22196848,294.03
94196449,291.959
68201255,290.707
100196419,289.579
28196853,289.058
571996512,288.117
91196449,287.196
22196843,286.398
59199654,284.515
31196848,279.624
95196442,270.103
26196847,269.593
100196412,267.794
96196446,267.7
72201255,266.504
59199655,266.442
22196847,265.941
27196817,265.871
91196446,265.712
103201256,256.369
23196851,256.086
95196447,254.276
86196454,253.538
34196818,253.211
35196858,250.733
103201254,248.242
621996110,243.297
33196857,242.801
90196459,242.473
69201254,241.011
85196459,234.256
661996112,233.149
22196849,231.526
671996112,229.788
601996513,227.627
91196444,226.778
87196452,225.058
28196854,224.61
581996511,219.837
101196412,217.817
601996512,217.46
611996512,216.355
37196843,215.916
99196414,214.552
31196847,212.697
29196857,212.35
981964110,212.328
24196816,211.839
103201253,206.65
561996511,205.212
26196846,202.948
32196852,202.813
84201244,202.736
95196444,201.778
33196856,201.283
35196857,200.699
93196445,200.184
57199656,197.724
69201255,197.686
89196452,197.49
91196442,197.433
96196449,192.893
20196847,191.847
79201242,190.407
60199659,188.392
85196456,186.673
70201256,186.164
93196444,184.951
92196444,184.529
76201211,183.983
96196444,183.441
20196848,182.36
79201243,180.101
611996513,180.024
89196456,179.658
90196452,179.459
20196846,179.433
58199659,178.694
88196456,178.307
86196451,177.113
82201247,176.88
93196442,176.788
89196459,176.22
98196416,175.833
71201254,173.151
36196846,171.348
96196442,170.724
63199613,169.768
89196451,169.325
26196843,169.249
90196454,169.157
90196455,168.719
78201216,167.396
31196841,166.867
36196843,165.801
67199619,164.001
88196455,163.301
23196853,163.258
103201252,162.44
20196841,159.827
85196451,158.072
36196841,157.734
76201214,157.646
101196415,156.093
23196857,156.017
59199659,155.827
88196452,155.684
34196811,154.988
35196856,153.785
71201252,152.747
