individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
ssw_988_helcats_HCME_A__20110607_01_sta_diff_20110607_184901.jpg,1100,289,264,0,25,264,263.75190311418686,0.9126363429556639,2.9903292315875736,0.2167419609693312,1.310680465070375,1.0189591397015187
ssw_748_helcats_HCME_A__20130227_01_sta_diff_20130228_000901.jpg,866,280,255,0,25,255,254.75357142857143,0.9098341836734694,3.0045188520967527,0.2173471737318375,1.6006714047534987,1.0231870025993375
ssw_729_helcats_HCME_A__20130421_03_sta_diff_20130422_184901.jpg,847,280,254,0,26,254,253.75571428571428,0.9062704081632653,2.98296091577499,0.2132416210145704,2.202373984734603,1.0465771891252271
ssw_949_helcats_HCME_A__20111005_01_sta_diff_20111005_184901.jpg,1062,304,274,0,30,274,273.75921052631577,0.900523718836565,2.771272279735936,0.20546497391866353,1.9853173708754213,0.9975424311227805
ssw_991_helcats_HCME_A__20110602_01_sta_diff_20110602_232901.jpg,1103,296,266,0,30,266,265.7608108108108,0.89784057706355,2.512683589524706,0.20364816661546883,1.9707098282368676,1.085375618720624
ssw_774_helcats_HCME_A__20121206_01_sta_diff_20121207_092901.jpg,887,281,252,0,29,252,251.761921708185,0.8959498993173844,2.6337420389049204,0.20517689312092574,0.9348412260400618,0.9184576779699204
ssw_972_helcats_HCME_A__20110804_01_sta_diff_20110804_124901.jpg,1084,288,258,0,30,258,257.7625,0.8950086805555555,2.3519440691579216,0.20275544191315714,1.5045492138290326,1.0578758538753346
ssw_1026_helcats_HCME_A__20110214_02_sta_diff_20110215_192901.jpg,52,296,262,0,34,262,261.76891891891887,0.8843544558071583,2.30808939430227,0.19319235547023136,2.0722426234870923,1.1240869557505007
ssw_918_helcats_HCME_A__20120119_01_sta_diff_20120120_032901.jpg,1031,296,262,0,34,262,261.76891891891887,0.8843544558071583,2.5104910978215758,0.1954291511281072,1.3726745434337642,1.0789369062604273
ssw_663_helcats_HCME_A__20131211_01_sta_diff_20131212_100901.jpg,794,290,256,0,34,256,255.7703448275862,0.8819667063020213,2.439013226937391,0.18975543631187275,2.37072803622909,0.9408123123797192
ssw_923_helcats_HCME_A__20111229_02_sta_diff_20111230_120901.jpg,1036,280,247,0,33,247,246.77071428571426,0.8813239795918366,2.342978961614427,0.19367330039965017,2.1820902623031895,1.0300114215979383
ssw_385_helcats_HCME_B__20110529_02_stb_diff_20110530_084925.jpg,622,296,261,0,35,261,260.7709459459459,0.8809829254930606,2.26556749725116,0.1905565866960733,1.595498512620322,1.1580486831459722
ssw_936_helcats_HCME_A__20111120_01_sta_diff_20111121_220901.jpg,1049,289,253,0,36,253,252.77474048442906,0.8746530812610002,2.186114436520419,0.18905642630922365,1.1691507248365536,0.9541808658811949
ssw_233_helcats_HCME_B__20120701_01_stb_diff_20120702_012924.jpg,482,296,258,0,38,258,257.77702702702703,0.870868334550767,2.4767995580193563,0.1878582651055046,1.6436925864115695,1.0500317424492962
ssw_468_helcats_HCME_B__20100807_02_stb_diff_20100808_120951.jpg,697,296,258,0,38,258,257.77702702702703,0.870868334550767,2.4559408491629715,0.18443393625578988,0.6354674950625313,0.9017115628757846
ssw_314_helcats_HCME_B__20111227_01_stb_diff_20111227_220956.jpg,557,280,244,0,36,244,243.77714285714285,0.8706326530612245,2.309868246834641,0.18525709514197422,2.907497452283537,1.038888973992813
ssw_902_helcats_HCME_A__20120307_01_sta_diff_20120307_084901.jpg,1015,297,258,0,39,258,257.77878787878785,0.8679420467299255,2.255506942397194,0.17713256806909783,1.3071150996614194,1.0735883262926083
ssw_424_helcats_HCME_B__20110215_01_stb_diff_20110215_172934.jpg,657,296,257,0,39,257,256.77905405405403,0.867496804236669,2.257582854815854,0.18219891940240301,2.0957680723941667,1.0233423971044628
ssw_962_helcats_HCME_A__20110910_01_sta_diff_20110910_204901.jpg,1074,289,249,0,40,249,248.78304498269895,0.8608409860993044,2.050535565893947,0.1834267500584736,1.3357408595560014,1.1078987531547022
ssw_724_helcats_HCME_A__20130512_01_sta_diff_20130512_144901.jpg,842,280,239,0,41,239,238.78785714285712,0.852813775510204,2.004974049516796,0.1821113174081958,1.4543240429142243,1.0816777407076135
ssw_782_helcats_HCME_A__20121111_01_sta_diff_20121111_144901.jpg,895,280,239,0,41,239,238.78785714285712,0.852813775510204,2.178007918201695,0.17682259812778298,0.9824045617348017,0.9555975732465815
ssw_953_helcats_HCME_A__20110925_02_sta_diff_20110926_024901.jpg,1066,280,239,0,41,239,238.78785714285712,0.852813775510204,2.01446587416858,0.17856164673419467,1.2996549553638896,1.1141498175494742
ssw_937_helcats_HCME_A__20111118_01_sta_diff_20111118_224901.jpg,1050,297,251,0,46,251,250.79292929292927,0.8444206373499302,2.061400537354739,0.17146123107144629,2.2493364538178664,1.1278039240317295
ssw_955_helcats_HCME_A__20110924_01_sta_diff_20110924_220901.jpg,1068,289,244,0,45,244,243.7934256055363,0.8435758671471845,2.233253861745568,0.17387904766073847,2.0460823564138195,1.1762430176149263
ssw_349_helcats_HCME_B__20110924_03_stb_diff_20110924_224955.jpg,589,288,243,0,45,243,242.79375,0.8430338541666667,2.0744437377271137,0.16828668698087293,1.3688423477018015,1.0344175457070932
ssw_808_helcats_HCME_A__20120831_01_sta_diff_20120901_104901.jpg,921,281,237,0,44,237,236.79395017793593,0.8426830967186332,2.245074500870208,0.17309131091243296,2.1104909159836476,1.0921773562232193
ssw_877_helcats_HCME_A__20120419_01_sta_diff_20120420_060901.jpg,990,296,249,0,47,249,248.79527027027027,0.840524561723886,2.055945688396484,0.16935691877054332,1.5467236735688317,1.036657581618226
ssw_926_helcats_HCME_A__20111225_01_sta_diff_20111225_192901.jpg,1039,296,249,0,47,249,248.79527027027027,0.840524561723886,2.0755548487649085,0.17330569909369758,2.0008450706860366,1.0351324831902282
ssw_730_helcats_HCME_A__20130421_02_sta_diff_20130422_072901.jpg,848,288,241,0,47,241,240.79791666666665,0.8361038773148147,2.2206974784093356,0.17758502988077526,1.9132882599266294,1.1785588708851427
ssw_731_helcats_HCME_A__20130421_01_sta_diff_20130421_224901.jpg,849,281,235,0,46,235,234.7982206405694,0.8355808563721331,2.2331784449972294,0.171743728226277,1.336955519395089,1.039534391465467
