individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
7,7,33,28,0,5,28,27.79090909090909,0.8421487603305785,1.9045718232680207,0.5067923067902892,1.2159178344752501,0.9406630532469175
5,5,30,23,0,7,23,22.84,0.7613333333333333,1.2754025871373007,0.46946870098135296,0.5469505655367716,0.7617221974860755
10,10,30,23,0,7,23,22.84,0.7613333333333333,1.4375209621364802,0.46997029548633656,1.223622861440068,1.2648648570364722
2,2,29,22,0,7,22,21.844827586206897,0.753269916765755,1.3070559531349963,0.4662038753350978,1.011784818495299,0.9039072815799643
19,19,30,21,0,9,21,20.88,0.696,0.8061614704159672,0.4341695605140234,0.7927873230887973,0.8059431190414831
3,3,30,20,0,10,20,19.900000000000002,0.6633333333333334,0.9195151069107894,0.4279613608025947,1.2649501890726393,1.1625907664168347
20,20,30,20,0,10,20,19.900000000000002,0.6633333333333334,0.7070990380829487,0.4405553503915646,1.0802424238084853,1.0586529713221309
9,9,30,19,0,11,19,18.92,0.6306666666666667,0.6597606771289625,0.4281367919108507,0.8169926664394559,0.921435872683581
14,14,29,15,0,14,15,14.989655172413794,0.516884661117717,0.2807833569748957,0.4178908011760488,0.9246726167774848,0.9257764647379622
8,8,30,15,0,15,15,15,0.5,0.006440288613518336,0.41669568171692295,0.9874488232219,0.9072547629222973
11,11,32,15,0,17,15,15.01875,0.4693359375,0.01672151383298749,0.4014267296350848,0.9416278734603594,0.9799666950205669
4,4,31,14,0,17,14,14.029032258064516,0.4525494276795005,-0.08990808210203025,0.4095429949970729,1.0344165604342226,1.0351690028492286
12,12,31,11,0,20,11,11.087096774193549,0.3576482830385016,-0.6669371526156685,0.42363943401861537,0.6303228975787425,0.6900455037735497
1,1,29,10,0,19,10,10.093103448275862,0.348038049940547,-0.9114486210358821,0.4347722535513186,1.3114804338714072,1.206820632079804
16,16,30,9,0,21,9,9.12,0.304,-0.8912919404843114,0.4441439992729154,0.9232093348298757,1.048486802204711
18,18,31,9,0,22,9,9.125806451612902,0.2943808532778356,-1.2568336344068232,0.4270017731791233,1.7600133663524715,1.2346713074082787
15,15,30,8,0,22,8,8.14,0.27133333333333337,-1.2217036389369211,0.45530791914285473,0.7327988561250057,0.8374368145878607
6,6,30,7,0,23,7,7.159999999999999,0.23866666666666664,-1.4341886389730087,0.46383907456677587,0.5657313821211342,0.7592586908690061
13,13,30,7,0,23,7,7.159999999999999,0.23866666666666664,-1.491227131497502,0.46239539666241103,0.9325268223810709,0.9835747562044396
17,17,29,6,0,23,6,6.175862068965516,0.21296076099881092,-1.35749393758472,0.4973212052651035,1.1286185080840234,1.0606737098261252
