individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
5,5,14,12,0,2,12,11.785714285714286,0.8418367346938777,1.8583071604574457,0.7618718209304995,0.5811239894353137,0.7774485184168912
8,8,15,12,0,3,12,11.820000000000002,0.7880000000000001,1.4393329691686787,0.6783502606970484,0.9051123911720634,1.1640136415059068
10,10,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.1216674330111531,0.6277007917506822,0.6439775700984651,0.7323890179650916
2,2,13,9,0,4,9,8.884615384615387,0.683431952662722,0.7679211962586829,0.6379133648412157,0.801909417766512,0.9182097385767344
1,1,13,8,0,5,8,7.930769230769231,0.6100591715976331,0.5914037792293847,0.6260207125968198,0.847658251013083,0.9433359938709314
7,7,13,8,0,5,8,7.930769230769231,0.6100591715976331,0.11579685942390104,0.6046329925993336,0.8250878885122457,0.9032602256875971
4,4,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.3352891225073703,0.5788258485484585,1.1078103643805226,1.0756483237352283
19,19,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.2861405852124367,0.5975458405037929,0.9627474231619273,1.0447867322911992
20,20,16,9,0,7,9,8.9625,0.56015625,0.2755152114312764,0.554052465727938,1.015469369274249,1.0249849400227136
14,14,13,7,0,6,7,6.976923076923076,0.5366863905325443,0.3192724387085035,0.5923506673824327,0.9292581823181938,0.990490658239205
9,9,14,7,0,7,7,7,0.5,0.043675797657666555,0.5789784518990837,1.3245742802875171,1.258886231044863
3,3,15,7,0,8,7,7.02,0.46799999999999997,-0.25983550659452964,0.5623236613222138,0.9533535021692872,1.0021935863916696
18,18,15,7,0,8,7,7.02,0.46799999999999997,-0.24169628382585817,0.5690760397836725,1.1865795354829516,1.2206008673181525
16,16,13,6,0,7,6,6.023076923076923,0.4633136094674556,-0.2990124004729042,0.5985525565811953,1.5126253640758511,1.2752506780019022
17,17,15,6,0,9,6,6.0600000000000005,0.404,-0.2440507474533442,0.5775935040347102,0.5969224470886088,0.6752549283629365
11,11,14,5,0,9,5,5.085714285714285,0.36326530612244895,-0.5682766916379908,0.6147519341309324,0.766441420209975,0.9044427147978071
15,15,15,5,0,10,5,5.1,0.33999999999999997,-0.5398651336061155,0.5764352703899398,0.7919900163977014,0.8877340777208379
6,6,14,3,0,11,3,3.1714285714285713,0.22653061224489796,-1.3758360892086998,0.702157756640439,0.7435348181173488,0.8967077914437536
12,12,15,3,0,12,3,3.18,0.21200000000000002,-1.3003648140963031,0.6555366403005647,0.7060258404935323,0.783730685311773
13,13,14,1,0,13,1,1.2571428571428571,0.08979591836734693,-2.3253848861707542,0.9599448204071224,0.6375832679761759,0.8656567409948982
