individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
mIamImDamImo,115,17,17,0,0,17,16.7,0.9823529411764705,5.976087777105028,1.9239573746562653,0.01970803462196962,0.1110067152458141
rNerNiherNia,175,15,15,0,0,15,14.700000000000001,0.9800000000000001,4.929040157360004,1.8620692916823902,0.020831814406728936,0.040706930364220115
gMngMiungMia,67,14,14,0,0,14,13.700000000000001,0.9785714285714286,5.789968439673544,1.9297711871961707,0.02403386602073498,0.11773320841427111
sNlsNillsNic,202,14,14,0,0,14,13.700000000000001,0.9785714285714286,4.533007790824356,1.8721901479959435,0.022571831631310633,0.052043806669536424
nSunStounSte,160,19,18,0,1,18,17.731578947368423,0.9332409972299169,4.12911989153571,0.9865314846194655,0.20895105742328113,0.6877976854577007
sAesAlnesAle,185,17,16,0,1,16,15.735294117647058,0.9256055363321799,3.9456497961669026,1.0018267448245595,0.14949239207472914,0.4817628296577684
iMaiMalaiMar,82,16,15,0,1,15,14.7375,0.92109375,4.340395230659999,1.0982561508618984,0.36645807819782655,1.2548495534665136
dIrdIserdIsa,25,15,14,0,1,14,13.74,0.916,3.2437532812966654,0.989333431689534,2.7144065087230524,1.1638225686663122
fGffGaiffGar,56,15,14,0,1,14,13.74,0.916,2.9677417509238753,1.08518951823453,0.09515806431238251,0.2683284592425508
tAntAnentAnt,209,15,14,0,1,14,13.74,0.916,3.373424497723124,0.9914642332608479,0.23529941808262594,0.6368717365814491
ySaySoeaySop,249,15,14,0,1,14,13.74,0.916,4.272646709215249,1.095613173150942,0.1273620695019454,0.472344385521968
eLneLuineLue,46,14,13,0,1,13,12.742857142857146,0.9102040816326532,2.728694149610943,1.0143751943976467,0.15298921035320637,0.40202395380649214
eWleWayleWal,54,14,13,0,1,13,12.742857142857146,0.9102040816326532,3.3395101929878614,1.0793153387642775,0.2543165802655534,0.8693802326592136
gJngJaongJac,62,14,13,0,1,13,12.742857142857146,0.9102040816326532,3.91051299361329,1.2861323660530708,0.13641552512936247,0.7298477258603263
kJckJaickJam,91,14,13,0,1,13,12.742857142857146,0.9102040816326532,2.9527809213232166,1.0027408267883564,0.5772807193786712,1.005229933660274
sMgsMiggsMik,196,16,14,0,2,14,13.775,0.8609375,1.5814215592032264,0.7616880049456873,0.7550831938128226,0.9083791089801052
sMtsMartsMai,200,16,14,0,2,14,13.775,0.8609375,3.3387939353852754,0.8267688343175168,0.42305656389541413,0.9441336495946744
tLrtLaertLaw,216,16,14,0,2,14,13.775,0.8609375,3.665468605068287,0.861288931219174,0.5867054056594836,0.9785710542925734
dGedGaoedGab,23,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.6801358949276235,0.7852241117741342,0.34091742673326436,0.6257769267111467
dGrdGrardGra,24,15,13,0,2,13,12.780000000000001,0.8520000000000001,4.292134473501548,0.9231984568061654,0.2028742389650905,0.5064288430593941
eCzeCatzeCam,40,15,13,0,2,13,12.780000000000001,0.8520000000000001,4.0385871393156725,0.9921021821006639,0.1760221172421957,0.5553713751924715
nRenRusenRub,153,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.598025747758831,0.8735168675600998,0.2710151888339552,0.6503583294259361
rGerGrlerGra,169,15,13,0,2,13,12.780000000000001,0.8520000000000001,3.0316776778185215,0.8639911957064216,0.2658552779523951,0.538345259793234
rSerSyterSyl,182,15,13,0,2,13,12.780000000000001,0.8520000000000001,2.9336620305019223,0.864983591863954,0.8717138870043385,1.536195064605814
sSesSonesSop,205,15,13,0,2,13,12.780000000000001,0.8520000000000001,3.1211512234700884,0.8983864685635972,1.4510780090597977,1.889950000610759
tKrtKeartKei,215,15,13,0,2,13,12.780000000000001,0.8520000000000001,3.815859402069173,0.8910355041967695,0.28163753354823917,0.7346177066791257
kAckAlackAli,88,14,12,0,2,12,11.785714285714286,0.8418367346938777,2.6238500563553258,0.8329197174001539,0.5946115864625641,1.1806386805981979
nNnnNiinnNin,150,14,12,0,2,12,11.785714285714286,0.8418367346938777,3.377651631313361,0.8410790552706764,0.26915855121686005,0.5941672527902686
rFerFiterFin,166,14,12,0,2,12,11.785714285714286,0.8418367346938777,2.515022470936607,0.934040596840107,0.35056740758755545,0.8851801152136892
rMerManerMax,174,14,12,0,2,12,11.785714285714286,0.8418367346938777,3.366985537727141,1.1074849405465528,0.08712970902720904,0.2120308181910312
tMhtMaghtMat,218,14,12,0,2,12,11.785714285714286,0.8418367346938777,1.4111164981567486,0.8387956160785489,0.45046685376947904,0.8956020262412757
hBthBeothBel,70,13,11,0,2,11,10.792307692307693,0.8301775147928995,2.5005536050636485,0.9789397353734168,0.19373719526055816,0.5014809063422374
nConCasonCal,126,15,12,0,3,12,11.820000000000002,0.7880000000000001,1.4195289347032103,0.7932639528422579,0.37905467840105594,0.7378566466906534
nRrnRoornRoc,156,15,12,0,3,12,11.820000000000002,0.7880000000000001,2.518070991616569,0.7127264353912028,0.8902520111158023,1.0421598371820187
rFerFrmerFra,167,15,12,0,3,12,11.820000000000002,0.7880000000000001,2.043694886798648,0.7905027070183119,0.7415120273542473,1.0644026507382114
sSisSyrisSyd,206,15,12,0,3,12,11.820000000000002,0.7880000000000001,3.5169219736088353,0.8539620694805361,1.2688045877005123,1.099756697090325
AAHAAlSHAAll,1,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.7931160702830735,0.8236855729564281,4.560221154606468,1.0380083662885473
eWceWiuceWil,53,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.1156138625058585,0.7927474035041158,0.5486234057373219,0.9860396774802429
kFokFrookFra,90,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.4395461300121997,0.7531684016488152,0.5676360148500631,0.8660877260116652
nAonArlonArt,122,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.034582638954447,0.7510054016108539,0.41683710541294694,0.6776059897938901
nMonMasonMax,146,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.237349347937931,0.9370802960248037,0.19597023424223003,0.47908232742958484
oKpoKaapoKat,162,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.4822721519800715,0.8952313428380924,0.38312094607349095,0.9786408196327069
rTerToherTob,183,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.6077555443609546,0.7775515403174381,0.7117550017337735,0.8536882316133034
sNesNiyesNin,201,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.4500359198339074,0.8382737877288214,0.34084410968404033,0.5945555079415706
tMttMaattMax,219,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.2110041928773176,0.7597435353048579,0.6092598830614815,0.7749871993943114
yCayCowayCos,235,14,11,0,3,11,10.82857142857143,0.7734693877551021,2.024846828677913,0.8179713727031825,0.31876441273564016,0.6556592114190994
nAinAmvinAmy,120,16,12,0,4,12,11.850000000000001,0.7406250000000001,1.875028031569539,0.6498360164650906,0.6359762300298911,0.800083390529247
aAiaAtniaAta,2,15,11,0,4,11,10.860000000000001,0.7240000000000001,0.9965935075197853,0.7112997855288268,0.7727927644216552,1.2246443566456418
dMrdMaOrdMar,29,15,11,0,4,11,10.860000000000001,0.7240000000000001,2.136734978825539,0.7984592941808548,0.255737789936884,0.5084363831790942
eReeRuneeRub,51,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.9975016682041584,0.6814683872463824,22.95788622472544,1.2051343622671973
hKthKiothKia,73,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.3898002286216802,0.6993029070661935,0.5054966263509815,0.7182548932214285
iMriMairiMai,84,15,11,0,4,11,10.860000000000001,0.7240000000000001,2.1883977646840806,0.7079537488237364,0.5809926978137391,0.9082936310613207
lAllAuullAus,97,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.4501641184421281,0.7359596389811718,0.39692691983136846,0.6939366705308238
lMelMabelMar,105,15,11,0,4,11,10.860000000000001,0.7240000000000001,2.615138682651256,0.7208857943607615,0.7230125163767868,1.1500762056438785
mNimNahimNaz,117,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.2101533646958125,0.7471514841418464,0.4862365305675252,0.8553408126394652
nLhnLuohnLuk,140,15,11,0,4,11,10.860000000000001,0.7240000000000001,2.193098871891859,0.6401143607648634,0.5341989351313525,0.6786102674775705
nRnnRoannRob,154,15,11,0,4,11,10.860000000000001,0.7240000000000001,0.8523237593353258,0.7590447354787592,0.32111251028980037,0.6198614729904028
sFesFeresFel,191,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.781735219934946,0.7083063607816971,0.936074598784339,1.1017241110433598
