name,value
68,363.616
410,359.578
423,354.804
516,333.641
216,329.26
530,289.725
95,288.949
259,288.868
77,273.171
528,271.108
315,270.677
157,268.868
531,268.227
477,267.338
494,264.947
331,263.288
405,256.005
484,247.443
257,247.217
132,247.201
209,244.641
150,242.459
552,240.928
286,237.347
434,237.316
346,236.724
510,234.511
440,230.079
482,229.676
272,229.314
135,220.528
221,219.671
222,217.757
65,217.727
245,215.362
557,214.345
542,213.976
199,211.42
246,208.931
541,208.486
163,207.161
87,207.097
169,204.097
428,201.768
519,200.801
309,200.42
546,199.86
10,196.149
281,192.805
442,192.628
74,191.939
58,188.007
497,187.457
372,186.781
200,183.862
270,183.333
311,182.012
61,181.11
127,179.748
474,178.627
26,177.44
12,175.192
374,171.825
328,171.115
525,170.273
130,168.976
308,167.275
160,166.297
175,164.753
250,162.353
15,161.71
333,161.586
207,160.603
521,160.431
271,159.576
297,158.332
478,156.304
94,154.871
332,154.696
392,154.454
112,153.726
88,152.96
338,151.93
433,149.539
562,149.073
295,148.66
273,147.311
526,145.507
228,144.774
79,143.71
182,142.802
472,142.322
469,141.365
537,141.095
176,139.239
536,138.767
227,138.272
293,136.687
543,135.335
42,134.568
34,132.454
158,132.238
188,129.856
438,129.735
181,129.12
319,127.093
206,125.27
299,124.943
359,124.396
212,122.28
473,118.176
64,117.877
195,116.93
419,115.917
143,114.622
184,114.405
347,113.942
174,113.892
13,111.467
373,110.366
202,109.974
48,109.33
514,109.123
523,107.081
14,106.104
234,105.951
283,104.728
251,103.438
44,102.841
210,102.43
377,101.511
439,100.587
396,98.916
106,98.907
435,97.36
535,97.212
187,96.52
318,95.585
215,95.182
357,94.65
452,94.395
136,94.075
35,94.044
371,93.846
153,93.791
296,92.726
89,92.462
60,92.113
111,90.116
141,90.014
107,89.873
365,89.489
196,88.305
329,88.14
240,86.985
134,86.798
197,86.696
300,86.616
301,86.506
96,86.421
302,86.39
485,85.825
394,85.626
522,85.249
457,84.928
56,83.651
67,82.386
462,82.229
345,78.865
109,77.924
498,77.337
527,76.43
415,75.459
363,75.389
488,72.892
367,70.839
138,70.46
284,69.945
41,69.881
204,69.56
54,69.195
203,69.177
69,69.083
291,68.085
471,67.868
266,67.831
465,67.439
170,67.221
431,66.998
185,66.041
122,65.238
235,64.376
8,64.028
466,61.942
104,61.509
168,61.212
558,60.961
376,59.921
408,59.848
502,59.565
506,59.323
427,59
51,58.072
156,57.784
540,57.029
217,56.994
144,55.785
285,55.576
548,55.339
317,55.238
388,54.173
52,54.089
312,53.494
242,53.289
324,52.769
456,51.623
241,51.341
267,50.707
20,50.55
337,50.508
551,50.001
261,49.864
55,49.754
22,49.128
218,49.099
515,48.822
72,48.48
219,47.445
316,45.337
201,44.525
275,44.291
39,43.748
166,43.306
279,42.682
441,41.952
66,39.382
323,39.298
47,37.966
7,37.823
149,37.613
518,36.469
411,35.098
264,33.965
381,33.2
483,33.033
307,28.523
123,27.434
480,26.244
564,26.139
192,26.003
9,25.668
459,24.9
449,24.363
325,23.493
252,23.09
121,21.487
288,19.187
390,18.716
178,18.316
420,18.106
253,17.567
5,17.054
326,15.964
37,15.732
493,14.654
391,14.538
80,14.331
352,13.948
517,13.862
292,13.426
341,12.702
17,12.078
463,10.61
82,9.793
314,9.465
501,9.21
1,5.625
418,4.426
490,4.337
6,4.142
412,3.91
432,2.448
361,2.338
31,1.872
280,1.841
57,1.74
512,0.668
2,0.18
255,-0.244
436,-1.444
489,-2.89
223,-4.684
395,-4.971
28,-5.225
334,-5.276
448,-6.387
422,-6.629
496,-7.385
237,-7.61
549,-8.766
414,-8.929
407,-8.97
86,-9.763
413,-10.052
342,-12.242
125,-12.273
425,-12.599
258,-13.005
118,-13.027
509,-13.243
429,-13.594
556,-15.971
451,-16.24
220,-17.701
351,-17.763
538,-18.185
151,-18.295
40,-18.786
330,-20.346
479,-21.423
350,-22.354
278,-23.351
262,-23.589
70,-24.487
256,-25.894
561,-27.423
533,-28.216
384,-28.804
137,-29.598
71,-30.663
11,-31.231
349,-31.337
453,-32.393
369,-33.452
78,-34.631
545,-34.91
289,-34.927
231,-35.101
409,-38.162
91,-38.8
50,-40.008
30,-40.773
27,-41.582
229,-43.708
75,-43.91
468,-44.342
511,-44.347
172,-44.404
467,-44.573
305,-44.923
230,-45.308
190,-45.341
403,-45.789
36,-46.007
83,-46.671
152,-46.673
306,-47.244
148,-48.405
62,-49.053
46,-49.154
492,-49.92
179,-52.924
383,-52.935
260,-54.264
173,-56.065
400,-56.247
161,-58.45
520,-59.511
21,-60.193
38,-60.257
45,-61.945
327,-61.982
534,-64.161
131,-66.029
322,-66.488
186,-66.798
450,-67.138
460,-69.086
426,-69.123
147,-70.213
233,-70.634
481,-70.897
563,-71.457
505,-71.911
550,-71.943
24,-72.735
76,-73.139
513,-73.371
116,-81.018
282,-81.047
507,-82.177
129,-82.443
379,-84.03
193,-84.09
115,-85.738
146,-86.103
416,-86.657
539,-87.942
265,-88.059
180,-88.571
389,-89.22
277,-89.24
385,-89.916
335,-90.379
73,-91.728
268,-91.918
119,-92.229
348,-93.163
503,-93.437
336,-93.537
547,-94.242
140,-94.606
124,-95.588
4,-95.814
139,-95.932
290,-96.211
344,-96.226
486,-96.25
247,-96.514
340,-98.158
191,-98.57
380,-99.018
276,-99.311
232,-99.607
198,-101.022
32,-101.465
165,-102.041
362,-103.435
90,-104.012
49,-107.863
358,-108.353
274,-108.896
16,-108.985
398,-109.309
375,-109.861
387,-110.94
366,-110.984
189,-111.228
544,-111.33
393,-111.969
84,-112.196
532,-114.675
424,-114.754
354,-114.872
269,-115.137
243,-119.232
19,-119.998
421,-120.721
171,-123.999
145,-124.538
437,-125.318
103,-125.97
114,-126.082
159,-126.22
559,-127.427
33,-127.481
208,-127.508
110,-128.984
445,-129.594
430,-131.039
320,-131.533
310,-131.536
321,-131.902
97,-132.997
43,-133.53
244,-133.656
92,-133.984
504,-134.782
154,-135.075
226,-136.03
213,-138.102
454,-138.445
524,-138.854
386,-139.782
304,-140.179
85,-141.018
554,-141.811
117,-142.294
126,-147.037
239,-147.404
162,-149.689
29,-149.901
355,-150.8
238,-152.492
100,-152.624
404,-152.917
370,-153.985
211,-154.999
417,-155.651
475,-156.423
406,-156.796
447,-158.808
339,-159.321
487,-159.775
93,-160.893
303,-162.074
444,-163.041
495,-166.367
500,-167.826
555,-168.148
101,-168.589
298,-170.306
224,-171.259
108,-172.601
470,-172.649
560,-172.886
402,-174.792
364,-175.014
294,-175.391
378,-175.818
81,-177.848
155,-178.809
194,-180.145
313,-181.931
214,-184.736
23,-187.848
142,-189.056
205,-189.905
343,-192.831
529,-194.422
3,-196.011
120,-197.206
461,-198.202
53,-198.706
167,-203.717
133,-204.329
25,-206.471
401,-207.481
102,-208.171
464,-211.557
458,-213.486
183,-215.32
476,-215.44
353,-222.635
236,-225.588
287,-230.673
128,-233.174
105,-240.633
177,-249.056
225,-249.442
368,-250.898
18,-255.662
164,-256.549
499,-259.633
113,-259.856
443,-259.863
249,-261.559
397,-262.756
263,-268.661
508,-269.243
99,-269.458
98,-284.555
399,-286.053
382,-289.168
59,-293.61
356,-318.827
491,-322.15
455,-328.901
63,-331.285
553,-336.951
446,-349.253
360,-357.852
254,-392.358
248,-433.097
