individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
55,55,33,33,0,0,33,32.699999999999996,0.9909090909090907,6.357004922000358,1.8678555266951344,0.009519282811490667,0.04622744584685277
112,112,31,30,0,1,30,29.719354838709677,0.9586888657648283,5.428327326036451,0.9890082167405874,0.081062923854029,0.45190010255544977
103,103,36,34,0,2,34,33.73333333333333,0.9370370370370369,5.014211674413985,0.767443309081699,0.45967096213257935,1.195548034383341
26,26,33,31,0,2,31,30.736363636363638,0.931404958677686,4.425257115610433,0.7636133464631824,0.21739458761433061,0.8130795627606925
37,37,36,33,0,3,33,32.75,0.9097222222222222,3.94759371805427,0.6665542379401769,0.3163116376447854,0.9006779458955293
67,67,36,33,0,3,33,32.75,0.9097222222222222,4.243750232543961,0.6377269118934,0.22146983549533045,0.6434794355711095
13,13,35,32,0,3,32,31.75142857142857,0.9071836734693877,4.212955281373365,0.6356344035916163,0.6286040589754588,0.8894471408451615
85,85,32,29,0,3,29,28.756249999999998,0.8986328124999999,4.034524989647144,0.7261163747097593,0.719272723204381,0.7670754023949983
66,66,32,28,0,4,28,27.775,0.86796875,4.06176114408478,0.6529610005936058,2.702411644500333,1.2297343559862193
83,83,32,28,0,4,28,27.775,0.86796875,3.5207776178041565,0.6312254280373178,0.3643014403699132,0.8359618291119729
1,1,35,30,0,5,30,29.785714285714285,0.8510204081632653,3.4158119903671316,0.5600928075204966,0.3016556852775488,0.690341234355922
12,12,34,29,0,5,29,28.788235294117644,0.846712802768166,3.7605224345150887,0.6041355713897307,0.4044506066571171,1.039136327684298
64,64,31,26,0,5,26,25.796774193548387,0.8321540062434963,3.360038609460848,0.6621180916215147,0.8417266653382567,1.6475560235319875
116,116,31,26,0,5,26,25.796774193548387,0.8321540062434963,3.0178271662436305,0.621149509914676,0.47534226913599353,1.0308631718823789
121,121,31,26,0,5,26,25.796774193548387,0.8321540062434963,3.528923693184379,0.6323345528854943,0.48172680412758906,1.045330146741668
102,102,34,28,0,6,28,27.805882352941175,0.8178200692041522,2.661694608100659,0.572242135270012,0.18031085994763316,0.3987679354074572
111,111,34,28,0,6,28,27.805882352941175,0.8178200692041522,3.5150667818719694,0.558567089494839,0.46370295980919546,0.9974510570881895
30,30,33,27,0,6,27,26.80909090909091,0.812396694214876,3.0189359777911164,0.5462496868968459,0.49056899926079867,0.7266296654200851
9,9,32,26,0,6,26,25.8125,0.806640625,3.5074836675959227,0.5862032893996227,0.5606832347680114,0.9771698144431976
95,95,32,26,0,6,26,25.8125,0.806640625,2.999841594815776,0.5717525074311015,0.4126504757552776,0.8215852812019209
56,56,37,30,0,7,30,29.813513513513513,0.8057706355003652,2.8714413550136215,0.5295853092019408,0.9306802651808066,0.9397114461766397
53,53,36,29,0,7,29,28.816666666666666,0.8004629629629629,2.855483853589226,0.5413368294248924,0.7208673813350986,1.1171729634226004
51,51,35,28,0,7,28,27.82,0.7948571428571428,2.897534075995972,0.5724072971940427,0.2591359128586663,0.6234984248852106
46,46,32,25,0,7,25,24.83125,0.7759765625,2.9083370186100828,0.5428495476676936,1.1265685937260985,1.2133153139332897
110,110,33,25,0,8,25,24.845454545454547,0.7528925619834711,2.412423665080273,0.5604846653482006,0.6104066167868312,0.7755408786080239
44,44,35,26,0,9,26,25.854285714285716,0.7386938775510205,1.891174412741827,0.5162852004840374,1.0239023294319267,1.5130485860500218
22,22,34,25,0,9,25,24.858823529411765,0.7311418685121107,1.35613682896026,0.5753991055387979,1.3109545721466749,0.7831055019982814
24,24,33,24,0,9,24,23.863636363636363,0.7231404958677686,2.3747438878061544,0.5273703991076534,0.35449371536291163,0.7213300163955683
81,81,29,21,0,8,21,20.86551724137931,0.7195005945303211,2.4909618511392315,0.6382029533796615,0.4902119980474748,0.917568219108679
54,54,36,26,0,10,26,25.866666666666667,0.7185185185185186,2.034553327811139,0.47794352067136764,0.5112121093527703,0.7562191314168862
73,73,36,26,0,10,26,25.866666666666667,0.7185185185185186,2.3250977374314763,0.5439960949926167,0.40472496331123486,0.8895894955127354
45,45,32,23,0,9,23,22.86875,0.7146484375,2.9118476046320088,0.525685002860316,0.31661337299743,0.5941381011975481
52,52,32,23,0,9,23,22.86875,0.7146484375,2.929097685626247,0.5264271821535104,0.7135886694929156,1.0809557424102292
