name,value
874,444.475
980,434.16
974,424.17
997,417.348
995,414.148
996,407.086
592,392.159
928,389.802
929,376.316
977,372.501
938,365.653
957,361.889
986,359.864
967,353.871
869,353.036
827,340.994
733,339.821
937,338.743
798,335.558
655,322.672
993,313.804
976,313.351
991,304.482
962,304.476
606,303.946
921,303.437
842,300.368
747,296.756
875,292.767
818,291.813
545,290.215
969,288.816
734,285.087
649,283.833
732,282.58
885,279.158
951,277.926
531,275.28
206,272.264
985,271.037
982,269.997
703,269.125
640,266.78
930,264.418
926,264.034
694,261.487
865,261.459
942,258.346
2,256.64
964,256.299
831,254.873
955,254.661
973,253.42
965,249.844
953,249.666
658,249.067
882,248.67
909,248.588
469,248.297
605,246.687
815,243.334
776,242.707
922,241.789
923,240.904
744,240.441
844,240.007
884,239.917
682,238.88
492,238.466
998,237.385
280,237.13
913,235.113
641,234.375
714,231.879
934,231.762
979,230.521
625,230.253
936,226.916
918,225.691
971,224.117
700,223.722
544,220.809
657,220.084
433,219.959
892,219.387
975,218.236
454,217.697
907,217.577
961,216.49
689,216.13
994,215.148
749,212.791
5,212.097
950,211.623
910,211.383
20,211.263
894,210.191
860,209.826
449,209.018
972,207.484
754,207.172
727,207.001
887,205.81
870,205.455
753,205.34
551,203.638
896,203.33
989,202.166
988,201.753
738,201.638
333,201.472
293,201.4
970,200.846
968,200.186
207,198.375
984,197.509
674,194.775
609,194.172
7,192.98
663,188.762
270,188.274
675,188.177
616,187.136
846,185.83
762,185.703
944,184.774
958,183.854
528,183.723
710,183.649
850,182.205
935,180.608
900,179.642
552,179.1
890,177.77
585,176.919
859,176.297
557,176.271
720,176.211
3,176.039
862,175.87
871,175.797
943,175.338
825,174.673
589,173.47
914,173.467
932,171.783
807,170.339
752,170.182
511,170.129
735,169.42
529,168.845
840,168.115
811,167.876
667,166.558
308,166.451
462,166.115
755,165.995
861,165.053
639,164.386
692,162.913
793,161.712
763,161.698
355,161.682
656,161.41
662,161.24
543,158.276
898,157.775
915,156.204
966,155.976
775,154.818
476,153.57
11,153.255
398,152.836
999,152.609
990,152.48
412,151.736
659,150.45
326,149.653
839,148.97
369,148.436
633,147.526
361,147.446
726,146.412
948,145.6
778,144.962
587,144.201
458,144.162
429,143.815
857,142.661
782,142.502
695,142.316
832,142.126
521,141.991
814,141.024
799,140.517
889,140.245
908,139.968
635,139.737
624,139.089
586,138.859
707,138.157
841,137.975
745,137.965
301,137.718
963,137.487
513,137.278
547,135.674
946,131.914
751,131.678
680,131.007
949,129.79
208,127.953
582,127.564
801,127.351
669,126.455
