name,value
36,351.283
58,310.931
53,280.624
39,249.915
71,244.684
55,232.251
31,217.441
57,201.16
56,200.025
48,197.89
1,192.024
62,186.958
67,179.974
66,169.024
18,160.805
3,152.761
70,135.124
69,133.562
4,113.166
23,102.927
61,93.15
15,87.27
33,67.011
40,61.722
25,60.935
68,57.881
59,57.461
65,47.278
19,45.777
24,45.447
14,34.515
34,33.754
22,33.425
54,29.042
52,28.713
28,22.329
20,8.98
29,6.297
11,5.338
44,5.3
46,-11.384
75,-26.636
21,-31.874
37,-32.389
13,-32.429
9,-52.271
17,-55.638
42,-62.539
5,-67.941
10,-81.515
16,-82.401
30,-87.648
27,-91.013
38,-98.015
64,-102.311
6,-107.317
26,-115.962
63,-133.099
72,-137.413
74,-142.487
8,-149.824
47,-160.408
12,-160.746
49,-173.476
35,-173.753
51,-179.957
7,-188.392
60,-206.075
32,-215.574
50,-249.048
45,-255.18
43,-257.087
41,-260.926
2,-308.988
73,-352.438
