name,value
33,260.252
60,254.592
55,229.699
22,221.589
58,211.19
37,194.807
31,193.199
69,173.5
14,161.143
52,152.677
1,132.2
3,124.872
4,122.673
35,117.339
34,101.857
59,99.179
32,98.935
66,88.252
21,88.013
70,79.501
39,74.117
28,70.553
27,70.429
6,58.97
30,58.51
67,54.083
38,50.475
2,46.883
36,46.15
7,42.494
8,36.944
26,34.408
65,30.267
44,22.853
29,17.329
15,15.167
45,11.061
40,9.102
54,1.35
50,-7.999
57,-8.728
48,-9.558
64,-16.921
13,-31.146
47,-32.523
24,-35.393
46,-39.031
49,-58.291
43,-58.465
25,-64.19
16,-77.993
61,-81.133
23,-86.821
9,-89.932
68,-91.667
51,-105.814
63,-108.25
41,-125.296
20,-129.642
12,-139.035
17,-151.151
5,-155.322
10,-156.579
72,-164.865
56,-177.852
19,-183.815
11,-186.701
18,-215.267
42,-238.938
71,-249.423
62,-281.82
53,-297.053
