individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
10,10,12,11,0,1,11,10.750000000000002,0.8958333333333335,8.207360585666304,1.1364625497016652,0.2571742211086581,0.9221292878810663
133,133,14,12,0,2,12,11.785714285714286,0.8418367346938777,6.539578498563419,0.8371938264519662,1.6873535315469155,1.1104533186634513
108,108,12,10,0,2,10,9.8,0.8166666666666668,4.88715303895431,0.9584217195836868,1.4874068359862627,1.2706824059491293
36,36,15,12,0,3,12,11.820000000000002,0.7880000000000001,5.279648989925635,0.9951562077003088,0.981434946312893,1.5389634519061413
27,27,14,11,0,3,11,10.82857142857143,0.7734693877551021,7.031299894928087,0.7402246637836273,0.5379254567429456,0.9052877253588848
52,52,14,11,0,3,11,10.82857142857143,0.7734693877551021,8.141001867792962,0.7022064022202273,0.5379234392485538,0.8311520555791564
58,58,14,11,0,3,11,10.82857142857143,0.7734693877551021,6.769571155360904,0.7126438935766369,0.49942932401174067,0.8148554299181758
84,84,14,11,0,3,11,10.82857142857143,0.7734693877551021,-0.4246538564902407,0.6744844485145938,0.8546320945220179,0.9924646736668084
107,107,14,11,0,3,11,10.82857142857143,0.7734693877551021,7.700517615932012,0.7615557890350863,0.38035790779811335,0.6772232982844562
101,101,13,10,0,3,10,9.838461538461539,0.7568047337278107,7.720935638376177,0.7251236341704991,1.4760072683071708,1.2680884524732303
128,128,13,10,0,3,10,9.838461538461539,0.7568047337278107,5.114901572762472,0.9310717222888323,0.3811841427396194,0.820443424868554
14,14,14,10,0,4,10,9.871428571428572,0.7051020408163265,1.3376174102726464,0.7969977722592997,0.3204317062497832,0.6274633569005844
38,38,14,10,0,4,10,9.871428571428572,0.7051020408163265,6.918534005625506,0.686993245851321,0.5697718500271406,0.8412162602355828
51,51,14,10,0,4,10,9.871428571428572,0.7051020408163265,1.3441942629817727,0.6331332605498918,1.0790478365553118,1.0202430476570414
56,56,14,10,0,4,10,9.871428571428572,0.7051020408163265,6.029418307550579,0.7876210022851086,0.3509930566774098,0.6363526414535868
81,81,14,10,0,4,10,9.871428571428572,0.7051020408163265,1.2596539289259394,0.7156304396303457,0.44346428734581583,0.6553673218938352
