individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
21,21,14,13,0,1,13,12.742857142857146,0.9102040816326532,10.572412437068884,1.0219863256483404,11.360599135694986,1.3421019174704245
76,76,14,12,0,2,12,11.785714285714286,0.8418367346938777,7.702319320231026,0.891172193258416,0.8342052311272076,0.9403148133538384
168,168,14,12,0,2,12,11.785714285714286,0.8418367346938777,6.271569856326461,0.8487832696803383,0.879689211930566,0.9324549795788425
170,170,14,12,0,2,12,11.785714285714286,0.8418367346938777,7.50799793841819,0.8400033333988915,1.0091982409723599,0.9078385200172517
172,172,14,12,0,2,12,11.785714285714286,0.8418367346938777,5.805244003578519,0.8073691086618567,1.4805591683249075,1.0220640738188864
72,72,20,17,0,3,17,16.79,0.8394999999999999,4.616549809119321,0.6483672535082762,1.8966200059629137,1.260421087563219
122,122,21,17,0,4,17,16.814285714285713,0.8006802721088435,3.3708947326758447,0.5939166573562951,1.3542506728454153,0.956216455728599
25,25,20,16,0,4,16,15.82,0.791,2.549387469349824,0.7440855110555854,5.273784619312923,1.3501665566739505
26,26,20,16,0,4,16,15.82,0.791,4.546492220685892,0.6034716344325339,0.6729016220729485,0.9475834868861153
9,9,14,11,0,3,11,10.82857142857143,0.7734693877551021,6.514555601575326,0.7696862536754976,1.0681080452224812,0.9262663946457101
16,16,14,11,0,3,11,10.82857142857143,0.7734693877551021,6.99065279910346,0.7987354824132704,1.0458069565540051,1.0191679178729502
23,23,14,11,0,3,11,10.82857142857143,0.7734693877551021,9.027609708537973,0.8531987214957271,0.18948420767958551,0.38066751998849974
24,24,14,11,0,3,11,10.82857142857143,0.7734693877551021,7.12605349101348,0.7403983589369312,0.37601592082600327,0.6582668209052127
71,71,14,11,0,3,11,10.82857142857143,0.7734693877551021,5.790371878812868,0.8581675870032105,1.9200332506862312,1.2937520532574824
124,124,14,11,0,3,11,10.82857142857143,0.7734693877551021,5.6909885029603515,0.7309494983632515,0.3062418402443452,0.4840364623187922
125,125,14,11,0,3,11,10.82857142857143,0.7734693877551021,9.672497992283999,0.854423710909699,0.1908205643811616,0.38914065466835085
173,173,14,11,0,3,11,10.82857142857143,0.7734693877551021,5.779461235171617,0.7537251363383305,0.43542499861315836,0.7825207410136279
28,28,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.3829876515862647,0.5725757441380093,1.2059377738679558,0.9377506701418483
109,109,20,15,0,5,15,14.850000000000001,0.7425,3.017540139116298,0.6035863097810745,0.8378374325053273,0.8622029543220217
126,126,20,15,0,5,15,14.850000000000001,0.7425,2.9881298975880304,0.5640598924248061,0.7008277401812456,0.9834766091854366
166,166,20,15,0,5,15,14.850000000000001,0.7425,4.1400230082199005,0.5763147559806396,0.6762817248191368,0.8047918089718684
171,171,20,15,0,5,15,14.850000000000001,0.7425,4.733418457015494,0.5979063159162598,0.39836000830821744,0.5642179364194706
128,128,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.9498092339939765,0.5611633736065503,0.5715269326218885,0.8016842749025632
163,163,22,16,0,6,16,15.863636363636363,0.7210743801652892,3.7472453321997086,0.6160602836917206,1.03893791471774,0.8725790580956655
120,120,21,15,0,6,15,14.871428571428572,0.7081632653061225,2.6971484038680806,0.6265475846944184,2.5460837366256817,1.4072362445200843
69,69,14,10,0,4,10,9.871428571428572,0.7051020408163265,6.256036906533473,0.6903764424514819,0.6406467612760219,0.7971605189671886
79,79,14,10,0,4,10,9.871428571428572,0.7051020408163265,4.938931206448383,0.7225190544937843,0.7103870155452991,0.8713914050899176
127,127,14,10,0,4,10,9.871428571428572,0.7051020408163265,5.843749461636179,0.9450703214410019,0.22228240027972124,0.5899004205279801
10,10,20,14,0,6,14,13.879999999999999,0.694,1.9625516867943835,0.5621126611474099,3.9545039047892994,1.0260137432015954
165,165,20,14,0,6,14,13.879999999999999,0.694,3.1182629802248805,0.5981261112966633,0.5153473916516412,0.7505587780475612
184,184,20,14,0,6,14,13.879999999999999,0.694,3.6898180450751896,0.5406075241994028,0.6884849482692773,0.7460005961555602
20,20,22,15,0,7,15,14.890909090909092,0.6768595041322315,2.870599960407851,0.530720701859774,0.5083584035742116,0.6366858001830167
167,167,22,15,0,7,15,14.890909090909092,0.6768595041322315,0.8819641375037364,0.5801164089002727,0.3926983899950818,0.6500298079573903
113,113,21,14,0,7,14,13.899999999999999,0.6619047619047619,1.512634765349204,0.5441825809635527,1.4390858626305498,1.1950968879620072
169,169,20,13,0,7,13,12.91,0.6455,2.244975149660005,0.5489293104970685,1.0009963478496484,1.0805333158915311
175,175,20,13,0,7,13,12.91,0.6455,3.9824751059524477,0.5666551080362421,1.7329070608915653,1.2673575022330963
19,19,14,9,0,5,9,8.914285714285716,0.6367346938775512,5.5136954909173355,0.6930074447611142,0.4797181341172978,0.7502686412617887
22,22,14,9,0,5,9,8.914285714285716,0.6367346938775512,2.1941986024487665,0.6604535809074903,0.45026050717853217,0.613349652975152
27,27,14,9,0,5,9,8.914285714285716,0.6367346938775512,6.419035846666482,0.7934368993375442,0.24139695722430846,0.4365454999445105
48,48,14,9,0,5,9,8.914285714285716,0.6367346938775512,0.049179084681142876,0.6594528161224879,1.7043572372705913,1.7673351802298902
66,66,14,9,0,5,9,8.914285714285716,0.6367346938775512,5.43803489313395,0.7476108445100338,1.1010563589761442,1.1467607414232643
85,85,14,9,0,5,9,8.914285714285716,0.6367346938775512,2.024361804745343,0.716950753175293,0.8623078756964925,0.8598498271744104
91,91,14,9,0,5,9,8.914285714285716,0.6367346938775512,8.239110152643777,0.794905814913446,0.19590448442127897,0.3085831733565796
123,123,14,9,0,5,9,8.914285714285716,0.6367346938775512,1.8891598494055184,0.6472452557243059,0.7507731464212887,0.9372225351623826
158,158,14,9,0,5,9,8.914285714285716,0.6367346938775512,5.8064052627083855,0.717277825058093,0.4640887068197799,0.7802560198955245
17,17,22,14,0,8,14,13.918181818181818,0.6326446280991735,-1.6203807119771994,0.5530212236549384,1.1415987374596706,0.784102666428828
31,31,22,14,0,8,14,13.918181818181818,0.6326446280991735,1.7338044638254098,0.5114465995039057,0.9228565076050217,0.9882599583374422
33,33,22,14,0,8,14,13.918181818181818,0.6326446280991735,-1.3655438201549888,0.595635441221743,0.5506512782414817,0.6509037939193584
45,45,22,14,0,8,14,13.918181818181818,0.6326446280991735,-0.9422350405783473,0.5218866939658056,1.2333178540944174,1.0278472900066615
116,116,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.9457720438589682,0.484349802355608,0.9668607537972373,1.0417900977871515
121,121,22,14,0,8,14,13.918181818181818,0.6326446280991735,1.269328111938023,0.5495683811213836,0.9713649529374645,1.075143919525576
34,34,20,12,0,8,12,11.94,0.597,2.050893317686317,0.5437999902259238,0.787741745976524,0.9923832676088497
68,68,20,12,0,8,12,11.94,0.597,2.1134172863201344,0.5252931335375894,0.7285709070562106,0.8413803661951436
73,73,20,12,0,8,12,11.94,0.597,3.5334013566206623,0.5392347865466448,1.7534725179721053,0.9657833297486285
74,74,20,12,0,8,12,11.94,0.597,4.835211224429626,0.5722038887815547,0.9662367794275545,1.0730837732767395
139,139,20,12,0,8,12,11.94,0.597,3.7288807937470745,0.5394106001970831,0.7380766759459563,0.8810788965428225
70,70,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.9442013326009704,0.5100248709161016,0.6190876132562475,0.7405289523915509
112,112,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.30309351731445683,0.5041926720611893,0.655771479925614,0.7930627712126573
118,118,22,13,0,9,13,12.945454545454545,0.5884297520661157,-0.6248958839455321,0.4891351864259875,2.0931827847231896,1.2230782871901607
145,145,22,13,0,9,13,12.945454545454545,0.5884297520661157,-2.7372440131336817,0.5393492596758167,0.9435305218927628,0.989712769214303
147,147,22,13,0,9,13,12.945454545454545,0.5884297520661157,-4.02456850696825,0.5458150513274695,0.4625817803926313,0.6242176980540096
149,149,22,13,0,9,13,12.945454545454545,0.5884297520661157,-6.344983176546149,0.5530427289785652,0.5284444749834158,0.7644846699451264
150,150,22,13,0,9,13,12.945454545454545,0.5884297520661157,-0.8406833182624215,0.5356286705775659,0.49850594127110226,0.7081298045612553
156,156,22,13,0,9,13,12.945454545454545,0.5884297520661157,-3.812899672827319,0.5113415803208918,0.5900960909059784,0.7268223831258076
178,178,22,13,0,9,13,12.945454545454545,0.5884297520661157,-0.9210646289610253,0.5406314517689125,0.6076286874225714,0.8614193976186444
191,191,22,13,0,9,13,12.945454545454545,0.5884297520661157,0.7067827864659066,0.5454445752375409,0.9213950559957158,1.06923487612611
199,199,22,13,0,9,13,12.945454545454545,0.5884297520661157,-3.599996953186066,0.5303382078648738,0.6668559241717782,0.9331485387199713
37,37,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.5806786501081321,0.6280424963082919,0.682092763245594,0.8494489856636609
83,83,14,8,0,6,8,7.957142857142857,0.5683673469387756,6.98502949392104,0.7396819812750982,0.2751165776736744,0.41267594108298167
142,142,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.3025179079408624,0.7285162075713056,0.4005982521339447,0.6486362480317509
