name,value
21,385.424
76,313.64
125,303.796
170,301.943
172,285.598
168,283.491
72,281.07
23,274.981
124,266.849
24,265.488
16,260.832
122,253.18
9,248.131
171,241.193
25,240.567
26,238.499
173,233.29
166,223.359
163,221.73
71,220.758
91,207.87
127,205.35
69,202.819
120,201.185
28,192.003
126,188.226
109,185.328
128,180.888
184,180.64
19,178.275
20,178.144
27,174.974
175,174.531
158,172.423
79,172.171
74,148.539
83,148.28
66,148.264
10,144.63
165,144.293
31,133.747
167,131.72
169,126.64
85,117.045
121,114.245
139,109.913
68,109.842
70,108.648
123,107.862
116,106.905
73,106.847
22,106.799
113,97.817
34,95.625
119,89.929
161,88.286
176,81.009
191,77.307
48,73.832
196,69.488
88,67.304
14,65.57
18,62.98
45,58.763
101,58.741
178,56.564
112,56.228
33,51.843
190,51.82
77,50.164
62,40.852
37,40.542
150,38.75
174,38.416
17,32.741
5,30.181
58,29.965
142,29.169
118,28.758
46,27.966
186,25.761
117,25.232
87,23.928
44,23.563
104,22.118
42,20.663
145,15.243
6,14.625
153,14.589
40,14.381
36,11.598
136,10.972
8,9.784
53,9.099
185,7.262
199,2.75
67,2.398
49,2.278
84,1.94
151,-0.194
81,-3.777
135,-6.331
156,-9.397
94,-9.738
146,-10.639
82,-10.73
105,-11.496
63,-15.355
95,-15.776
75,-16.066
147,-18.89
92,-19.2
98,-24.748
65,-24.915
64,-29.197
80,-30.219
131,-31.287
108,-38.219
195,-38.727
57,-49.668
157,-50.413
32,-52.157
140,-53.045
89,-53.161
138,-57.642
149,-58.199
90,-58.438
141,-61.571
38,-62.93
12,-66.488
183,-68.273
54,-72.384
99,-75.764
181,-76.827
43,-77.661
193,-80.559
189,-81
115,-81.722
102,-82.456
7,-82.729
177,-83.523
13,-88.804
96,-91.736
130,-97.776
59,-97.903
129,-97.974
11,-99.023
61,-106.1
143,-106.666
50,-107.17
198,-110.122
103,-113.884
2,-114.786
15,-115.302
52,-115.716
182,-117.897
78,-118.95
1,-126.411
134,-128.01
180,-133.43
35,-134.627
55,-136.113
133,-136.929
179,-138.705
60,-139.582
188,-142.326
144,-150.087
4,-151.854
93,-152.126
30,-157.049
41,-161.256
160,-165.82
162,-172.487
197,-178.2
107,-179.699
152,-180.497
114,-182.909
137,-190.502
154,-190.859
111,-190.897
51,-191.119
97,-192.702
39,-192.812
192,-200.327
132,-200.638
56,-201.042
110,-204.984
3,-211.223
148,-211.574
159,-218.569
106,-219.808
200,-228.562
194,-239.306
155,-246.554
187,-252.292
29,-278.248
47,-298.495
86,-323.191
164,-349.873
100,-468.645
