individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
540,540,9,9,0,0,9,8.700000000000001,0.9666666666666668,12.243909817396052,1.909134212551086,0.036402645445964665,0.09122414709881517
213,213,8,8,0,0,8,7.7,0.9625,13.808978423345119,1.971306733963828,0.04387475147861514,0.16361155359978968
477,477,8,8,0,0,8,7.7,0.9625,12.973585405963547,1.9171327159514904,0.04122007233458189,0.10040937818350924
498,498,8,8,0,0,8,7.7,0.9625,13.97061086780673,1.9426002734509653,0.04251419819212738,0.12990506961923842
746,746,8,8,0,0,8,7.7,0.9625,13.823787963047863,1.9459970692029394,0.04260129107952629,0.13386358615464913
160,160,10,9,0,1,9,8.760000000000002,0.8760000000000001,8.523517231465458,1.1381543316470049,0.46505907299856586,1.2062434413132863
503,503,10,9,0,1,9,8.760000000000002,0.8760000000000001,8.60491319716503,1.0604846383782383,0.17934453618797636,0.37065995590144096
154,154,9,8,0,1,8,7.766666666666667,0.8629629629629629,11.359949593268468,1.3467927310940266,0.1183321267821138,0.37548010960352224
652,652,9,8,0,1,8,7.766666666666667,0.8629629629629629,7.065177326097693,1.1051169157974674,0.20815518571081082,0.47488641158768646
47,47,8,7,0,1,7,6.775,0.846875,10.390442305659137,1.5386894187154063,0.07266275321066351,0.17193713757894363
162,162,8,7,0,1,7,6.775,0.846875,10.239914880786886,2.0674160799586865,0.04203191105069876,0.19379362900823652
203,203,8,7,0,1,7,6.775,0.846875,11.216005405965504,1.3378349451021119,0.10897810847051706,0.24585524456833596
236,236,8,7,0,1,7,6.775,0.846875,7.570391266002332,1.0670555014132344,0.4456043103604318,0.8368026744769883
259,259,8,7,0,1,7,6.775,0.846875,9.455259968747633,2.082302443786693,0.0337970440846837,0.0818682360480191
264,264,8,7,0,1,7,6.775,0.846875,11.449861122522394,1.713336684158626,0.05747034934116449,0.15839538734523848
344,344,8,7,0,1,7,6.775,0.846875,12.389862276397857,1.1059866890708476,0.24010161075680106,0.4940509156896023
385,385,8,7,0,1,7,6.775,0.846875,5.9566589401593095,1.2677473928718386,0.11443507909418058,0.2073459105240542
397,397,8,7,0,1,7,6.775,0.846875,8.003994715586682,1.1897364197657063,0.22024319072685627,0.5629942089516978
421,421,8,7,0,1,7,6.775,0.846875,5.794376519020543,1.036872329536322,0.7966277013342495,1.0280164044422453
466,466,8,7,0,1,7,6.775,0.846875,10.233091513970717,2.004297477249138,0.03899893570820545,0.11729611508558477
505,505,8,7,0,1,7,6.775,0.846875,9.688845422213985,1.33100533243459,0.10472435234148283,0.2152853673913769
520,520,8,7,0,1,7,6.775,0.846875,5.986146154073964,1.1649455649062317,0.9132954697732161,1.5791045811231423
627,627,8,7,0,1,7,6.775,0.846875,9.816107306778035,1.1415827304129578,0.20382523412730308,0.4349579812390252
661,661,8,7,0,1,7,6.775,0.846875,12.199924593676995,1.472075545212543,0.08335537442188352,0.1990619629275973
683,683,8,7,0,1,7,6.775,0.846875,10.149997846660982,1.5882414815164103,0.06472166657315015,0.1407873832732259
705,705,8,7,0,1,7,6.775,0.846875,8.324151222804973,1.181787608822171,0.16595152309314048,0.34897519830319423
706,706,8,7,0,1,7,6.775,0.846875,10.794432624598253,1.250676310911228,0.17824835994929955,0.48306336058624744
715,715,8,7,0,1,7,6.775,0.846875,9.624205735058254,1.8279850527708683,0.04934018684795484,0.14532664943415663
741,741,8,7,0,1,7,6.775,0.846875,9.023003527622063,1.641911356523001,0.06106299133830472,0.1455868217115996
748,748,8,7,0,1,7,6.775,0.846875,9.209722760499856,1.6135370771834259,0.06958202856400873,0.20084259701075144
778,778,8,7,0,1,7,6.775,0.846875,10.295187177952975,1.1959035801552853,0.17373266596504597,0.39999963214601486
802,802,8,7,0,1,7,6.775,0.846875,7.078194347180065,1.195341911416268,0.17594710571633887,0.4046739099441966
690,690,14,12,0,2,12,11.785714285714286,0.8418367346938777,5.106955924078345,1.2995852913205483,0.05705966725733907,0.1564187243011087
737,737,19,16,0,3,16,15.794736842105262,0.8313019390581717,3.2605433096254424,0.8767382723827148,0.12161839881252648,0.29995502021465026
116,116,32,26,0,6,26,25.8125,0.806640625,0.36125916328089064,0.5774670886625591,0.45373947584765423,0.6526366932393574
36,36,10,8,0,2,8,7.82,0.782,5.053364469309997,1.032898174393948,0.6702454317046695,0.9957505053417747
45,45,10,8,0,2,8,7.82,0.782,3.1376716984669253,1.035988107358796,0.4074915698612004,0.8383002056722879
62,62,10,8,0,2,8,7.82,0.782,3.0451315705825808,1.0724626148409384,0.3110520035182126,0.7409473608705567
76,76,10,8,0,2,8,7.82,0.782,9.316208218073017,1.0018477595274633,0.30950065007043365,0.7085665659094013
97,97,10,8,0,2,8,7.82,0.782,4.717158606591177,1.0364408192329277,0.7765649680910226,1.0659470164410356
125,125,10,8,0,2,8,7.82,0.782,6.184430211867896,1.0013401431703846,0.215120395999773,0.4424089204423417
272,272,10,8,0,2,8,7.82,0.782,4.504310794641395,1.0721389097939646,0.3030534154612911,0.7497394243517069
323,323,10,8,0,2,8,7.82,0.782,5.250057525328405,0.9261923940095869,0.503997046100815,0.807740533479539
364,364,10,8,0,2,8,7.82,0.782,4.196036154149389,1.1070193327212698,0.20659359038905106,0.5473062388168831
383,383,10,8,0,2,8,7.82,0.782,4.601258789042876,1.1475180501590274,0.11114696079167778,0.20637645010249245
418,418,10,8,0,2,8,7.82,0.782,6.903702441030007,0.9939313631253184,0.32498636434346806,0.7053137184253074
467,467,10,8,0,2,8,7.82,0.782,10.22966132970354,1.1725964521954622,0.12651350458637897,0.3053767390894184
481,481,10,8,0,2,8,7.82,0.782,5.756818679173576,1.0915957179141527,0.16664940445920695,0.38576825875522036
494,494,10,8,0,2,8,7.82,0.782,6.116246928354481,0.9527543705669443,0.24560400630414217,0.46132049360355143
497,497,10,8,0,2,8,7.82,0.782,2.359760587985916,1.0280273870040504,0.49020397964844237,0.8766981295954872
500,500,10,8,0,2,8,7.82,0.782,5.196770098546428,1.1695520065059908,0.14495398193029158,0.38639799010826226
673,673,10,8,0,2,8,7.82,0.782,7.216847025497112,1.0871003860226485,0.25135414116695065,0.63506451942833
743,743,10,8,0,2,8,7.82,0.782,3.8555675053717016,1.0693175091987703,0.3568282677143612,0.8178611088648166
785,785,10,8,0,2,8,7.82,0.782,4.044204956621855,0.9402630643683593,0.23265286932278192,0.41042726500417737
51,51,14,11,0,3,11,10.82857142857143,0.7734693877551021,3.974266389293334,0.8352941170601239,0.20638415451258574,0.3920329324574201
