name,value
120,564.683
13,346.072
31,290.487
25,277.242
67,258.867
66,245.29
35,237.457
65,202.859
1,197.072
91,195.63
17,191.123
3,188.457
118,183.516
20,169.607
75,169.033
45,168.46
9,144.522
23,141.474
56,140.9
16,122.921
2,117.439
64,114.275
44,113.537
123,112.326
72,111.844
30,111.249
5,103.213
87,101.934
59,100.069
42,98.944
104,96.055
10,94.848
26,92.65
50,92.197
8,89.501
60,86.826
37,81.537
15,81.499
43,79.342
124,78.455
41,77.731
128,73.099
81,71.923
100,64.859
92,62.325
88,60.535
51,56.873
107,56.772
97,54.057
34,53.099
62,52.636
78,52.513
95,51.528
58,50.819
115,47.711
127,43.424
77,36.679
80,31.743
33,30.552
76,25.943
125,24.808
119,21.163
79,13.482
70,2.458
105,-5.023
121,-7.955
110,-8.953
109,-9.85
73,-11.161
49,-11.261
28,-11.833
84,-12.525
116,-14.363
98,-16.67
82,-18.683
19,-21.963
86,-29.644
12,-31.489
24,-31.88
47,-38.961
32,-50.773
69,-50.823
111,-58.858
96,-66.27
74,-69.017
27,-70.476
106,-74.063
36,-74.281
108,-76.003
38,-77.251
103,-82.547
11,-85.45
55,-87.308
54,-88.391
29,-90.669
93,-96.203
113,-98.165
7,-103.795
46,-105.597
94,-107.525
114,-109.5
52,-116.148
63,-122.809
57,-123.908
89,-128.286
14,-129.299
48,-136.51
101,-141.963
53,-142.131
22,-143.958
68,-149.057
39,-156.483
122,-159.847
112,-170.219
4,-176.372
21,-176.814
102,-193.945
40,-197.759
126,-200.022
6,-201.81
61,-211.042
83,-239.439
90,-274.295
99,-279.647
85,-281.998
117,-327.612
18,-403.019
71,-520.573
