name,value
602,421.638
258,348.391
506,344.954
378,319.959
453,307.443
12,304.77
86,303.459
53,296.244
90,295.706
664,286.622
328,284.708
384,280.45
244,276
305,274.986
396,265.113
316,264.428
581,263.528
228,260.919
207,258.885
446,257.995
645,250.73
142,250.519
686,248.084
434,238.177
294,237.79
512,236.82
247,236.194
481,235.591
157,234.682
125,233.698
279,232.437
408,228.755
249,224.946
82,224.936
205,214.027
309,212.184
629,212.114
597,211.257
376,207.928
114,205.283
325,203.635
130,197.59
246,197.12
364,196.238
150,195.224
240,189.338
566,188.689
210,187.477
137,186.663
180,186.433
6,186.338
277,183.435
58,182.839
291,181.833
190,179.183
492,177.925
188,177.901
166,177.463
593,176.399
300,176.387
571,175.593
621,173.664
209,172.617
265,171.469
164,169.765
559,169.394
254,169.356
428,169.152
131,167.875
386,167.523
57,167.289
120,166.319
585,165.337
412,164.816
576,163.268
94,158.902
327,158.416
295,156.771
390,156.144
193,155.902
393,155.615
288,155.485
256,155.385
405,155.179
306,155.126
267,155.096
567,154.285
454,154.028
172,153.707
346,152.744
46,152.493
489,152.437
165,151.646
42,151.316
156,149.739
320,149.171
583,148.965
219,148.465
687,148.301
647,147.012
520,146.778
698,146.509
269,145.959
103,145.451
517,144.103
74,143.488
113,143.196
420,139.671
348,139.623
80,139.452
445,139.392
483,137.984
11,136.93
194,136.11
360,135.647
614,135.226
385,135.046
423,134.783
84,134.774
661,134.082
250,132.865
659,132.791
568,132.008
501,131.676
599,131.337
110,130.938
66,130.665
199,129.621
544,128.978
594,126.875
225,126.521
284,125.868
689,125.22
17,124.48
260,124.388
667,124.151
292,122.637
140,122.614
44,122.527
182,122.363
299,122.254
353,121.427
690,121.215
214,119.69
400,118.077
467,116.159
387,115.881
41,113.863
324,113.779
407,112.559
329,111.561
447,111.367
438,111.236
135,110.666
691,110.353
490,109.181
111,108.764
654,108.383
523,107.837
75,107.792
398,106.231
79,105.394
78,105.226
23,104.377
49,104.33
343,102.587
43,102.353
404,101.923
289,101.726
238,100.81
224,100.755
143,100.633
682,100.296
680,100.2
513,99.772
556,97.446
233,95.895
565,94.525
211,93.333
432,92.835
334,92.022
613,90.328
419,90.225
356,89.85
117,88.959
610,88.235
151,87.507
475,86.494
522,85.554
457,85.269
45,85.204
321,84.928
471,84.653
129,83.782
537,83.326
455,83.197
540,82.818
528,82.731
62,82.491
670,82.449
37,81.687
435,80.649
439,80.437
198,79.69
72,78.719
357,78.314
337,77.618
518,77.155
67,76.45
326,76.327
532,75.364
443,73.844
574,73.32
310,73.036
223,72.906
392,72.175
582,72.15
282,71.072
416,69.417
618,69.139
604,68.322
656,66.889
547,66.829
8,66.345
355,66.198
521,65.278
296,65.159
195,65.04
579,64.294
315,63.838
297,63.124
212,62.473
126,62.39
77,60.984
383,60.581
478,59.473
550,59.088
263,58.942
83,56.95
303,56.517
290,55.733
51,55.249
308,54.503
575,52.812
563,52.195
30,52.065
372,51.406
466,51.362
344,48.043
450,47.558
363,46.515
138,45.923
491,45.684
9,45.385
350,45.068
181,44.881
148,44.838
160,44.345
161,43.719
251,43.008
395,42.289
108,41.158
410,39.987
333,37.711
15,36.935
301,36.816
368,36.655
92,35.599
118,35.545
54,35.487
167,34.752
470,34.348
19,34.318
549,34.314
586,33.75
495,33.735
672,33.104
2,33.043
504,33.02
189,32.98
359,32.907
177,32.902
487,32.485
144,31.986
497,31.538
373,31.384
624,31.039
482,30.74
104,30.526
508,29.862
349,29.844
63,29.82
558,29.199
95,29.11
413,28.91
526,28.8
587,27.854
473,27.378
462,26.97
500,26.787
427,26.16
253,26.155
553,26.011
178,25.301
185,24.728
322,24.591
248,24.523
314,23.414
608,23.378
628,22.519
403,21.595
422,21.38
646,21.013
676,20.547
519,20.404
557,20.06
1,19.839
293,19.242
402,17.857
64,17.635
527,17.415
601,17.261
452,16.637
696,16.597
271,16.123
159,15.885
229,14.436
252,13.973
109,13.906
658,13.398
281,13.235
317,12.704
347,12.615
68,11.65
331,10.859
648,10.16
124,9.693
538,9.325
699,8.171
507,5.581
25,4.266
634,4.24
379,3.976
652,3.902
430,3.854
391,3.766
688,3.249
577,2.048
123,1.906
171,1.578
650,1.572
97,1.22
669,-1.542
133,-1.864
560,-2.05
175,-2.588
149,-2.772
307,-2.792
361,-3.24
96,-3.439
61,-4.194
4,-4.764
700,-5.73
479,-6.046
152,-6.166
595,-6.331
362,-6.43
283,-6.632
155,-6.782
657,-6.823
371,-7.548
121,-7.617
204,-8.168
323,-8.508
141,-8.801
39,-8.996
208,-9.405
91,-9.594
370,-9.693
510,-9.897
592,-10.723
286,-11.514
270,-11.621
424,-12.418
503,-12.58
617,-13.331
354,-14.482
561,-14.678
116,-15.83
539,-16.2
534,-16.435
168,-16.609
535,-17.183
241,-17.857
468,-17.993
693,-18.219
626,-18.531
572,-18.754
511,-19.707
671,-19.895
458,-20.11
48,-20.777
235,-20.908
302,-22.665
345,-22.717
494,-22.8
278,-22.929
684,-23.286
429,-23.429
339,-24.297
603,-25.15
14,-25.33
192,-25.358
612,-26.404
213,-26.715
105,-26.788
257,-27.04
10,-28.149
640,-29.419
340,-29.543
335,-30.139
570,-30.218
409,-31.478
444,-32.196
437,-32.869
237,-33.709
552,-34.136
380,-34.791
216,-36.083
653,-36.164
382,-36.637
551,-37.211
474,-37.4
169,-37.403
641,-37.543
132,-38.714
158,-39.921
514,-39.981
660,-41.037
375,-41.669
89,-41.92
230,-42.238
55,-42.356
607,-42.681
259,-43.003
627,-44.061
529,-44.156
666,-44.585
274,-44.937
401,-45.026
600,-45.403
215,-45.656
578,-45.831
35,-47.644
588,-48.429
22,-48.723
573,-49.699
530,-49.845
176,-50.21
203,-50.647
24,-50.858
153,-50.944
122,-52.859
635,-53.766
623,-54.287
76,-54.918
319,-55.439
463,-55.557
631,-57.252
545,-57.452
381,-58.16
488,-59.12
136,-59.383
417,-61.645
313,-61.809
100,-62.114
59,-62.222
569,-62.235
342,-62.272
564,-63.148
127,-63.464
351,-64.463
505,-64.939
115,-65.376
128,-65.603
231,-66.113
606,-66.345
546,-66.439
655,-67.047
332,-67.084
358,-67.9
50,-68.178
218,-68.345
388,-68.483
134,-71.144
28,-71.218
221,-71.473
461,-72.044
196,-72.363
448,-73.262
365,-74.216
620,-74.279
562,-74.644
377,-75.105
60,-75.467
638,-75.594
200,-75.838
685,-76.649
65,-77.358
16,-77.709
18,-79.908
456,-80.212
56,-80.59
52,-81.301
106,-81.314
71,-81.495
21,-82.57
611,-83.361
431,-84.185
336,-85.224
87,-85.299
261,-85.883
366,-87.655
542,-88.089
174,-89.11
584,-89.951
662,-90.322
485,-90.415
107,-90.656
426,-92.192
273,-92.984
411,-92.991
433,-93.081
338,-93.345
477,-94.723
88,-96.319
625,-96.455
590,-96.899
486,-96.963
162,-97.068
665,-97.883
3,-98.653
465,-99.034
341,-99.269
268,-99.609
112,-101.678
26,-102.132
436,-103.074
414,-103.726
394,-103.766
605,-103.787
