name,value
290,313.301
248,306.004
159,289.958
121,289.381
177,271.073
285,270.303
246,270.163
22,260.937
168,244.106
226,240.319
135,237.798
87,229.638
155,224.839
184,222.462
42,220.542
154,208.221
41,208.069
280,205.632
217,201.087
105,196.284
130,196.28
151,193.714
83,193.532
98,184.28
216,180.385
271,179.782
235,176.763
56,174.66
234,171.759
19,171.229
201,169.4
302,164.538
193,162.836
174,161.095
114,160.321
23,158.098
163,157.465
185,157.028
261,156.681
112,151.632
273,150.338
170,147.692
65,147.194
126,145.657
134,144.469
107,142.908
238,133.579
64,133.195
101,132.896
4,132.247
275,129.83
171,129.611
207,127.311
196,124.962
69,124.137
257,122.848
224,121.391
247,121.138
53,115.887
317,115.6
291,109.564
47,109.313
86,108.163
44,107.865
118,107.019
186,106.353
120,106.152
233,105.872
15,104.042
176,102.489
11,101.341
128,99.007
129,96.869
274,94.749
10,91.696
158,91.496
108,89.375
125,88.874
97,88.733
43,87.273
299,86.82
319,86.521
127,83.98
239,83.507
115,82.339
318,80.236
179,77.264
30,76.884
194,75.591
183,74.845
45,74.434
33,73.274
258,72.523
278,72.402
297,71.224
243,70.057
209,67.278
17,65.136
16,64.778
242,63.641
304,60.199
260,59.791
212,59.674
50,58.918
100,58.602
27,54.939
202,53.644
206,52.615
94,50.836
85,48.995
147,48.918
99,48.728
265,48.269
119,47.616
241,47.269
240,45.886
284,44.843
167,43.917
210,41.435
244,41.192
313,40.577
79,40.574
255,39.869
230,38.964
92,38.887
220,36.906
189,34.156
197,33.174
71,31.141
62,29.946
178,29.931
296,29.138
144,25.87
252,24.286
162,22.827
253,22.095
80,21.271
308,21.031
72,21.027
34,20.828
131,20.626
48,18.45
146,17.697
38,17.027
124,17.022
272,16.961
82,16.923
59,16.349
88,16.061
81,15.058
269,14.293
213,12.777
191,12.223
20,12.142
6,11.582
140,10.69
29,10.157
49,9.742
36,9.525
153,8.676
142,8.463
219,6.83
74,6.547
266,5.145
164,0.986
111,0.23
84,-0.64
223,-1.181
294,-1.364
46,-1.511
315,-1.956
51,-2.019
200,-2.681
60,-2.834
222,-3.113
286,-4.748
58,-6.028
5,-7.268
300,-9.296
229,-11.507
32,-12.233
117,-12.668
199,-12.955
2,-15.45
173,-16.417
232,-20.306
262,-22.064
289,-23.705
91,-24.22
7,-24.808
37,-25.116
231,-29.116
116,-30.013
227,-30.501
237,-32.688
281,-32.812
66,-32.927
249,-34.914
89,-36.254
314,-37.476
166,-38.643
55,-42.31
221,-42.53
1,-44.408
292,-44.596
93,-45.443
61,-45.827
316,-46.276
161,-46.452
188,-46.627
301,-47.883
122,-49.839
192,-50.341
137,-50.779
13,-58.666
228,-61.514
3,-63.292
73,-65.184
54,-65.874
198,-67.369
283,-69.624
312,-72.101
311,-73.397
68,-73.517
157,-74.88
150,-76.358
187,-77.136
256,-77.341
303,-77.998
320,-78.648
279,-79.356
218,-80.335
172,-80.519
295,-83.093
310,-85.16
133,-85.232
9,-85.293
35,-87.162
132,-89.113
148,-89.687
21,-90.276
136,-90.707
28,-93.144
268,-94.732
305,-94.97
31,-95.738
104,-96.839
254,-98.11
267,-98.141
306,-98.531
276,-100.207
63,-100.631
175,-101.793
204,-101.958
203,-103.268
143,-103.936
236,-105.253
113,-105.449
181,-107.164
25,-107.44
251,-112.904
39,-114.46
214,-116.856
123,-117.433
298,-117.455
40,-117.689
145,-121.452
180,-122.742
141,-128.093
293,-129.649
96,-132.536
78,-133.737
152,-134.314
245,-143.518
156,-145.415
24,-145.917
282,-148.947
52,-151.301
67,-151.988
208,-155.035
77,-155.65
195,-158.205
106,-159.018
250,-159.517
277,-166.86
26,-167.998
182,-169.108
90,-170.817
8,-175.402
14,-175.828
287,-177.743
190,-179.697
149,-181.417
109,-185.148
75,-190.045
211,-194.171
288,-196.044
102,-197.477
70,-197.997
169,-198.223
160,-204.295
138,-206.338
309,-206.449
76,-208.184
259,-212.653
57,-216.432
12,-216.517
110,-220.357
205,-224.335
263,-227.487
18,-243.085
264,-244.428
103,-246.542
225,-276.223
165,-285.498
215,-287.311
139,-291.571
95,-304.77
307,-318.092
270,-395.178
