individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
31,31,10,10,0,0,10,9.700000000000001,0.9700000000000001,12.27828798471119,1.9748623856421283,0.03527040318763033,0.1690451212446439
104,104,10,9,0,1,9,8.760000000000002,0.8760000000000001,6.625773050778172,1.0463780327160288,0.34379585771295207,0.7637370596583841
186,186,10,9,0,1,9,8.760000000000002,0.8760000000000001,5.064142089248902,1.0405876281636817,0.8018825854152741,1.1353295475390353
194,194,10,9,0,1,9,8.760000000000002,0.8760000000000001,8.444595137767491,1.0494856418442562,0.30859996880297325,0.7040002914647843
279,279,10,9,0,1,9,8.760000000000002,0.8760000000000001,8.821946243333283,1.0454081735398941,0.3710830674425174,0.806495735427539
302,302,10,9,0,1,9,8.760000000000002,0.8760000000000001,6.485863253321679,1.0255805702714778,0.7507827495124358,1.0548558845947436
315,315,10,9,0,1,9,8.760000000000002,0.8760000000000001,10.862684829635596,1.3767522152602703,0.07588923837136863,0.19448501803438795
238,238,12,10,0,2,10,9.8,0.8166666666666668,8.490277325287702,1.1721963380358111,0.08210845622602476,0.15976320607642963
4,4,10,8,0,2,8,7.82,0.782,3.1103825216637033,1.12330018378802,0.3278749953469094,0.9337347643322644
37,37,10,8,0,2,8,7.82,0.782,8.373956681342207,1.215728206443799,0.15193970693204434,0.47581266078465045
46,46,10,8,0,2,8,7.82,0.782,5.5888138583426175,0.99426459190599,0.22667922068271382,0.4608390996042424
47,47,10,8,0,2,8,7.82,0.782,4.573259304818257,1.0214746234571885,0.14357051113042232,0.21819079351249063
52,52,10,8,0,2,8,7.82,0.782,7.807945732057516,0.9490818622485537,0.8871093516231611,1.3071938036585293
60,60,10,8,0,2,8,7.82,0.782,3.2726013038914417,0.8550292937223875,0.7243441274008842,0.9208056133399513
75,75,10,8,0,2,8,7.82,0.782,5.625528770886055,0.8847860839457871,0.4066910154855057,0.7419052978336393
78,78,10,8,0,2,8,7.82,0.782,5.212198997845196,0.874851558173663,0.4202319013202239,0.6675825413835963
128,128,10,8,0,2,8,7.82,0.782,3.9143203890787874,0.9729013727413117,1.300178354426253,1.7084155826085554
132,132,10,8,0,2,8,7.82,0.782,2.0991636067503365,0.8542216957550296,2.0521766029765827,1.0880721380265266
144,144,10,8,0,2,8,7.82,0.782,9.659018425787258,1.2448540967294313,0.09437972643253059,0.20382535490908443
159,159,10,8,0,2,8,7.82,0.782,4.17395251620287,0.9394466398561743,0.2810486828550681,0.5352882857558524
166,166,10,8,0,2,8,7.82,0.782,7.25783369929918,0.9208270208742106,0.7404356413807607,0.8836110445434098
167,167,10,8,0,2,8,7.82,0.782,0.6696171253739853,1.0190882926124247,1.1287528357341832,1.083069841313761
170,170,10,8,0,2,8,7.82,0.782,5.458522576346912,0.8696277243430283,0.47971223800128626,0.7366298917395341
287,287,10,8,0,2,8,7.82,0.782,5.266844197292535,1.010909332224944,0.5249829228267473,0.8851461107805281
197,197,9,7,0,2,7,6.833333333333334,0.7592592592592593,1.1115744006600428,0.9152863315958508,0.9324695383416449,0.9628707027920925
69,69,11,8,0,3,8,7.863636363636363,0.7148760330578512,-0.13870747185390797,0.8275719011403118,0.6163780673991636,0.8139542793782719
20,20,10,7,0,3,7,6.88,0.688,4.09512483505089,0.8988836572821398,0.3052036228707832,0.5224263718504394
30,30,10,7,0,3,7,6.88,0.688,1.9174691909634323,0.8487133089543928,3.0035719896080026,1.1353481891879484
36,36,10,7,0,3,7,6.88,0.688,6.65699525675294,1.0054297753585433,0.19516333480081446,0.3980548290530128
40,40,10,7,0,3,7,6.88,0.688,5.77099345750815,0.8190772814549825,0.743230714564743,0.9982758304554786
42,42,10,7,0,3,7,6.88,0.688,0.9029176331848504,0.7903734844935357,0.5458067788378642,0.6677357300003374
48,48,10,7,0,3,7,6.88,0.688,3.752893040762221,0.7641142567685084,0.7234045092634507,0.919263164910518
55,55,10,7,0,3,7,6.88,0.688,7.227221880249597,0.9752510101380484,0.2683780178829004,0.5578511581516328
73,73,10,7,0,3,7,6.88,0.688,5.9461804808448395,0.8361460840095134,0.34421286171185145,0.5300016448826159
81,81,10,7,0,3,7,6.88,0.688,1.085732778588629,0.8539246424375746,0.3933188220521848,0.6425110717174736
82,82,10,7,0,3,7,6.88,0.688,1.2709824921026007,0.7849825550740572,0.3790252267211599,0.5029611549944163
88,88,10,7,0,3,7,6.88,0.688,4.134991378243776,0.8853707376624894,0.26316487278428136,0.41774654616222234
95,95,10,7,0,3,7,6.88,0.688,4.111494753060067,0.8191332365408119,0.9414084296710563,1.2552346472412783
100,100,10,7,0,3,7,6.88,0.688,2.0829864177298134,0.7980311676516144,0.47362381657508756,0.6879722408993277
110,110,10,7,0,3,7,6.88,0.688,0.7824100275199982,0.9004616819279664,0.28733901434894354,0.4866930564520407
122,122,10,7,0,3,7,6.88,0.688,1.8108680853385604,0.7901547009387031,0.4621855829255397,0.6676726982038411
154,154,10,7,0,3,7,6.88,0.688,7.437599909690693,0.9389135157213897,0.2288533084086215,0.41314122822755994
162,162,10,7,0,3,7,6.88,0.688,6.444364459822401,1.058836164252341,5.593472446482506,1.8473203596758598
172,172,10,7,0,3,7,6.88,0.688,1.0815384131779222,0.9313806633488853,0.5259793836106063,0.8132612076914945
181,181,10,7,0,3,7,6.88,0.688,7.1872990044439975,0.927603065328046,0.6127771107745457,1.1509307105070277
187,187,10,7,0,3,7,6.88,0.688,2.920182851506147,0.7942942304529543,0.4466361310280941,0.6309119217130019
207,207,10,7,0,3,7,6.88,0.688,2.112383302150139,0.7640815504153144,6.673895453715774,1.4245047521587253
209,209,10,7,0,3,7,6.88,0.688,3.0066101025391445,0.8981896763530943,1.3619102934457916,1.2575266048592921
210,210,10,7,0,3,7,6.88,0.688,0.42213214754065587,0.9705695231581203,24.838284214833056,1.2120239209176855
222,222,10,7,0,3,7,6.88,0.688,3.529245477222042,0.8098958220079296,0.7339833669056394,0.8218602998946168
228,228,10,7,0,3,7,6.88,0.688,2.9503607298156775,0.9438837416182243,0.28288332861990834,0.5245354406997068
234,234,10,7,0,3,7,6.88,0.688,4.329111373806858,0.9954754302845455,0.32341713186229565,0.7312098547417639
281,281,10,7,0,3,7,6.88,0.688,0.5733546626350996,0.8918625085911697,2.441345948588636,1.2609106620526331
306,306,10,7,0,3,7,6.88,0.688,6.651330833616528,0.9358053224306508,0.221547330297111,0.38146668589368393
308,308,10,7,0,3,7,6.88,0.688,0.5781442131400216,0.798498962925725,1.2856212618810428,1.3599570064231363
311,311,10,7,0,3,7,6.88,0.688,6.108469607233138,0.8420677629817157,0.4326034443951599,0.667089084919055
87,87,9,6,0,3,6,5.9,0.6555555555555556,3.052994643037852,0.9317867758302991,0.38595903361995443,0.6925997675562687
124,124,9,6,0,3,6,5.9,0.6555555555555556,4.397556311956251,1.0528850623441968,0.17450290369999438,0.313240679088278
214,214,9,6,0,3,6,5.9,0.6555555555555556,4.384856908364973,0.8955275248347533,0.33267839574365815,0.5091997466624053
216,216,9,6,0,3,6,5.9,0.6555555555555556,2.4812495271931256,1.148731231447224,12.831411934280506,2.8053681433227986
219,219,9,6,0,3,6,5.9,0.6555555555555556,3.1940288058200745,1.0753453375178788,2.477596350068297,2.2016910735436452
256,256,9,6,0,3,6,5.9,0.6555555555555556,5.5368916284416505,0.9695630134513322,1.2582022156556911,1.5810408468613801
277,277,9,6,0,3,6,5.9,0.6555555555555556,-3.3774391134993813,1.2757435383803275,0.12545345119334084,0.34134691068684836
142,142,14,9,0,5,9,8.914285714285716,0.6367346938775512,-0.35397869394695963,0.8077253246070873,0.33316936775411293,0.611406554147773
6,6,10,6,0,4,6,5.94,0.5940000000000001,0.4874495569330362,0.7393360632673637,0.522707217071899,0.657343924978772
7,7,10,6,0,4,6,5.94,0.5940000000000001,4.066264110385308,0.8441049271052261,0.5327494555334175,0.8904378820515807
14,14,10,6,0,4,6,5.94,0.5940000000000001,-5.169482303345795,1.054966471258071,0.5639821051631666,1.0285199257880775
19,19,10,6,0,4,6,5.94,0.5940000000000001,5.265387729307605,0.8506456463982032,0.2339046197564371,0.29760441668385973
38,38,10,6,0,4,6,5.94,0.5940000000000001,0.32500554381573626,0.7789755857760001,0.5617134366914778,0.7848335039553318
