individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
84,84,10,9,0,1,9,8.760000000000002,0.8760000000000001,12.017532044951054,1.1170616858299207,3.560295808909442,1.7233195828537382
104,104,10,9,0,1,9,8.760000000000002,0.8760000000000001,6.3443060079004985,1.148155199642159,0.13243289076447767,0.30562084148693164
186,186,10,9,0,1,9,8.760000000000002,0.8760000000000001,12.176061466208207,1.0772262311524121,0.21706647833902007,0.5311089598705753
47,47,11,9,0,2,9,8.80909090909091,0.8008264462809919,9.422200121468155,0.9706181475594042,0.1992801321141412,0.4278603759548617
88,88,11,9,0,2,9,8.80909090909091,0.8008264462809919,8.504240146746689,1.0661712482288064,3.408570375868998,2.015247864768371
19,19,10,8,0,2,8,7.82,0.782,9.851282788042946,1.1211886497364618,0.1656571010015187,0.43127710611394526
50,50,10,8,0,2,8,7.82,0.782,8.095093426415492,0.9037781102540189,0.354385962280191,0.6457256744761799
63,63,10,8,0,2,8,7.82,0.782,3.816757229621672,1.563951772375626,1.5416757542130544,3.844323800068854
73,73,10,8,0,2,8,7.82,0.782,6.854836403516368,0.8363431930551717,0.7120594570040625,1.0165518507261926
78,78,10,8,0,2,8,7.82,0.782,10.16003140456678,1.1302863577622477,0.1367811739080749,0.3113820864567208
97,97,10,8,0,2,8,7.82,0.782,4.067205767470109,1.064916961461267,0.33921773010553136,0.8046790056306607
151,151,10,8,0,2,8,7.82,0.782,8.9230188755428,1.0254255158163612,0.17224671915400167,0.3351634815850779
162,162,10,8,0,2,8,7.82,0.782,10.530295938799199,1.055052839153199,0.20420467005156703,0.4775936964943362
166,166,10,8,0,2,8,7.82,0.782,10.35651428090526,1.032850175797054,0.2086028674907186,0.4643462110222692
167,167,10,8,0,2,8,7.82,0.782,6.9241020177823005,1.0799261138995246,0.2399794610821046,0.6267447032870027
173,173,10,8,0,2,8,7.82,0.782,7.0159687850365176,1.263265447200204,0.10692880172172692,0.29917294525189075
223,223,10,8,0,2,8,7.82,0.782,10.981017521529678,0.9968506606876592,0.2331347573448852,0.5071382942387386
238,238,10,8,0,2,8,7.82,0.782,7.522847867786759,0.9055668136548719,0.49470731913828525,0.7220063990181718
274,274,10,8,0,2,8,7.82,0.782,5.118764060576874,0.9117435947225195,0.35748184473343214,0.6754992536633451
279,279,10,8,0,2,8,7.82,0.782,7.556049943975659,0.9103673213706793,0.2909737164902708,0.5314988128034542
280,280,10,8,0,2,8,7.82,0.782,11.239338580875096,1.0318780993064067,0.20490030507275908,0.4618520956094309
306,306,10,8,0,2,8,7.82,0.782,10.091452173148047,0.9070936571249052,0.4253570234316566,0.7044036274477521
137,137,9,7,0,2,7,6.833333333333334,0.7592592592592593,5.656137005044222,1.0723712333275277,0.6052316653657362,1.1059778872544535
200,200,9,7,0,2,7,6.833333333333334,0.7592592592592593,7.814918175780345,0.9379362281308046,0.6013455848120385,1.026081874248575
181,181,12,9,0,3,9,8.850000000000001,0.7375000000000002,3.722834254049005,0.8037348015023047,0.3182504525013052,0.5531211730552773
194,194,12,9,0,3,9,8.850000000000001,0.7375000000000002,7.742422391688747,0.8854558418694842,0.4085652716380979,0.805442477928807
291,291,12,9,0,3,9,8.850000000000001,0.7375000000000002,7.644225383100467,0.8030899527204252,0.5676243716329927,0.8937316407512578
154,154,11,8,0,3,8,7.863636363636363,0.7148760330578512,8.349051733560103,0.8952611919393277,0.38692565975787274,0.7539761156623229
20,20,10,7,0,3,7,6.88,0.688,-0.797468160834188,0.8208206015684736,1.294628407487337,1.2109798001882732
31,31,10,7,0,3,7,6.88,0.688,4.325249805165461,1.0563078774391703,0.9745445102486128,1.620332035444855
41,41,10,7,0,3,7,6.88,0.688,6.917397348432586,1.0784960746777499,0.16416414533766163,0.3613424986926465
49,49,10,7,0,3,7,6.88,0.688,5.777450664816761,1.139774718385019,0.12299049402974771,0.25941006082938467
52,52,10,7,0,3,7,6.88,0.688,6.975030603948981,0.7945424126073072,0.6625096736476339,0.926867213024564
65,65,10,7,0,3,7,6.88,0.688,5.036573996141186,1.0345319486361175,0.18079368730974232,0.3703293838666659
69,69,10,7,0,3,7,6.88,0.688,6.430902405792963,0.8797865673622915,1.2928573391816383,1.637773962434026
80,80,10,7,0,3,7,6.88,0.688,1.0681198948528958,0.9840845281200252,0.4120663131108936,0.7483305034969033
91,91,10,7,0,3,7,6.88,0.688,4.290533427930901,0.8663053185238131,0.2447190163983851,0.35091738484458934
94,94,10,7,0,3,7,6.88,0.688,0.3954962136360561,0.8521008305398935,1.1561071612494467,1.0297548629925104
100,100,10,7,0,3,7,6.88,0.688,1.2844471279535326,0.9813238316629502,0.8446359697614083,1.057264502828622
