name,value
84,330.039
186,317.301
47,263.673
104,262.658
88,251.522
280,247.545
223,246.645
162,244.024
151,242.154
78,241.298
19,239.85
166,237.446
306,233.92
279,229.523
238,224.721
73,218.666
173,218.544
50,218.278
154,212.905
200,209.991
167,209.077
194,208.486
137,199.471
291,195.093
97,194.213
302,189.854
41,189.006
63,182.919
274,179.481
132,171.238
181,166.009
22,164.504
315,159.778
304,156.268
31,154.136
52,153.632
120,152.703
105,152.489
65,150.848
299,148.521
69,148.12
95,147.08
179,139.577
91,138.439
311,137.899
136,133.6
49,132.842
187,132.601
240,124.238
233,123.432
147,122.242
190,120.781
145,120.718
100,117.602
191,117.285
115,115.636
197,112.309
80,109.517
4,108.979
214,104.207
143,104.16
199,102.919
89,102.383
87,100.292
7,99.489
228,98.938
248,98.133
25,97.46
94,95.61
32,95.053
203,94.466
155,94.046
125,93.295
292,92.604
21,92.581
122,91.04
111,89.276
112,85.586
20,85.474
256,84.517
164,82.197
142,81.558
294,81.525
206,81.314
252,80.698
46,80.066
159,78.844
146,76.333
201,75.649
175,74.996
261,74.761
174,74.362
153,74.355
37,74.178
92,73.591
172,73.244
128,71.709
222,71.116
150,70.834
234,67.143
212,65.606
275,65.273
239,64.85
216,63.343
230,63.256
135,63.161
157,62.747
310,60.676
17,59.309
247,57.291
48,57.095
268,55.949
67,54.722
24,53.801
257,53.669
30,52.68
83,52.455
13,51.59
278,50.968
298,46.955
118,46.936
43,46.389
318,45.853
213,45.767
79,38.887
126,38.338
255,37.551
287,37.34
86,37.33
85,37.312
101,35.825
195,35.029
235,33.767
113,33.517
108,31.183
317,29.164
265,27.849
90,25.892
36,25.354
40,25.324
312,24.062
170,24.05
236,24.011
34,21.449
237,20.97
266,20.739
55,19.674
229,18.97
114,18.184
242,17.002
144,15.646
249,15.496
38,14.712
75,14.403
141,10.84
220,8.769
8,8.397
168,8.382
182,8.185
81,5.776
308,3.556
109,2.08
300,1.383
221,0.705
204,0.12
205,-2.384
219,-2.386
288,-2.485
74,-2.775
60,-4.347
227,-5.832
54,-6.873
99,-7.448
207,-11.241
276,-12.212
178,-13.037
282,-14.869
224,-16.175
127,-19.695
188,-21.846
171,-21.907
289,-22.951
260,-27.36
250,-28.663
210,-28.82
11,-28.924
124,-30.372
281,-30.633
259,-31.237
39,-31.747
270,-32.428
176,-33.15
184,-35.612
82,-38.891
23,-39.434
18,-40.094
121,-40.545
123,-41.221
158,-41.229
209,-41.296
148,-41.297
196,-42.829
9,-42.919
163,-44.557
27,-46.614
283,-47.46
202,-47.859
272,-49.549
271,-50.705
6,-54.24
301,-54.715
215,-56.285
102,-56.731
133,-57.209
160,-58.081
165,-58.939
193,-61.228
35,-61.269
64,-61.708
320,-62.417
185,-62.608
45,-62.84
107,-64.604
277,-64.873
262,-65.266
305,-67.899
96,-68.337
241,-69.115
72,-71.35
3,-71.634
297,-72.283
26,-75.977
177,-76.65
110,-77.656
130,-78.757
319,-81.172
180,-81.499
56,-83.345
293,-83.376
61,-83.57
273,-89.509
192,-93.805
93,-95.516
68,-99.405
246,-99.707
285,-100.213
42,-101.607
313,-102.997
198,-104.305
16,-105.462
284,-106.033
267,-106.104
134,-106.836
119,-108.268
33,-108.694
1,-111.996
129,-115.092
139,-115.877
138,-116.39
5,-117.171
254,-120.81
29,-121.352
53,-121.744
244,-123.339
66,-124.047
263,-124.681
231,-124.855
131,-126.214
70,-127.041
116,-128.049
14,-130.225
71,-134.581
12,-134.755
189,-134.953
98,-140.587
169,-140.782
161,-146.694
77,-147.626
2,-148.205
295,-151.699
316,-153.146
290,-153.497
296,-158.134
264,-160.299
106,-162.261
232,-162.262
117,-166.675
15,-167.743
258,-169.758
314,-169.956
208,-169.972
217,-171.452
251,-172.401
269,-173.244
103,-178.636
286,-182.803
10,-187.239
59,-187.294
140,-190.736
58,-191.97
76,-197.797
28,-208.703
211,-208.972
307,-216.569
303,-219.173
218,-222.222
44,-224.026
152,-232.844
62,-236.686
183,-237.891
245,-238.943
253,-251.387
57,-259.916
226,-261.319
149,-262.109
156,-273.994
243,-280.308
225,-288.125
309,-320.449
51,-331.214
