individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
38,10,70,59,0,11,59,58.794285714285714,0.8399183673469388,1.6298341504400322,0.3366568525424026,0.8715178125465669,0.9571639829062075
30,2,70,50,0,20,50,49.871428571428574,0.7124489795918367,0.9432173827180668,0.2814042217874097,1.2297370189997883,1.12969939998159
34,6,70,42,0,28,42,41.94,0.5991428571428571,0.34310981647244393,0.2586331873799599,0.9681718425282552,0.968137643517332
35,7,69,41,0,28,41,40.94347826086956,0.593383742911153,0.33942572533976184,0.25912742199402905,0.8647138309583923,0.8819520762067838
36,8,70,40,0,30,40,39.957142857142856,0.5708163265306122,0.30360801985747926,0.25640405127367955,1.1099572876395558,1.1028747580904845
37,9,69,38,0,31,38,37.969565217391306,0.5502835538752363,0.49260171038476075,0.2607141016378276,0.9290592621879454,0.936584502246651
32,4,70,37,0,33,37,36.98285714285714,0.5283265306122449,0.06661961528274024,0.2557163988558733,0.8416952412353778,0.8643951500217908
33,5,70,34,0,36,34,34.00857142857143,0.48583673469387756,-0.13967257972470812,0.25655274824521834,1.0351967341632347,1.0196062204739813
40,12,70,34,0,36,34,34.00857142857143,0.48583673469387756,-0.26426438976746836,0.2532614884560079,1.14578084006327,1.0980675550365124
39,11,70,26,0,44,26,26.07714285714286,0.372530612244898,-0.42561404240662337,0.26164597218649327,0.9499689424994415,0.9603150995975474
43,13,70,21,0,49,21,21.12,0.3017142857142857,-0.9120848669535614,0.2778515882623017,1.0021627193526812,0.9914169874242973
31,3,70,18,0,52,18,18.145714285714288,0.2592244897959184,-1.0155147784249703,0.28764194460313897,1.026566231155101,1.011254378539315
29,1,70,14,0,56,14,14.180000000000003,0.20257142857142862,-1.3612657632179532,0.30809457320485106,0.9348400660948138,0.9885785748855812
