individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
2,2,98,78,0,20,78,77.82244897959184,0.794106622240733,1.4410893559504887,0.2600029887355474,0.9269393989053953,0.9942829264696453
5,5,98,74,0,24,74,73.84693877551021,0.7535401915868389,1.2121013087562165,0.24688199615380063,0.9768099295682983,0.9625767433995909
15,15,98,67,0,31,67,66.88979591836734,0.6825489379425239,0.8512577050492601,0.23215591284458945,1.2134513406643344,1.0715981211791323
10,10,97,58,0,39,58,57.94123711340207,0.597332341375279,0.4554787012811549,0.22460906072481626,1.121003768885582,1.064482775052339
6,6,97,57,0,40,57,56.94742268041237,0.5870868317568286,0.4192721937769587,0.22371635008435273,0.9443987890416676,0.9631442503486216
14,14,96,56,0,40,56,55.95,0.5828125000000001,0.4067718015808703,0.22443786077555794,0.97034428201257,1.014378198715976
8,8,98,56,0,42,56,55.95714285714286,0.5709912536443149,0.33863971032153606,0.22191230469539214,0.8522881601985466,0.9116025152183218
3,3,97,51,0,46,51,50.98453608247423,0.5256137740461261,0.13332971213878306,0.22224644461974002,1.0093763923885213,0.9888434065950426
4,4,98,50,0,48,50,49.993877551020404,0.5101416076634735,0.0698904562282883,0.22095151204172891,1.051412729983527,1.042701208685679
9,9,97,48,0,49,48,48.00309278350516,0.49487724519077486,-0.0017473817820569573,0.22248165684286056,0.8273872508640531,0.8599813711215349
7,7,98,46,0,52,46,46.01836734693878,0.4695751770095794,-0.10945077099103069,0.2218733671027814,1.0781689006930206,1.0667028651066408
12,12,97,30,0,67,30,30.114432989690723,0.31045807205866727,-0.8594391659433677,0.2399975105202844,0.9226864272495815,0.9562221147947044
11,11,98,23,0,75,23,23.159183673469393,0.23631820074968768,-1.2550675192159395,0.25679459236044705,1.025944735791463,1.0033393089556593
13,13,98,23,0,75,23,23.159183673469393,0.23631820074968768,-1.2550675192159393,0.25679459236044705,1.07268892034643,1.0224622266173133
1,1,97,14,0,83,14,14.213402061855673,0.14652991816346053,-1.8470585879352222,0.29987064096061533,0.9828243726996992,0.9865103646515909
