individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
10,10,96,81,0,15,81,80.79375,0.8416015625000001,1.944632782604415,0.293453967569885,0.9539340294306249,1.0113305015321958
6,6,95,74,0,21,74,73.83263157894737,0.777185595567867,1.4878249794298153,0.26681556204458473,0.8763199386497318,0.9565925179091276
5,5,95,72,0,23,72,71.84526315789473,0.7562659279778393,1.3956970660251689,0.2609101890547432,1.0177577098110153,1.052014261341938
14,14,95,60,0,35,60,59.921052631578945,0.6307479224376731,0.7757302394289897,0.23904674800522527,0.6907869137494126,0.8482607848425566
15,15,98,59,0,39,59,58.93877551020408,0.6014160766347355,0.5941949902764467,0.23444798730323688,1.405912510832536,0.9912968153310516
7,7,97,56,0,41,56,55.953608247422686,0.5768413221383782,0.4881938684129835,0.23436323125025316,0.8737980839762585,0.94450970066087
8,8,96,54,0,42,54,53.9625,0.562109375,0.3924637400387356,0.23583813363706152,0.9828986479563797,1.055404721969893
4,4,97,54,0,43,54,53.9659793814433,0.5563503029014772,0.38005646100630375,0.23459675866774843,0.8990183838515172,0.9637276999155943
9,9,96,50,0,46,50,49.9875,0.5207031249999999,0.23150096771271483,0.23511664867035248,0.8775388453533605,0.9756328158295149
2,2,96,49,0,47,49,48.99375,0.5103515625,0.1489809319975533,0.2360139165159384,1.323448501795568,1.1483363858157294
11,11,94,39,0,55,39,39.05106382978723,0.4154368492530557,-0.3572184418358923,0.24696553508985852,0.9452190178472661,1.0016914696241428
12,12,94,26,0,68,26,26.13404255319149,0.2780217292892712,-1.0946444191558589,0.27493568397377394,1.235905668291773,1.1614877059461834
3,3,95,22,0,73,22,22.16105263157895,0.23327423822714685,-1.3577895398842417,0.2888732153889774,1.0313770113926015,1.0091429410366446
13,13,95,18,0,77,18,18.186315789473685,0.19143490304709143,-1.6965067985402613,0.30913500466596766,0.533975293422496,0.712797248001675
1,1,97,4,0,93,4,4.275257731958763,0.04407482197895632,-3.333116827516872,0.5079115536607932,1.0754348450558147,0.9969367640572739
