individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
10,10,101,91,0,10,91,90.75940594059405,0.8986079796098421,2.335748643134529,0.33775543619439496,0.9075355265783541,1.0083437561691817
6,6,103,72,0,31,72,71.88058252427184,0.6978697332453577,0.9617163055736024,0.23736701134709162,0.8677069404789496,0.9731620910290868
14,14,104,71,0,33,71,70.89038461538462,0.6816383136094675,0.9137394302170372,0.23409628519404144,1.0747921146622437,0.9405869654970571
5,5,102,67,0,35,67,66.90588235294118,0.6559400230680508,0.7597030368100735,0.2320988490798837,0.815972207625716,0.896512855884134
8,8,103,67,0,36,67,66.90970873786408,0.6496088226977095,0.7473158938859559,0.22954291228053975,1.268626417574129,1.1494969127079957
11,11,101,64,0,37,64,63.919801980198024,0.6328693265366141,0.6621929089501778,0.2305193246144152,1.1973350505117084,1.03765038980219
7,7,106,58,0,48,58,57.97169811320755,0.5469028123887505,0.2666806104480079,0.22021596281973463,0.9650784010594172,0.980076847006547
4,4,105,55,0,50,55,54.98571428571428,0.523673469387755,0.1246677246999929,0.22141151904725903,0.8578502712099679,0.943773149664591
9,9,102,52,0,50,52,51.99411764705882,0.5097462514417531,0.06067582811695152,0.22479668087989532,1.027519078268603,0.9982031309061328
2,2,103,47,0,56,47,47.026213592233006,0.4565651805071166,-0.18501832719737712,0.2245210853220879,1.096799298319786,0.9656101402105374
15,15,106,42,0,64,42,42.06226415094339,0.396813812744749,-0.5073503127938501,0.22602799455565922,0.9920657269860215,0.9038229760918229
3,3,104,30,0,74,30,30.126923076923077,0.2896819526627219,-1.0643888359580715,0.24404510788870337,1.0277459424698625,1.023901863359594
13,13,102,26,0,76,26,26.147058823529413,0.2563437139561707,-1.2337508703272266,0.2533622799363367,0.940804240223873,0.9986034057997303
12,12,103,20,0,83,20,20.183495145631067,0.19595626354981618,-1.6176262020447763,0.27426405223743,0.9637837872568027,0.9489377350015304
1,1,103,12,0,91,12,12.230097087378644,0.11873880667357907,-2.2243058335150265,0.32025910797562407,1.0357172180083822,1.0403589307718608
