individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
14,14,65,50,0,15,50,49.838461538461544,0.7667455621301776,1.3752002877166989,0.30850787864466533,1.0235927262530753,0.9384569413092557
10,10,66,50,0,16,50,49.84545454545455,0.7552341597796144,1.295811095349709,0.30321374273766216,0.7865054852242278,0.9834103727976844
8,8,63,41,0,22,41,40.90952380952381,0.6493575207860922,0.770813978265436,0.28779383873180864,0.7675046217853699,0.9170789029712052
6,6,63,40,0,23,40,39.91904761904762,0.6336356764928194,0.7368060500540851,0.28432798392960285,1.0181888486090491,1.0817927762666677
9,9,66,40,0,26,40,39.93636363636363,0.6050964187327823,0.5885405501542781,0.27570089536537823,0.7839981042157042,0.8704377831258763
4,4,63,38,0,25,38,37.93809523809523,0.6021919879062735,0.5187659822933048,0.2824779436239197,0.9324182228876892,0.9787915266983638
5,5,66,38,0,28,38,37.95454545454545,0.5750688705234159,0.439533314317429,0.27274386443526466,0.9514968804805566,1.021727782088466
15,15,66,38,0,28,38,37.95454545454545,0.5750688705234159,0.3789645667274024,0.2759964835686359,1.435727249163421,1.2353816939006017
2,2,64,36,0,28,36,35.9625,0.5619140625,0.3514996816484243,0.27848000336801026,1.3114665170414224,1.1172494115214344
7,7,63,34,0,29,34,33.976190476190474,0.5393046107331821,0.2375185623708387,0.2811966319431235,0.9602502306748166,0.9386331871580567
11,11,65,26,0,39,26,26.060000000000002,0.40092307692307694,-0.4076742838088962,0.28730947883016844,0.9291597776128897,0.998700173781181
13,13,66,21,0,45,21,21.109090909090913,0.3198347107438017,-0.8022612102922846,0.2993220560745068,0.5891930964666034,0.6667244416569601
3,3,67,18,0,49,18,18.138805970149257,0.27072844731566054,-1.1134191957299444,0.31497210799389114,1.132586694628077,1.1744866629154953
12,12,64,11,0,53,11,11.196875,0.174951171875,-1.7659051459123556,0.3706711426762685,1.1065044146486447,0.9593233351025451
1,1,65,5,0,60,5,5.253846153846154,0.08082840236686391,-2.604194233154126,0.4753413197462984,0.8539934177095873,0.9702779098036703
