individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
10,10,58,53,0,5,53,52.75172413793103,0.9095124851367419,2.3912804233328515,0.4674126423892919,1.307526137748929,0.9580847035818388
9,9,59,42,0,17,42,41.87288135593219,0.7097098534903762,1.0090964675614873,0.3152219367483594,1.470157943810114,1.1740025062808905
8,8,58,39,0,19,39,38.89655172413793,0.6706302021403091,0.8115481840237356,0.30946785689401135,1.1099267141642795,1.0626469880032128
14,14,56,37,0,19,37,36.90357142857142,0.6589923469387753,0.7560412410279782,0.31216565277147734,0.7683958446769424,0.8814480637038784
6,6,56,34,0,22,34,33.93571428571428,0.6059948979591836,0.49893260872510564,0.3044479587527486,1.0256305240894241,0.9848484784167799
5,5,57,34,0,23,34,33.94210526315789,0.5954755309325946,0.4529314709603637,0.30005351068356656,0.9990664869639381,0.9501896383118974
11,11,58,32,0,26,32,31.96896551724138,0.5511890606420927,0.25085267970349523,0.2939188703782702,0.807430095544287,0.9055580286957681
4,4,56,30,0,26,30,29.978571428571428,0.5353316326530612,0.16892816009514236,0.2997834760695024,0.9216583925150725,0.9412005855735299
7,7,59,30,0,29,30,29.994915254237288,0.508388394139615,0.05432298680905665,0.290906076915495,0.9335697575192384,0.9416304113922912
12,12,56,24,0,32,24,24.04285714285714,0.4293367346938775,-0.3223632851187332,0.3029777321926059,0.86712469181263,0.9389992986836072
2,2,57,23,0,34,23,23.05789473684211,0.4045244690674054,-0.47075410374845567,0.30367092981577426,0.8957479540922265,0.9276769484197067
15,15,58,20,0,38,20,20.093103448275862,0.3464328180737218,-0.6949992302919368,0.3092315766536237,1.1543621561071982,0.9562092181345744
13,13,57,15,0,42,15,15.142105263157896,0.2656509695290859,-1.1885970648031152,0.33275632749393713,1.4477051432853079,1.0370656827251956
3,3,60,11,0,49,11,11.19,0.1865,-1.6439169765055412,0.35839692514696225,1.0841612209510294,0.9953399972103365
1,1,57,7,0,50,7,7.226315789473684,0.1267774699907664,-2.0733035617714344,0.41836041832582177,1.1623697922883873,1.022687348134663
