individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
14,14,84,62,0,22,62,61.857142857142854,0.7363945578231292,1.1614930716824408,0.2630496171027971,0.8543917282025791,1.011773213415019
6,6,84,61,0,23,61,60.86428571428572,0.7245748299319729,1.0998470706505727,0.2603188433813028,0.7378840027216957,0.8915327695612186
5,5,87,63,0,24,63,62.865517241379315,0.7225921521997622,1.0784454515351678,0.2558286348272553,1.058877356041178,1.0196445393838074
10,10,87,60,0,27,60,59.88620689655172,0.6883472057074911,0.9099772085515934,0.2495588940672445,1.1881423956833546,1.0251174147129039
2,2,85,54,0,31,54,53.91882352941177,0.6343391003460208,0.6527029679578633,0.24525120230663702,1.1839368808562807,1.1000686605580692
8,8,85,53,0,32,53,52.92588235294118,0.6226574394463669,0.6076738771790942,0.2440605792505508,0.8761491008445466,0.9534733099641446
15,15,85,49,0,36,49,48.95411764705882,0.5759307958477509,0.3957468721590575,0.2414789059425789,1.027541131949029,0.9916518121180817
4,4,86,48,0,38,48,47.965116279069775,0.5577339102217416,0.288970038470952,0.23981271972619028,0.9748816378534911,1.0216713109495628
9,9,85,42,0,43,42,42.0035294117647,0.49415916955017297,-4.767816100199264e-4,0.24220916979374774,0.7634940252560428,0.8155489852408387
7,7,84,40,0,44,40,40.01428571428571,0.47636054421768703,-0.06444142186861081,0.24386114316725874,0.9830536576100425,0.9830376598062707
3,3,88,36,0,52,36,36.054545454545455,0.4097107438016529,-0.3714396872371688,0.24292325164304773,1.3371152603819725,1.251790436334979
11,11,88,27,0,61,27,27.115909090909092,0.3081353305785124,-0.9127999989561426,0.2589888029456418,0.9016163172395069,0.9559382937381975
12,12,86,20,0,66,20,20.16046511627907,0.2344240129799892,-1.3324953990857795,0.28059968862879525,0.7558373671613615,0.7495662770663332
13,13,88,18,0,70,18,18.17727272727273,0.20655991735537194,-1.4836853488385673,0.2875492912800537,1.12497391416956,1.0288776134199102
1,1,86,11,0,75,11,11.22325581395349,0.13050297458085452,-2.029517920590452,0.3368195969128875,0.9720457710520937,1.0868456079713196
