individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
Government_of_Estonia,25,15,14,0,1,14,13.74,0.916,2.8880322167678942,0.9804693982675872,0.45104691337920444,0.8719919556406607
Government_of_Poland_2,42,14,13,0,1,13,12.742857142857146,0.9102040816326532,2.6786949958584008,0.9982409022460363,0.19348720299408642,0.5074572199954358
Government_of_Hungary,32,14,12,0,2,12,11.785714285714286,0.8418367346938777,1.772721677325804,0.7779293862558213,2.0624234354203463,1.0660647212928704
Government_of_Germany_2,30,15,12,0,3,12,11.820000000000002,0.7880000000000001,2.0514995739260313,0.7129701378477187,0.5458528018048331,0.8394419989789177
Government_of_Italy_1,34,15,12,0,3,12,11.820000000000002,0.7880000000000001,2.155369072319084,0.7009230800352756,1.1304627556853233,1.2178407009047876
Government_of_Latvia,36,15,12,0,3,12,11.820000000000002,0.7880000000000001,1.729493891142351,0.6892914409754664,0.573548969461189,0.8968985852619055
Government_of_Austria,18,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.8146486563104525,0.7366362517350475,0.8889095064964643,0.8827497973132485
Government_of_France_2,28,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.865649044665975,0.7158982396625827,0.718438622843207,0.9479039552988889
Government_of_Slovenia,46,14,11,0,3,11,10.82857142857143,0.7734693877551021,1.814758499749939,0.6872008884476247,0.596838645833183,0.8173286675455645
Commission_SecGen,6,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.2578149196560156,0.6273488400495664,1.1711867086066856,1.05905960072482
Council_Presidency_2,9,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.642816515739783,0.616373579273784,0.7611053064891645,0.8751437028892569
Government_of_Bulgaria,20,15,11,0,4,11,10.860000000000001,0.7240000000000001,0.9861815297091061,0.6314520477925114,0.6543396982439155,0.826923775530559
Government_of_France_1,27,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.6363101512722773,0.6145756065794122,0.7847906255019022,0.9169379833204819
MEP_EPP_Italy,65,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.311363442543866,0.6387320622282836,0.7514201824753397,0.8369705373825459
MEP_Greens_France_Shadow,72,15,11,0,4,11,10.860000000000001,0.7240000000000001,1.201383221203711,0.7082974567604314,3.1905309901402603,1.8579728116356837
Commission_DG_Trade_2,3,14,10,0,4,10,9.871428571428572,0.7051020408163265,1.3658329881989164,0.6416712686416635,0.5301024998447689,0.6355098135512596
Council_Presidency_1,8,15,10,0,5,10,9.9,0.66,1.524649234221825,0.5805995297820709,1.2943498502965651,0.9029896464805988
Government_of_Italy_2,35,15,10,0,5,10,9.9,0.66,0.9193799279141823,0.6485945638777885,0.9388751545784436,0.9628117279347359
Government_of_Poland_1,41,15,10,0,5,10,9.9,0.66,1.34256243068286,0.5916642390193326,1.0617371005247442,1.105071693211355
MEP_ALDE_Germany,54,15,10,0,5,10,9.9,0.66,1.005152721306156,0.6214280828567215,0.6473405639029887,0.7299555982072973
MEP_ENF_France_Shadow,61,15,10,0,5,10,9.9,0.66,0.9447785721087538,0.6019774988313737,0.9384031251437288,1.1149842895039623
MEP_EPP_Romania_Rapporteur,69,15,10,0,5,10,9.9,0.66,1.0087791854096306,0.6228852443756836,0.6812256395450695,0.8285628882933849
MEP_S&D_Germany_Chair,79,15,10,0,5,10,9.9,0.66,0.9950751155370515,0.6465075387576464,0.6931594252757721,0.9577412467129022
Government_of_UK_2,51,14,9,0,5,9,8.914285714285716,0.6367346938775512,0.6549055902029302,0.6099638305166357,0.7903715321247241,0.9085114169920112
Council_Secretariat_Legal_Service,13,15,9,0,6,9,8.94,0.596,0.565677828496439,0.5691380397194264,1.2046865999778766,1.2366658182452495
EP_Secretariat_SecGen,17,15,9,0,6,9,8.94,0.596,0.43793197456644684,0.6228162569216611,1.038727194568159,1.0129904843417297
Government_of_Cyprus,22,15,9,0,6,9,8.94,0.596,0.2996138629205733,0.6021161020817346,1.2747219726786365,1.3254503636399855
Government_of_Sweden,49,15,9,0,6,9,8.94,0.596,0.23173409632579256,0.6295526860160165,1.0520365656058148,1.0237179788863304
Government_of_UK_1,50,15,9,0,6,9,8.94,0.596,1.307349129806232,0.5941987320770562,1.0041889202587084,1.1714145366914777
MEP_EPP_France,62,15,9,0,6,9,8.94,0.596,0.9511622066076684,0.6151942546287019,0.6999653496056967,0.831691136211782
MEP_EPP_Germany,63,15,9,0,6,9,8.94,0.596,0.04303299124034988,0.5914937211384996,0.7274943028819502,0.8109436279827551
Commission_DG_Trade_1,2,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.3994141752557878,0.6065930360793519,0.6520509989708759,0.7703068410177216
Council_Secretariat_1,11,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.3541701043350881,0.6052917344387092,0.7182765351543188,0.8135636934194725
Government_of_Czech_Republic,23,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.52732319702252894,0.606983910421333,1.1325501729533989,1.2599882641586624
Government_of_Spain_2,48,14,8,0,6,8,7.957142857142857,0.5683673469387756,0.9971822802498072,0.5834702868943142,0.8688122351755361,0.9364112655678499
Commission_Spokesperson,7,15,8,0,7,8,7.98,0.532,-0.2080217071481886,0.6161287089003203,0.6042054757196915,0.7205390405608613
Government_of_Denmark,24,15,8,0,7,8,7.98,0.532,-0.07315434008777712,0.572953869648547,0.8813284891150304,0.9458337761790954
Government_of_Spain_1,47,15,8,0,7,8,7.98,0.532,-0.0726800961335219,0.6305170272362115,1.2803147963943247,1.1987789016726116
MEP_ALDE_France_Shadow,53,15,8,0,7,8,7.98,0.532,0.510302383933565,0.6192012438756584,0.810877017558821,0.9322979426177709
MEP_EPP_Poland,68,15,8,0,7,8,7.98,0.532,0.6790594212406427,0.5732762537986359,0.6799520304263993,0.7307878435247238
MEP_GUE_Greece,75,15,8,0,7,8,7.98,0.532,0.32053273396742726,0.624582195421209,0.8438555462983875,0.9333609837874252
MEP_S&D_Austria,76,15,8,0,7,8,7.98,0.532,0.10757479864374982,0.657857750219614,0.9853233724359856,1.0655556735242022
