name,value
Government_of_Estonia,323.216
Government_of_Poland_2,288.064
Government_of_Italy_1,243.428
Government_of_Hungary,237.026
Government_of_Germany_2,235.485
Government_of_Latvia,221.829
Government_of_France_2,220.465
Government_of_Slovenia,214.133
Government_of_Austria,211.291
Government_of_France_1,197.295
Council_Presidency_2,196.115
Council_Presidency_1,175.584
MEP_EPP_Italy,173.108
Commission_SecGen,165.974
Commission_DG_Trade_2,164.298
MEP_Greens_France_Shadow,159.035
Government_of_Poland_1,155.057
Government_of_Bulgaria,142.436
MEP_ALDE_Germany,135.123
MEP_EPP_Romania_Rapporteur,128.075
Government_of_UK_1,124.556
MEP_ENF_France_Shadow,124.036
Government_of_Italy_2,117.523
MEP_S&D_Germany_Chair,116.318
Government_of_Spain_2,105.493
MEP_EPP_France,92.136
Government_of_UK_2,91.723
Council_Secretariat_Legal_Service,72.332
EP_Secretariat_SecGen,62.688
MEP_EPP_Poland,61.764
Government_of_Czech_Republic,59.733
MEP_ALDE_France_Shadow,49.093
Commission_DG_Trade_1,49.012
Government_of_Cyprus,48.04
Council_Secretariat_1,45.577
Government_of_Sweden,39.868
MEP_EPP_Germany,35.24
MEP_GUE_Greece,27.404
Government_of_Netherlands,13.86
MEP_S&D_Austria,10.846
MEP_S&D_Spain,3.696
Government_of_Denmark,1.013
Government_of_Spain_1,0.735
MEP_S&D_France,-4.48
Commission_Spokesperson,-10.441
MEP_S&D_Belgium_Shadow,-20.18
MEP_ECR_Poland,-24.702
MEP_ENF_Austria,-25.585
Government_of_Greece,-26.966
Council_Presidency_3,-30.492
MEP_GUE_Germany_Shadow,-30.524
MEP_EPP_Luxembourg,-41.411
MEP_EPP_Sweden_Vice_Chair,-42.623
MEP_S&D_Italy,-44.22
EP_Secretariat_2,-47.11
Commission_Commissioner,-48.184
MEP_S&D_UK,-56.898
Government_of_Luxembourg,-69.019
Commission_EEAS,-73.016
MEP_EPP_Hungary,-76.037
Government_of_Lithuania,-82.438
MEP_EFDD_UK,-110.88
Government_of_Ireland,-113.698
MEP_EPP_Spain,-128.483
Council_Secretariat_2,-139.779
MEP_ECR_UK_Shadow,-139.961
MEP_ALDE_Finland,-140.319
MEP_S&D_Romania,-149.566
Commission_Legal_Service,-150.494
MEP_EPP_Lithuania,-160.408
Government_of_Croatia,-163.651
EP_Secretariat_Legal_Service,-169.038
MEP_Greens_Germany,-169.5
EP_Secretariat_1,-183.021
Government_of_Portugal,-184.607
Government_of_Germany_1,-200.913
Government_of_Belgium,-220.16
Government_of_Finland,-227.491
Government_of_Slovakia_5_HOURS_LATE,-227.883
MEP_EFDD_Italy_Shadow_9_HOURS_LATE,-264.364
Government_of_Romania,-281.729
Government_of_Malta,-317.737
MEP_S&D_Netherlands,-360.049
MEP_ECR_Czech_Republic,-381.666
