individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
cvP4FRNexvEeDmSwW,3,52,41,0,11,41,40.82692307692307,0.7851331360946745,1.9075418939251814,0.3581417924540234,2.3756707652739815,1.1262847545783141
ea5tYyskbe2hJxyBg,5,52,40,0,12,40,39.83846153846154,0.7661242603550296,1.5697792884670734,0.3643049460111788,0.7177061569984405,0.9734781227046251
S2jRQuwxfrevH7NTy,11,52,40,0,12,40,39.83846153846154,0.7661242603550296,1.4462559539119104,0.36900605190792946,0.5842117095920254,0.8441700531230699
Yt6mzQcy3Qejg82CQ,14,52,37,0,15,37,36.87307692307692,0.7090976331360946,1.3675638368408993,0.34151025144333363,2.4451240898078512,1.0639734407053776
yoQr5KJnZboZZXt3K,13,53,34,0,19,34,33.915094339622634,0.6399074403702384,0.8257368019476719,0.33391329824225985,0.6845980572375143,0.8661588064603857
Mc6NBSWC4NvRT3tBn,9,52,32,0,20,32,31.93076923076923,0.6140532544378698,0.7124048056200707,0.3402068898349343,1.2498054301306392,1.1619275672048064
6gZgcNytec65SZGN7,1,53,32,0,21,32,31.937735849056605,0.6025987896048416,0.3604463917733904,0.33860169249153765,0.6924131518087544,0.7670147070161564
MFcor3aTKnq29A2W6,10,51,30,0,21,30,29.947058823529414,0.58719723183391,0.7257187577142906,0.3297081535526251,0.7090579197384332,0.8721804629407572
FCwSmYgHBoASKQyD4,6,51,24,0,27,24,24.017647058823528,0.47093425605536327,-0.03097125320520776,0.3379970691934253,1.0043507108523564,1.0642979852967815
dgovLjAkHKactw8Te,4,53,24,0,29,24,24.028301886792452,0.45336418654325383,-0.25966280623272564,0.3366494203538285,0.7098948118539691,0.7694288121009336
zoyLcsyuhL33JMGaA,15,51,15,0,36,15,15.123529411764707,0.2965397923875433,-1.2721329785515467,0.36627311183330163,1.1430927827192148,0.8711246603003399
KuHzmmptLeDhhsWPx,8,51,14,0,37,14,14.13529411764706,0.2771626297577855,-1.2393653646390606,0.36584259239796535,1.138933413701613,1.0272468194384006
ACEGpME2RJvXyuynF,2,51,13,0,38,13,13.147058823529411,0.2577854671280277,-1.3733507703733592,0.3869409074471627,0.6996273306124802,0.8981491907696006
T5obF7dxiMLKmjcJJ,12,51,8,0,43,8,8.205882352941176,0.16089965397923875,-1.9475891685610254,0.4356763316139121,2.117605985802702,1.2491093777719566
fxspS2SEz3Bv3LgYY,7,51,4,0,47,4,4.252941176470588,0.08339100346020761,-2.7923753886375624,0.5329665353527074,1.5084214967177654,0.8833170759218298
