individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
VMF6QA,19,21,19,0,2,19,18.757142857142856,0.8931972789115645,2.454914500916019,0.7257570965667163,0.5797020427645915,0.850286343201293
D9H5T3,5,22,17,0,5,17,16.836363636363636,0.7652892561983471,1.5665750305504,0.5302723577211217,0.595011042357088,0.798862993434734
EU3VX6,6,23,17,0,6,17,16.856521739130432,0.7328922495274101,1.3425853632211586,0.5216852920479662,0.6443328803029225,0.8344664707567295
H9G6KF,10,22,16,0,6,16,15.863636363636363,0.7210743801652892,1.2754939077015097,0.5237106739816364,1.1141946033179038,1.3000448896046999
25TJ6J,1,22,15,0,7,15,14.890909090909092,0.6768595041322315,1.1772966415783246,0.5195137466833198,0.6299972703619366,0.8510886638442148
9W9ZW9,2,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.9015252895449305,0.4972857938002064,1.1766515458642548,1.1712838224766982
FB7CXX,7,22,14,0,8,14,13.918181818181818,0.6326446280991735,0.7629069372359405,0.4941404154524096,1.1025708667554586,1.1419743135498912
QEQPTX,15,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.5507272334420833,0.5280373741884118,0.8618213539977484,0.9150843883091597
TFPGNH,17,21,13,0,8,13,12.928571428571429,0.6156462585034014,0.755190552485774,0.5054426110581473,0.8009028148564128,0.9765581447112863
GCK5TQ,8,23,13,0,10,13,12.960869565217392,0.5635160680529301,0.4910172916061632,0.4792256550218537,0.8967925136135753,1.0369132087293484
ZADYGZ,21,22,12,0,10,12,11.972727272727271,0.5442148760330577,0.4606033340963681,0.49817295386175753,0.9213939614244129,0.8545290965468607
AEGH7F,3,22,11,0,11,11,11,0.5,0.1379535326279961,0.48807983184681675,0.9535470940310099,0.9665619970322393
ZUVRXV,22,22,11,0,11,11,11,0.5,0.0984485760730344,0.5096063228721334,0.9548018423152985,1.1022192884757176
LTXAHG,11,21,10,0,11,10,10.014285714285714,0.47687074829931975,-0.19672400072595228,0.5153859093699555,0.6940517168287934,0.7972459321883338
YX9XPN,20,21,10,0,11,10,10.014285714285714,0.47687074829931975,0.07044606867548206,0.5149926934020764,1.2024707184543904,1.2931842819177846
GNALNB,9,21,9,0,12,9,9.042857142857143,0.4306122448979592,-0.23586840563754818,0.5142399058262701,0.7520677901523068,0.8382485462330744
PXRYMQ,14,21,7,0,14,7,7.099999999999999,0.33809523809523806,-0.7238121776894052,0.5461258940433038,0.7548992281757381,0.8968825146310025
VLGDHQ,18,21,6,0,15,6,6.128571428571428,0.29183673469387755,-1.162865263358714,0.5655786976040579,0.7892851849207374,0.8397672247528263
NB9QHQ,13,23,6,0,17,6,6.143478260869564,0.2671077504725897,-1.2671602618870397,0.5513208066382248,0.7875512455205111,0.8084421314227933
LURVPV,12,22,4,0,18,4,4.1909090909090905,0.19049586776859503,-1.708261097079811,0.6473770367002079,1.1582007088998578,1.3140000700620993
CHHGVL,4,21,3,0,18,3,3.214285714285714,0.1530612244897959,-2.0606895093430824,0.7338470002918223,0.3488707820134067,0.6736264302519825
QK7HTL,16,24,0,0,24,0,0.3,0.012499999999999999,-4.690303544033632,1.8558600550886253,0.012932537954429203,0.03362526370158106
