individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
9,9,164,158,0,6,158,157.72195121951222,0.9617192147531233,5.15104652131737,0.4349582967711957,1.662864507371519,1.0301698085768127
15,15,158,142,0,16,142,141.7607594936709,0.8972199967953853,3.913171171174678,0.3341861055765642,4.031077467752188,1.2203005964823657
7,7,160,140,0,20,140,139.775,0.8735937500000001,3.6340912350196257,0.31161791214885076,0.24906129908836508,0.7207165103018668
3,3,167,146,0,21,146,145.77544910179643,0.8729068808490804,3.681945547253364,0.3049798058454964,1.2901162893840554,0.9830757844935942
22,22,157,137,0,20,137,136.77643312101912,0.8711874721084021,3.5681870496577153,0.3187810521857176,1.1623736299746,0.8836393752203152
2,2,153,123,0,30,123,122.81764705882352,0.8027297193387158,2.824890381500881,0.2978686558696134,2.663004695612882,0.9775681138128377
1,1,163,115,0,48,115,114.87668711656441,0.7047649516353645,1.991873424794483,0.27208718164378315,2.0037881278114265,0.9027685979841665
17,17,162,113,0,49,113,112.88148148148149,0.6967992684042067,1.5424623159090551,0.2749831260569576,0.9632770614841016,0.641322003542011
14,14,163,105,0,58,105,104.91349693251533,0.6436410854755542,1.181159747199871,0.26300197198557623,0.5749330863095202,0.8011026020851517
13,13,163,101,0,62,101,100.92822085889571,0.6191915390116302,0.8991000687201525,0.2555625576509862,0.5911117605819032,0.7903089087749238
10,10,166,91,0,75,91,90.9710843373494,0.5480185803454782,0.3008860007136045,0.24897379371577513,0.6630026358345591,0.9235570205884579
6,6,151,77,0,74,77,76.99403973509934,0.5098943028814525,0.048186727734616325,0.25387273054461607,0.5825280487877751,0.6364886363530102
23,23,164,78,0,86,78,78.01463414634146,0.47569898869720406,-0.3014572696521876,0.2424881870847854,2.7417494039711428,0.9704823158563023
24,24,163,67,0,96,67,67.05337423312884,0.4113703940682751,-0.8676505536996804,0.2363893214968631,1.2723774893802806,1.2978136867292926
8,8,152,60,0,92,60,60.06315789473684,0.3951523545706371,-1.0702550073639168,0.24573588971959004,2.754365144665358,1.0976281421248828
20,20,156,57,0,99,57,57.080769230769235,0.36590236686390537,-1.3595436267334366,0.23890419374769653,1.236273778402112,0.6770008167398253
21,21,160,50,0,110,50,50.1125,0.31320312499999997,-1.8074920414545919,0.2403607461194777,3.097866264930185,1.1909535381315652
16,16,164,51,0,113,51,51.11341463414634,0.3116671624033313,-1.7585294229554345,0.23151280751140063,0.6420253101845107,0.9764778564893977
19,19,155,41,0,114,41,41.141290322580645,0.26542767950052026,-2.0797456767788103,0.2506417142708148,0.6807467287980976,0.6720298043478105
5,5,161,38,0,123,38,38.158385093167695,0.23700860306315338,-2.2928368571937945,0.24684009631430515,0.4988971963408295,0.8862067361660978
12,12,158,30,0,128,30,30.18607594936709,0.19105111360358917,-2.8203488636524527,0.2632259693790456,1.0845249681520583,1.0921982117055224
11,11,160,29,0,131,29,29.191250000000004,0.1824453125,-2.8653219569708983,0.2613650242716456,2.5268025356896606,1.0707220802180415
18,18,155,23,0,132,23,23.210967741935487,0.14974817898022896,-3.1289885145102136,0.27764178123191513,1.5167856221612959,0.9400129454905316
25,25,160,13,0,147,13,13.251250000000002,0.08282031250000002,-4.062550840144425,0.32544691954420285,0.5120239987694682,0.9913306098529444
4,4,155,10,0,145,10,10.261290322580646,0.06620187304890739,-4.322279559885576,0.3554875203734329,0.643800246243179,0.9828761132295586
