individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
22,22,127,118,0,9,118,117.74251968503937,0.9271064542129084,3.7046467390711784,0.37702479508474734,5.254255906866959,0.9903203007364931
7,7,134,118,0,16,118,117.77164179104477,0.8788928491869012,3.0396107637830445,0.31629930505043885,0.4272631512753735,1.0020086328505262
15,15,130,114,0,16,114,113.77384615384615,0.8751834319526627,3.062005327130637,0.31644757266215984,0.3660565174215195,0.8627774583084544
9,9,137,117,0,20,117,116.78759124087591,0.85246416964143,2.8286928996701395,0.29518703164540927,0.9790035756504049,1.0462292534643256
3,3,130,107,0,23,107,106.80615384615385,0.821585798816568,2.6272563603508274,0.2897540359082464,0.5770620444397344,0.8466634074589648
1,1,123,95,0,28,95,94.83658536585365,0.7710291493158833,2.0002821228675205,0.2875034330406047,3.8244814675294605,1.699507649634638
14,14,129,98,0,31,98,97.84418604651164,0.7584820623760592,1.8644625111108544,0.27653702446551465,0.5721814880387683,0.8008460503977631
17,17,134,95,0,39,95,94.87462686567164,0.7080196034751616,1.4314057868097934,0.26121907588014576,0.7816212886346138,0.8417544813281657
10,10,127,79,0,48,79,78.92677165354331,0.621470642941286,0.8075757376765453,0.2556845821597785,0.7804348721176488,0.7759469016965024
13,13,131,81,0,50,81,80.92900763358779,0.617778684225861,0.7121083283584023,0.2536476875457714,0.6433991492091282,0.750521468322953
6,6,136,71,0,65,71,70.98676470588235,0.5219615051903114,0.060751157631812415,0.23842704984288993,0.9870783411436834,0.8974944920181513
2,2,137,63,0,74,63,63.02408759124088,0.4600298364324152,-0.437106023029059,0.23019980090553718,2.074066722263354,1.3081450301128272
20,20,129,58,0,71,58,58.03023255813954,0.4498467640165856,-0.4297037110417937,0.2380272384636759,0.7505551406748449,0.9195654494437652
25,25,132,53,0,79,53,53.05909090909091,0.4019628099173554,-0.7111995272240286,0.23477302292880883,0.791420769770733,0.9183646234771745
12,12,133,52,0,81,52,52.06541353383459,0.3914692746904856,-0.8520753549739781,0.23348311454938644,0.764310157826138,0.8441133690558912
24,24,130,49,0,81,49,49.073846153846155,0.377491124260355,-0.9634981909035101,0.23661189928765416,1.4928661445567368,1.1952564745347836
16,16,129,48,0,81,48,48.07674418604651,0.37268793942671713,-0.9237737304858084,0.23759130200719125,0.7997493792532583,1.0166885637067133
8,8,132,48,0,84,48,48.081818181818186,0.3642561983471075,-1.0765409704782312,0.2395832363309636,0.49401170496195157,0.7643696820890531
19,19,134,41,0,93,41,41.116417910447765,0.3068389396302072,-1.4680077104298643,0.2398762219261917,0.8405793085184858,0.9106280500218411
23,23,134,40,0,94,40,40.120895522388054,0.2994096680775228,-1.4735423540050565,0.2400216887959262,0.6035504742927067,0.9185300689614104
18,18,129,37,0,92,37,37.127906976744185,0.2878132323778619,-1.5864112209238825,0.24675802472671393,1.3081207024004227,1.0497158773293616
21,21,133,23,0,110,23,23.196240601503764,0.17440782407145686,-2.460263155738534,0.2759819106481715,0.8256692117573049,1.0886975749302876
5,5,132,20,0,112,20,20.20909090909091,0.15309917355371902,-2.6534620765111496,0.28919777713239403,4.742606781952527,0.7710478818448872
11,11,131,11,0,120,11,11.249618320610688,0.08587494901229532,-3.428525412888669,0.3484491373008539,2.058991931687091,0.8293101566331803
4,4,137,9,0,128,9,9.26058394160584,0.0675955032234003,-3.6746882958271896,0.3696624197009086,1.2615912634978828,1.2143171834038158
