individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
SVBi-l,11,980,727,0,253,727,726.8548979591835,0.741688671386922,0.8425988220003746,0.07448756697611024,1.045289902383556,1.0255845376908905
THBi-l,13,964,693,0,271,693,692.8686721991701,0.7187434358912552,0.7432844037535816,0.07317738757063187,1.0044350874157892,1.0081721637270613
THUni-l,14,967,685,0,282,685,684.8749741468458,0.7082471294176276,0.677184685565089,0.072365697709142765,1.0279542657188594,1.022480428369546
BHUni-l,2,1003,698,0,305,698,697.8824526420736,0.6957950674397544,0.6113177662226307,0.07026089747192399,0.9886521257620753,0.9907924630315826
BHBi-r,1,992,551,0,441,551,550.9667338709677,0.5554100139828303,0.47390966042232957,0.06620969066169057,0.960965206087258,0.9620643736556962
SVUni-r,12,951,477,0,474,477,476.99905362776025,0.5015762919324503,0.26683268724095843,0.06722552355143069,0.9974159053156814,0.9963401355436806
MVBi-l,9,925,455,0,470,455,455.0048648648649,0.49189715120525934,-0.26611664085544984,0.06755305432091376,0.9939872459788669,0.994314579518173
MHUni-l,6,886,434,0,452,434,434.0060948081264,0.48984886547192596,-0.2789892825406715,0.06904760677909366,0.9338801700893489,0.937904125795005
MCUni-l,4,870,370,0,500,370,370.0448275862069,0.42533888228299643,-0.5339899245058142,0.07046504504714686,1.0063653954255125,1.0061509559308135
MHBi-r,5,922,354,0,568,354,354.0696312364425,0.3840234612108921,-0.18789331944920132,0.07009024681130854,0.9827822824539737,0.9854087796110828
MRBi-r,7,929,352,0,577,352,352.07265877287404,0.37898025702139293,-0.23612104979101997,0.0700289313701312,1.0141497273872278,1.0120846451214354
MRUni-r,8,953,308,0,645,308,308.1060860440714,0.32330124453732567,-0.5011749847720428,0.0715370925667257,1.0157014032345155,1.01034161379135
MCBi-r,3,935,274,0,661,274,274.12417112299465,0.2931809316823472,-0.6640640514493364,0.07413123162821109,1.0671189203970268,1.051736915654944
MVUni-r,10,913,217,0,696,217,217.15739320920045,0.23785037591369163,-0.9467787718414277,0.07989629316291375,0.9948653094917816,0.9919316409021592
