individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
102,2,111,83,0,28,83,82.85135135135135,0.7464085707328951,1.0465421685435792,0.22392717667681059,1.0021344128218206,1.0086530238591167
405,14,110,75,0,35,75,74.89090909090909,0.6808264462809918,0.7937440083859517,0.21082155740614397,0.9221308366057175,0.9665417562718489
106,6,110,73,0,37,73,72.90181818181819,0.6627438016528926,0.6781003257723615,0.20942838538778646,0.9656713237241875,0.9733742838085837
302,9,113,71,0,42,71,70.92300884955752,0.6276372464562612,0.4373640596171683,0.20388966639038894,0.9447859953658168,0.9682337143699014
103,3,112,70,0,42,70,69.925,0.6243303571428571,0.5336021863292819,0.20289365318359806,1.0055605219894466,1.0184042495211623
104,4,116,66,0,50,66,65.95862068965518,0.5686087990487515,0.19394255057649473,0.1947771717745269,1.0623352911980395,1.0520912112668162
404,13,112,61,0,51,61,60.973214285714285,0.5444036989795918,0.19167093849638872,0.1990487780724216,0.8738683258905373,0.8829492831037401
301,8,116,59,0,57,59,58.994827586206895,0.508576099881094,-0.0382775022703633,0.19415194177728967,1.0494994820253183,1.0463232043097839
403,12,117,56,0,61,56,56.01282051282052,0.4787420556651326,-0.06316860612174903,0.19313437654315577,1.0835123116803853,1.0747670517381183
107,7,108,51,0,57,51,51.016666666666666,0.47237654320987654,-0.18512398563131977,0.20030788558520687,1.0409380641649795,1.0362639739201673
105,5,115,53,0,62,53,53.02347826086957,0.46107372400756147,-0.14325779467263616,0.19570160829714783,0.9941491734913852,0.9952827131712569
406,15,115,51,0,64,51,51.033913043478265,0.443773156899811,-0.1985340717405873,0.1951224363314497,1.0468889974064943,1.0457973491695516
402,11,112,40,0,72,40,40.08571428571428,0.3579081632653061,-0.5511134152167949,0.20434415265998845,0.9729765938723328,0.9646874636437435
401,10,110,34,0,76,34,34.11454545454546,0.3101322314049587,-0.6624506821931531,0.21370677383656994,0.9289934797493967,0.9344890725506084
407,16,110,33,0,77,33,33.12,0.3010909090909091,-0.7787687740801174,0.2143043334663762,1.0532584416780881,1.060015947258388
101,1,113,24,0,89,24,24.17256637168142,0.21391651656355237,-1.2542714057945055,0.23384774048249768,0.8795181725094388,0.9480441860567438
