individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
405,14,141,86,0,55,86,85.93404255319149,0.6094612947034858,0.4537567994081322,0.1743434415421762,0.9984239086129953,0.9971904420150526
103,3,143,85,0,58,85,84.94335664335664,0.5940094870164799,0.41282626671842854,0.1719682518518199,1.0360043489390978,1.0298791890482928
106,6,145,83,0,62,83,82.95655172413794,0.572114149821641,0.3011187467550821,0.17016552936990753,0.9670719369711035,0.9710289035940721
403,12,147,84,0,63,84,83.95714285714286,0.571137026239067,0.2794436591173393,0.1688098080905595,0.9783255474269574,0.9801115951763688
104,4,143,80,0,63,80,79.96433566433566,0.5591911584918577,0.26366839749781423,0.17064712861263734,0.9931211934495202,0.9933816247339609
102,2,144,80,0,64,80,79.96666666666667,0.5553240740740741,0.2088997530493704,0.17001177716057428,0.9924611902372076,0.9934382698843405
301,8,145,76,0,69,76,75.9855172413793,0.5240380499405469,0.1478464111517991,0.1685754933989249,1.0028820352266965,1.0019894582755622
107,7,147,76,0,71,76,75.98979591836734,0.5169373871997778,0.04917255343223116,0.16754046342221662,0.9739838550494097,0.9749805521971272
401,10,146,75,0,71,75,74.9917808219178,0.5136423343966973,0.027283790933674876,0.16811474511894905,1.018456978654634,1.0180801389601701
105,5,143,73,0,70,73,72.9937062937063,0.5104454985573866,0.04566034630736926,0.16963890245786734,1.046702552900303,1.0458170208809012
302,9,144,73,0,71,73,72.99583333333334,0.5069155092592593,-0.00572778672840839,0.16924228094687732,1.016971626633043,1.0169761837057512
404,13,145,63,0,82,63,63.03931034482759,0.43475386444708686,-0.25927733545702597,0.16967087211902795,0.9566552245292054,0.9575838735200045
406,15,146,62,0,84,62,62.04520547945206,0.42496716081816477,-0.33329122181733745,0.16960135406723753,1.0081574586972968,1.0094201050209115
402,11,144,58,0,86,58,58.05833333333334,0.40318287037037037,-0.3904116423119598,0.1719470978200767,1.0108664649348051,1.011546131549349
101,1,143,52,0,91,52,52.08181818181818,0.36420851875397325,-0.56247074611578185,0.17578428322961742,0.9583170220289717,0.9633976762109037
407,16,144,49,0,95,49,49.09583333333333,0.340943287037037,-0.6384979919407275,0.17752148814493016,1.0368352267472845,1.028780081339706
