individual,id,Ntot,N1,ND,N0,raw,score,propscore,theta,se.theta,outfit,infit
102,2,401,264,0,137,264,263.9049875311721,0.6581171758882097,0.6373882399790652,0.10659906654085796,1.0073665658751156,1.0059495791874233
103,3,401,261,0,140,261,260.90947630922693,0.6506470730903414,0.6059331383717236,0.10619359564534603,1.019976217716647,1.016312213742536
106,6,399,249,0,150,249,248.92556390977444,0.6238735937588332,0.4668197709964615,0.10466402444854277,1.0096920389866515,1.0085365053338047
405,14,404,242,0,162,242,241.94059405940592,0.5988628565826879,0.36941077642665743,0.10297006916459187,0.9832345827906717,0.9843783378079559
107,7,402,232,0,170,232,231.95373134328355,0.5769993316997103,0.28732604839655757,0.10237094602612702,0.9803034381720227,0.9799177595911803
403,12,400,197,0,203,197,197.00449999999998,0.49251124999999996,-0.009842607379519846,0.10165247558296399,0.9711211347574934,0.9720638776299759
401,10,400,195,0,205,195,195.00750000000002,0.48751875000000006,-0.054306383564885256,0.10158762695986057,1.003180976229915,1.0030253803410791
105,5,403,195,0,208,195,195.00967741935486,0.48389498118946617,-0.07902554500942632,0.10111427984982015,1.0141893558930763,1.0136805151437043
406,15,404,189,0,215,189,189.01930693069306,0.46786957161062637,-0.14449860485853006,0.10113025728604638,1.0051901393938567,1.003710457019875
301,8,402,187,0,215,187,187.0208955223881,0.465226108264647,-0.14885281899674105,0.1014871347755418,0.9935918640321506,0.9926754518466595
104,4,400,176,0,224,176,176.036,0.44009,-0.23897215996963456,0.10218304210755082,1.0144518137329928,1.0127568308400279
402,11,400,171,0,229,171,171.0435,0.42760875,-0.2881809764290175,0.10246218586233313,0.985786934272517,0.9875730684339442
302,9,403,172,0,231,172,172.0439205955335,0.42690799155219233,-0.26228383324897303,0.1022046629882927,0.9941247029446167,0.9961139798585017
404,13,401,164,0,237,164,164.05461346633416,0.4091137492926039,-0.32455796364843437,0.10310423570384313,0.9955701809953363,0.9939440353598119
101,1,400,161,0,239,161,161.0585,0.40264625000000004,-0.37908435416658504,0.10330112356254244,1.0258755192673978,1.0240824748881439
407,16,400,155,0,245,155,155.06750000000002,0.38766875000000006,-0.4372727268987182,0.10388257923860265,1.003198760882987,1.0000751286671383
