Study,Ass,Rep,Comp,SSR,r,Correct,repPERass,CompPERass,CompPERrep
Al Maimani & Roudaut (2017),12,4,140,0.95,0.98,0.94,0.333333333,11.66666667,35
Bisson et al. (2016)a,10,46,460,0.85,0.74,0.86,4.6,46,10
Bisson et al. (2016)b,30,40,1260,0.94,0.87,0.77,1.333333333,42,31.5
Bisson et al. (2016)c,10,20,453,0.88,0.73,0.73,2,45.3,22.65
Bisson et al. (2019),10,206,2060,0.83,0.69,0.82,20.6,206,10
Bramley & Vitello (2018)a,18,150,1079,0.97,0.88,0.82,8.333333333,59.94444444,7.193333333
Bramley & Vitello (2018)b,18,20,180,0.75,0.63,0.78,1.111111111,10,9
Bramley & Vitello (2018)c,16,150,1097,0.74,0.54,0.77,9.375,68.5625,7.313333333
Clark et al. (2018)a,56,82,4592,0.97,0.94,0.81,1.464285714,82,56
Clark et al. (2018)b,96,82,7857,0.98,0.96,0.77,0.854166667,81.84375,95.81707317
Coertjens et al. (2015,41,35,474,0.89,0.79,0.82,0.853658537,11.56097561,13.54285714
Coertjens et al. (2021,8,22,202,0.79,0.61,0.79,2.75,25.25,9.181818182
van Daal et al. (2017)a,56,136,1229,0.82,0.68,0.83,2.428571429,21.94642857,9.036764706
van Daal et al. (2017)b,52,137,918,0.78,0.59,0.81,2.634615385,17.65384615,6.700729927
van Daal et al. (2017)c,13,149,2251,0.87,0.66,0.78,11.46153846,173.1538462,15.10738255
Davies et al. (2020,11,143,1573,0.86,0.72,0.8,13,143,11
Davies et al. (2021)a,29,175,1941,0.83,0.68,0.79,6.034482759,66.93103448,11.09142857
Davies et al. (2021)b,10,175,1740,0.66,0.39,0.72,17.5,174,9.942857143
Esen (2019),459,8,12852,0.99,0.98,0.63,0.017429194,28,1606.5
Holmes et al. (2017),33,66,1650,0.83,0.66,0.7,2,50,25
Hunter & Jones (2018),39,2035,26364,0.91,0.78,0.85,52.17948718,676,12.95528256
İsnaç & Doğan (2020),444,8,12432,0.99,0.97,0.6,0.018018018,28,1554
Jones & Alcock (2014)a,11,168,1217,0.9,0.66,0.8,15.27272727,110.6363636,7.244047619
Jones & Alcock (2014)b,11,168,1217,0.88,0.64,0.78,15.27272727,110.6363636,7.244047619
Jones & Alcock (2014)c,9,168,1217,0.98,0.89,0.87,18.66666667,135.2222222,7.244047619
Jones & Alcock (2014)d,100,168,1200,0.82,0.57,0.76,1.68,12,7.142857143
Jones & Alcock (2014)e,93,168,1210,0.84,0.61,0.78,1.806451613,13.01075269,7.202380952
Jones et al. (2013),8,25,400,0.96,0.86,0.75,3.125,50,16
Jones et al. (2014)a,12,18,173,0.85,0.78,0.82,1.5,14.41666667,9.611111111
Jones et al. (2014)b,11,18,143,0.87,0.83,0.89,1.636363636,13,7.944444444
Jones et al. (2014)c,12,18,151,0.78,0.58,0.74,1.5,12.58333333,8.388888889
Jones et al. (2014)d,11,18,150,0.9,0.8,0.85,1.636363636,13.63636364,8.333333333
Jones & Inglis (2015)a,15,750,3607,0.97,0.79,0.96,50,240.4666667,4.809333333
Jones & Inglis (2015)b,5,250,1250,0.96,0.79,0.93,50,250,5
Jones & Wheadon (2015),76,24,1983,0.95,0.92,0.69,0.315789474,26.09210526,82.625
Jones et al. (2016)a,17,38,810,0.88,0.72,0.76,2.235294118,47.64705882,21.31578947
Jones et al. (2016)b,20,546,5000,0.83,0.62,0.82,27.3,250,9.157509158
Jones & Sirl (2017),132,139,3258,0.9,0.8,0.76,1.053030303,24.68181818,23.43884892
Jones et al. (2019,10,189,1890,0.87,0.75,0.87,18.9,189,10
S. Jones et al. (2020)a,1920,1111,163197,0.99,0.94,0.78,0.578645833,84.9984375,146.8919892
S. Jones et al. (2020)b,4028,1111,246692,0.99,0.98,0.8,0.275819265,61.24428997,222.0450045
Kinnear et al. (2021)a,8,10,160,0.85,0.72,0.76,1.25,20,16
Kinnear et al. (2021)b,10,10,181,0.85,0.59,0.74,1,18.1,18.1
Kinnear et al. (2021)c,13,20,302,0.83,0.66,0.75,1.538461538,23.23076923,15.1
Kinnear et al. (2021)d,10,10,200,0.88,0.7,0.77,1,20,20
Kinnear et al. (2021)e,12,10,215,0.8,0.52,0.7,0.833333333,17.91666667,21.5
Kinnear et al. (2021)f,22,20,440,0.77,0.59,0.68,0.909090909,20,22
Kinnear et al. (2021)g,22,20,422,0.77,0.58,0.7,0.909090909,19.18181818,21.1
Kinnear et al. (2021)h,8,20,142,0.57,0.4,0.69,2.5,17.75,7.1
Kinnear et al. (2021)i,9,20,331,0.68,0.25,0.65,2.222222222,36.77777778,16.55
Luckett et al. (2018)a,99,6,990,0.87,0.84,0.59,0.060606061,10,165
Luckett et al. (2018)b,100,3,300,0.74,0.81,0.58,0.03,3,100
Luckett et al. (2018)c,87,5,435,0.51,0.49,0.58,0.057471264,5,87
Luckett et al. (2018)d,95,5,380,0.67,0.65,0.58,0.052631579,4,76
Luckett (n.d.)a,52,5,520,0.91,0.83,0.63,0.096153846,10,104
Luckett (n.d.)b,52,5,520,0.96,0.94,0.71,0.096153846,10,104
Marshall et al. (2020)a,21,119,1911,0.9,0.8,0.8,5.666666667,91,16.05882353
Marshall et al. (2020)b,16,253,1856,0.85,0.72,0.88,15.8125,116,7.335968379
McMahon & Jones (2014)a,37,154,3722,0.9,0.79,0.76,4.162162162,100.5945946,24.16883117
McMahon & Jones (2014)b,5,154,1550,0.88,0.75,0.87,30.8,310,10.06493506
Ofqual (2015),35,2150,35000,0.87,0.74,0.77,61.42857143,1000,16.27906977
Whitehouse & Pollitt (2012),23,564,3519,0.98,0.87,0.89,24.52173913,153,6.239361702
Pollitt (2017)a,18,122,2054,0.94,0.9,0.89,6.777777778,114.1111111,16.83606557
Pollitt (2017)b,54,999,8161,0.95,0.81,0.82,18.5,151.1296296,8.169169169
Pollitt (n.d.)a,14,75,496,0.91,0.73,0.83,5.357142857,35.42857143,6.613333333
Pollitt (n.d.)b,15,75,497,0.91,0.72,0.83,5,33.13333333,6.626666667
Pollitt (n.d.)c,4,40,200,0.87,0.69,0.86,10,50,5
Pollitt (n.d.)d,5,72,411,0.93,0.64,0.85,14.4,82.2,5.708333333
Pollitt (n.d.)e,18,370,2569,0.98,0.9,0.87,20.55555556,142.7222222,6.943243243
Pollitt (n.d.)f,32,134,932,0.97,0.87,0.83,4.1875,29.125,6.955223881
Pollitt (n.d.)g,10,100,1000,0.97,0.91,0.8,10,100,10
Pollitt (n.d.)h,12,90,639,0.96,0.85,0.83,7.5,53.25,7.1
Pollitt (n.d.)i,7,200,2002,0.98,0.91,0.83,28.57142857,286,10.01
Pollitt (n.d.)j,39,804,4148,0.96,0.78,0.91,20.61538462,106.3589744,5.15920398
Pollitt (n.d.)k,128,128,1272,0.9,0.74,0.75,1,9.9375,9.9375
