judging_session,ssr,mean_split_corr,mean_eloR,mean_eloR_weighted,elo_btm_correlation,num_pairs,num_pairs_judged,prop_pairs_judged,prop_correct_judgements
AlMaimani2017,0.9543463554953696,0.9755000455163889,0.9206501662019088,0.93795350129779,0.9997160528208616,6,6,1,0.9428571428571428
Bisson2016_algebra,0.8484215389848699,0.7383474734863141,0.7469452215331064,0.8488128398008955,0.9873799090346606,1035,460,0.4444444444444444,0.8608695652173913
Bisson2016_calculus,0.9397453000700382,0.8654155725281892,0.7255182600070276,0.8289453920812776,0.9995190721577125,780,629,0.8064102564102564,0.7698412698412699
Bisson2016_stats,0.884518886756191,0.7338560400863664,0.6622488840224406,0.7531095758396529,0.9996688375121661,190,168,0.8842105263157894,0.7262693156732892
Bisson2019,0.8329305720648611,0.6859804955289224,0.7187286681375695,0.8228185369014358,0.9839694020815212,21115,2060,0.0975609756097561,0.8223300970873786
Bramley2018_1a,0.967573620192149,0.8780558442126,0.5899247521925015,0.6423687452307373,0.8071583995723365,11175,1021,0.09136465324384788,0.8220574606116775
Bramley2018_1b,0.753327620372944,0.6339270457171522,0.6579087678115548,0.7409099056456344,0.9989876782943835,190,180,0.9473684210526316,0.7777777777777778
Bramley2018_2,0.7382254486537053,0.536715530365427,0.6452167370799661,0.7277388644115749,0.9492739723482989,11175,1004,0.0898434004474273,0.7675478577939836
Clark2018_Study1,0.9710256360488928,0.9363271200062757,0.7660145200964972,0.8643815404331296,0.9998452849082078,3321,2507,0.7548931044866004,0.8081445993031359
Clark2018_Study2,0.9795754036985054,0.9573857279572211,0.7398591353549532,0.836315558895554,0.9999051308617927,3321,3028,0.9117735621800662,0.7739595265368461
Coertjens2015_stress,0.8924117554385604,0.793714994204621,0.7308351070340459,0.8346212328648841,0.9942549452357918,595,474,0.7966386554621848,0.8164556962025317
Coertjens2021,0.7924990866745916,0.6102905088629788,0.6864441341628104,0.7806117407193807,0.9971710870996251,231,202,0.8744588744588745,0.7871287128712872
Daal2017_sample1,0.8186802902522592,0.6812375841894601,0.722973788355964,0.8200471622568372,0.9830824597398449,9180,1229,0.13387799564270153,0.8275020341741253
Daal2017_sample2,0.7819930376325571,0.5946434909519359,0.6849253195893409,0.7819109232647938,0.9750381008023729,9316,915,0.09821811936453412,0.8137254901960784
Daal2017_sample3,0.8702782471936115,0.6589151094058051,0.6991803135524538,0.7963671773996615,0.9973584991795347,11026,2251,0.204153818247778,0.7832074633496224
Davies2020a,0.8591748685286722,0.7248914712320644,0.7083018416876381,0.8128171443778158,0.9721919468319936,10153,1528,0.15049738993400966,0.8022886204704387
Davies2021_expert,0.8287321849916268,0.679492126542591,0.6902842021817472,0.7871849382883583,0.9861613296125257,15225,1940,0.12742200328407224,0.788768675940237
Davies2021_novice,0.6583006726343221,0.38518156203942816,0.5986292526547125,0.6602920862142707,0.9855722013894939,15225,1736,0.11402298850574712,0.7155172413793104
Esen2019,0.9938275248440686,0.981932069090138,0.5820192530998526,0.6255506839921405,0.9995348658113644,28,28,1,0.6287737317149081
Holmes2017,0.8298704950308967,0.6565935700715009,0.6193346778493847,0.6818308113302399,0.9997284054529949,2145,1650,0.7692307692307693,0.6951515151515152
Hunter2018,0.905486584511159,0.7773339936401537,0.7577751587103024,0.8671890345353536,0.9824801039103166,2069595,26160,0.01264015423307458,0.8477089971172811
Isnac2020,0.9885587493808632,0.9666395849004411,0.5521325460289513,0.5784039208342928,0.9984449328834677,28,28,1,0.6028796653796654
Jones2013a_expert1,0.8960715135908773,0.6647107082792074,0.613366593321991,0.695471663952268,0.9416281275292645,14028,1119,0.07976903336184774,0.8027937551355793
Jones2013a_expert2,0.8775003667189414,0.6355447602524482,0.5993183784638252,0.6628897912873769,0.9338096780646433,14028,1078,0.07684630738522955,0.780608052588332
Jones2013a_novice,0.9824695377202032,0.8875759286923085,0.5714004433903467,0.6184803585693458,0.842152258137764,14028,1086,0.07741659538066724,0.8693508627773213
Jones2013a_peer1,0.82030087552523,0.5724694226884676,0.5748935052711387,0.6240362789643621,0.9538665981727958,14028,1089,0.07763045337895637,0.7575
Jones2013a_peer2,0.841001492061082,0.6067895870460366,0.5888925017427047,0.646227264944619,0.9713478191261363,14028,1130,0.08055317935557456,0.7785123966942149
Jones2013b,0.9561418085192408,0.8585192319962258,0.6430620675063334,0.7369667573545227,0.9897090600777015,300,179,0.5966666666666667,0.7475
Jones2014_Bowland030211data,0.8534615306908516,0.7824880722893583,0.6966030684901894,0.7883823170207146,0.9743091256257291,153,99,0.6470588235294118,0.815028901734104
Jones2014_Bowland070211data,0.8702685958593552,0.8291102698368817,0.7568492521634802,0.8681140350017073,0.9738860279272007,153,81,0.5294117647058824,0.8881118881118881
Jones2014_GCSE030211data,0.7763695444463544,0.5785817714098741,0.6315648225465841,0.7164645754019511,0.9950751212918341,153,91,0.5947712418300654,0.7350993377483444
Jones2014_GCSE070211data,0.9027410198850632,0.8019906705089553,0.7127885241134719,0.8288451593702025,0.9803283472099019,153,84,0.5490196078431373,0.8533333333333334
Jones2015a_all-scripts,0.9714078618129433,0.7868488141822226,0.5743492296751213,0.622786369151395,0.8679601046467321,280875,3553,0.01264975522919448,0.956473523703909
Jones2015a_subset-of-scripts,0.96028431743803,0.7933693604135014,0.5806451771444099,0.6612726381360801,0.8898494309063195,31125,1152,0.03701204819277108,0.9264
Jones2015b,0.950226084226054,0.91993258399786,0.6552656408647861,0.7242857962687379,0.999767108731527,276,276,1,0.6903681290973273
Jones2016b_perfect,0.8792308938242354,0.7197459621591488,0.6885147742834019,0.7757273005134184,0.9996755906988463,703,480,0.6827880512091038,0.7641975308641975
Jones2016b_realscripts,0.8264816534892022,0.6168053868971973,0.7140696208181799,0.8178337512491101,0.9694473952960699,148785,4908,0.03298719628994858,0.821
Jones2017,0.8987048699193221,0.7964626099868174,0.6946965713106997,0.7852814877025632,0.99648412085734694,9591,2778,0.28964654363465747,0.7633517495395948
Jones2019,0.868981660872068,0.7455803653221568,0.760576621353295,0.8661118278136959,0.984265317510576,17766,1890,0.10638297872340426,0.8661375661375661
Jones2020_brightness-equalised,0.9856656697659928,0.9409579701523327,NA,NA,NA,616605,20194,0.03275030205723275,0.7751674356759009
Jones2020_main-study,0.9919567291633592,0.976011925602104,NA,NA,NA,616605,20188,0.03274057135443274,0.7964952248147488
Kinnear2021_experts-even,0.8491135542654873,0.722283983957949,0.6849045837676304,0.7757205604589524,0.9942218573693974,45,45,1,0.7625
Kinnear2021_experts-odd,0.8468858459137604,0.5911469768075119,0.6622558175634252,0.7571180276203469,0.9979570479542424,45,45,1,0.7403314917127072
Kinnear2021_experts-withsolutions,0.8345350529003277,0.6645542199993733,0.6781620783535934,0.760357492681524,0.9997140137646703,190,189,0.9947368421052633,0.7450331125827815
Kinnear2021_students-even,0.8844710173458848,0.7001395080392668,0.6999903831049058,0.7935073359256892,0.9999086011751656,45,45,1,0.765
Kinnear2021_students-odd,0.8035167376067339,0.5224291034004486,0.6392486143596111,0.69496699712725,0.9999432305403535,45,45,1,0.6976744186046512
Kinnear2021_students-withoutsolutions,0.7740943449723318,0.5909922883612343,0.6043414156967749,0.6544158324731859,0.9996433654309123,190,189,0.9947368421052633,0.6772727272727272
Kinnear2021_students-withsolutions,0.769835672987863,0.5831714065800887,0.623328284986342,0.6741629973023117,0.999643215340621,190,190,1,0.7037914691943128
Kinnear2021_students-withsolutions1,0.5685500035906607,0.39806482137137916,0.5930040885523201,0.6571266063444151,0.9959405503205933,190,142,0.7473684210526316,0.6901408450704225
Kinnear2021_students-withsolutions2,0.6792355753658821,0.25053291078956685,0.5814922304119909,0.6313603263560676,0.9997488334302185,190,190,1,0.6465256797583081
Luckett2018_cola,0.8732901694085311,0.8360254435736026,0.5413154856049638,0.5614909313834527,0.9998006596564115,15,15,1,0.592929292929293
Luckett2018_coldbrew,0.7385786107135289,0.8137861136485866,0.5312653393261887,0.5451398493107622,0.9998124547273598,3,3,1,0.58
Luckett2018_icecream,0.5129689191232287,0.49493693445637693,0.5135227790089165,0.5197876517750568,0.996713943022026,10,10,1,0.5770114942528736
Luckett2018_pizza,0.6671127972421946,0.6526394508832962,0.5285424980007772,0.5424153095724948,0.9992841121118899,10,10,1,0.5842105263157895
LuckettX_odor-familiar,0.9116918300081948,0.8348663285589922,0.5871726765965308,0.6263261138756017,0.9995201043223231,10,10,1,0.6346153846153846
LuckettX_odor-pleasant,0.9588549744865694,0.9355681967955936,0.6639461559881641,0.7258486688167944,0.9999809167575364,10,10,1,0.7096153846153846
Marshall2020_statistics,0.9015940515008098,0.7960598868031903,0.721832378063181,0.82723886196295,0.9901959142961921,7021,1909,0.2718985899444524,0.7985347985347986
Marshall2020_written,0.8462164761165027,0.7215131706491055,0.7458932981084181,0.8552401343235672,0.9742575614748511,31878,1853,0.05812786247568856,0.8760775862068966
McMahon2014_peer,0.899163751106417,0.7913388196738448,0.6905192181604084,0.780613074148892,0.9989163584099926,11781,3170,0.2690773279008573,0.7563138097796883
McMahon2014_teachers,0.8843942401624353,0.7490342747385464,0.7617325049226831,0.871533630932205,0.9817979092762169,11781,1459,0.12384347678465324,0.8683870967741936
Ofqual2015,0.8724316695485554,0.7390022219964204,0.6936777871006456,0.7902630356361199,0.9904361401251434,2310175,35000,0.01515036739640936,0.7710285714285714
Pollitt2012a,0.9779996255372254,0.8710961001194814,0.5792480059951908,0.6319982632098381,0.8521020368568356,158766,3303,0.02080420241109557,0.8863313441318557
Pollitt2017_example2,0.9443829886416516,0.8974447740792407,0.8134671648230931,0.922659803805076,0.9921339923949588,7381,2052,0.2780111096057445,0.8875365141187926
Pollitt2017_example4,0.9485595467547794,0.8077179166289467,0.6039671938346275,0.6731809085616706,0.9356222970366544,498501,7222,0.01448743332510867,0.8184046072785198
PollittX_art1,0.91363653656809,0.725196804569443,0.6167696180988795,0.6987583469608012,0.9554509971429502,2775,427,0.15387387387387388,0.8266129032258065
PollittX_art2,0.9139111060323228,0.7245102116724834,0.6170995436369161,0.6988025408350969,0.9556028887086014,2775,428,0.15423423423423424,0.8269617706237424
PollittX_business,0.8733316239664546,0.6917735403122898,0.5943399334877884,0.6472530989564891,0.9484750988190942,780,175,0.22435897435897437,0.855
PollittX_college,0.9335833378085584,0.6449470614243407,0.5778169636505577,0.6159040297142653,0.8943020747957318,2556,347,0.13575899843505476,0.8491484184914841
PollittX_design,0.978777117124115,0.9026506330234078,0.5730839591471591,0.6190804393547811,0.8920073688200512,68265,2434,0.03565516736248443,0.8688205527442585
PollittX_efl-oracy,0.9708548987324928,0.871479893484582,0.5656449749435175,0.61159094805755565,0.8961611952761778,8911,803,0.0901133430591404,0.8272532188841202
PollittX_efl-writing,0.9744105675894932,0.9074983210033285,0.602441933796924,0.6716719377533195,0.9186083394568026,4950,750,0.15151515151515152,0.801
PollittX_ielts-writing,0.9608903912490468,0.8506706178651849,0.5855047168972173,0.6322865733878265,0.8801917176822067,4005,534,0.13333333333333333,0.8262910798122066
PollittX_mcq-difficulty,0.9813462778274306,0.9058104838443451,0.584787846986862,0.629966045125622,0.8549148872225167,19900,1665,0.08366834170854272,0.8266733266733267
PollittX_music,0.9634045611536322,0.7844205193534199,0.5694800670785286,0.6150864709654819,0.893829003130902,322806,3887,0.01204128795623377,0.9136933461909353
PollittX_peer-assessment,0.904400069593408,0.740532885149594,0.5869073242261892,0.6567630847617789,0.9299019982934842,8128,909,0.11183562992125984,0.7539308176100629
PollittX_philosophy1,0.9734448235014004,0.8635246478015257,0.5604832802209325,0.6008076598856423,0.8793507567548315,244650,4253,0.01738401798487635,0.8640667267808837
PollittX_philosophy2a,0.9516661762739655,0.7800298569583595,0.5624892421622386,0.598352528338996,0.907899922103602,51040,1562,0.03060344827586206,0.8832298136645963
PollittX_philosophy2b,0.9503384682175926,0.7809478739932179,0.5510647694856643,0.5862351275297333,0.9092641563325682,51040,1560,0.03056426332288401,0.8766193707587908
