"comparison","objectA","objectB","selected_at","completed","selected_object","judgement_time","task_diff","task_diff_duration","comparative_feedback","feedback_duration","total_duration","assessorR"
284,"H17","54938ca135f9858cfb0c2a965718392e","25/08/2015 11:18",1,"54938ca135f9858cfb0c2a965718392e",38,2,"4","kleur en compositie",12,54,"assessor11"
285,"C11","E10","25/08/2015 11:18",1,"C11",19,3,"3","abstrahering van angst en verwarring",33,55,"assessor11"
286,"J15","F18","25/08/2015 11:19",1,"F18",13,3,"3","linkerpagina: combinatie van voorstellingen",52,68,"assessor11"
287,"J15","H12","28/08/2015 9:03",1,"H12",3,1,"3","",3,9,"assessor11"
288,"F16","54938ca135f9858cfb0c2a965718392e","28/08/2015 9:04",1,"54938ca135f9858cfb0c2a965718392e",40,6,"5","B is visueel origineler (bij A is het concept origineler)",21,66,"assessor11"
289,"F9","1a044b43ab4eca593fa07c0b69e55cc3","28/08/2015 9:14",1,"1a044b43ab4eca593fa07c0b69e55cc3",12,1,"3","B meer eigen inbreng, persoonlijke stilering",13,28,"assessor11"
290,"3649ba8db06d94c8b79911d940ba289c","F2","28/08/2015 14:56",1,"F2",5204,4,"3","",1,5208,"assessor05"
291,"F5","K21","28/08/2015 15:12",1,"K21",922,4,"2","",3,927,"assessor05"
292,"J9","A11","28/08/2015 15:22",1,"A11",345,2,"4","",1,350,"assessor05"
293,"3e214041981e81f9fd99ca069cf98325","K26","28/08/2015 15:32",1,"3e214041981e81f9fd99ca069cf98325",565,7,"3","Lastig, uiteindelijk A omdat ik het gevoel heb dat er iets meer een eigen ingreep is gedaan",16,584,"assessor05"
294,"C19","29fe32912c306a55427d86d4a78dde8c","28/08/2015 15:34",1,"29fe32912c306a55427d86d4a78dde8c",89,3,"3","Gevoel alsof A meer een kleuronderzoek is, en dat B meer een eigen visie toont.",29,121,"assessor05"
295,"5eee9f0e60b7c6c9717def7892237bb6","J7","28/08/2015 15:54",1,"J7",288,3,"33","Vergelijkbaar, maar eigenzinniger aanpassing bij B",180,501,"assessor05"
296,"C7","ac669b056cd33482fad55d756497b177","28/08/2015 16:00",1,"C7",160,3,"3","",0,163,"assessor05"
297,"ea230cb808b6557485b8dc7db1a0a86a","I12b","28/08/2015 16:00",1,"ea230cb808b6557485b8dc7db1a0a86a",13,1,"2","",1,16,"assessor05"
298,"H0","E3","28/08/2015 16:01",1,"H0",34,1,"5","",1,40,"assessor05"
299,"I15","C11","28/08/2015 16:09",1,"C11",451,3,"6","",1,458,"assessor05"
300,"K2","K26","28/08/2015 16:14",1,"K26",68,3,"2","",0,70,"assessor05"
301,"ac669b056cd33482fad55d756497b177","786709f6b21b9f098a1c6cbea7fdac08","29/08/2015 9:14",1,"786709f6b21b9f098a1c6cbea7fdac08",101,1,"4","",2,107,"assessor05"
302,"E8","e07e3b29c3f3ed23ea6d2d7db0e65cf8","29/08/2015 9:15",1,"e07e3b29c3f3ed23ea6d2d7db0e65cf8",69,1,"6","",1,76,"assessor05"
303,"A7","D5","29/08/2015 9:17",1,"A7",83,2,"4","",1,88,"assessor05"
304,"F9","J13","29/08/2015 9:25",1,"J13",70,4,"12","B meer eigen invulling en lijkt doelbewuster om een bepaalde visie over te brengen",20,102,"assessor05"
305,"ee7c0339be618ca65973144f3bb849ce","E23","29/08/2015 9:30",1,"E23",257,5,"6","Beide lijken onderzoek, maar bij B lijkt bij de selectie van de still op het station heel overwogen te zijn gekozen voor een bepaalde compositie en voorstelling om een idee uit te drukken.",54,317,"assessor05"
306,"F7","K26","29/08/2015 9:47",1,"K26",820,6,"3","Lastig, door kadrering van de foto's bij A zit er een bepaalde interessante abstractie in. toch gekozen voor B i.v.m. meer stilering en toch iets origineler.",80,903,"assessor05"
307,"A18","94d9699732e50f271a89808b9575139b","29/08/2015 12:13",1,"94d9699732e50f271a89808b9575139b",148,2,"2","",2,152,"assessor05"
308,"J15","C9","29/08/2015 12:18",1,"C9",260,5,"275","Hoewel B meer een brainstorm is, toont het m.i. meer eigen visie en aanpassing",167,702,"assessor05"
309,"I17","1b2bf88d0cf06c8dfb2d58e0b4579f35","29/08/2015 12:26",1,"I17",27,1,"3","",7,37,"assessor05"
310,"C18","H2","29/08/2015 12:28",1,"C18",131,2,"2","",1,134,"assessor05"
311,"B6","F3","29/08/2015 14:16",1,"B6",719,5,"3","Gekozen voor A omdat er een inhoudelijke samenhang tussen de beelden is, afbeelding bij B lijkt willekeuriger.",32,754,"assessor05"
312,"ce5eb73aac1ac0832ad9ec9adedb38da","E8","29/08/2015 14:17",1,"ce5eb73aac1ac0832ad9ec9adedb38da",14,1,"6","",3,23,"assessor05"
313,"3e214041981e81f9fd99ca069cf98325","F7","29/08/2015 14:19",1,"3e214041981e81f9fd99ca069cf98325",151,2,"2","",1,154,"assessor05"
314,"da10dd2f875c94b2f976147315a321cd","D12","29/08/2015 14:26",1,"D12",327,2,"7","Excuus, dit moest A zijn!! B leek me toch meer kleuronderzoek.",30,364,"assessor05"
315,"E24","F18","29/08/2015 14:45",1,"E24",1074,6,"5","",1,1080,"assessor05"
316,"3e214041981e81f9fd99ca069cf98325","e07e3b29c3f3ed23ea6d2d7db0e65cf8","29/08/2015 14:59",1,"3e214041981e81f9fd99ca069cf98325",807,4,"4","B origineler in voorstelling, maar bij A weloverwogen gekozen voor gebruik van verschillende beeldende middelen.",27,838,"assessor05"
317,"E21","786709f6b21b9f098a1c6cbea7fdac08","29/08/2015 15:16",1,"786709f6b21b9f098a1c6cbea7fdac08",24,2,"2","",2,28,"assessor05"
318,"1b2bf88d0cf06c8dfb2d58e0b4579f35","A18","29/08/2015 15:16",1,"A18",8,2,"2","",26,36,"assessor05"
319,"A15","I18","29/08/2015 15:17",1,"I18",34,2,"3","",15,52,"assessor05"
320,"E11","d7f573c9a18444c1b18c4e62e4b5f9f6","29/08/2015 15:25",1,"d7f573c9a18444c1b18c4e62e4b5f9f6",24,5,"2","A meer conceptueel, lastig beoordelen op visuele vormgeving",13,39,"assessor05"
321,"9125eb25d10dcb5fb57dfbdb59a1b74b","I17","29/08/2015 16:10",1,"9125eb25d10dcb5fb57dfbdb59a1b74b",580,7,"3","Moeilijk! Vond ze allebei origineel, B misschien iets persoonlijker maar gekozen voor A omdat daar voor m'n gevoel heel duidelijk een nieuw beeld is gecreëerd heel specifiek gericht op het oproepen van een bepaalde betekenis.",477,1060,"assessor05"
322,"A7","H4","2/09/2015 9:12",1,"H4",441,4,"3","",1,445,"assessor05"
323,"K27","A6","2/09/2015 9:15",1,"K27",135,2,"2","",1,138,"assessor05"
324,"2920d4f4f2684f38b8167e1a99129821","H0","2/09/2015 9:20",1,"H0",324,3,"2","B veel aandacht besteed aan het blad als geheel, en daarbij de elementen geselecteerd vanuit een bewust idee",80,406,"assessor05"
325,"ca4b73cfbaf430ee72a8faf80734c750","D14","2/09/2015 9:28",1,"D14",367,2,"2","",2,371,"assessor05"
326,"B6","I18","2/09/2015 9:30",1,"I18",128,2,"3","",2,133,"assessor05"
327,"I17","J11","2/09/2015 9:32",1,"I17",117,3,"20","",3,140,"assessor05"
328,"E5","ac669b056cd33482fad55d756497b177","2/09/2015 9:35",1,"E5",137,1,"2","",1,140,"assessor05"
329,"K24","I19","2/09/2015 9:41",1,"I19",226,7,"3","Wel twijfel, want beide lijken onderzoek, en hoewel het eigenlijk lastig is om de bijna volledig lege pagina van B als beter te beoordelen, vind ik dat deze toch hoger scoort op compositie, stilering en eigen stijl.",70,299,"assessor05"
330,"H10","G10","2/09/2015 9:43",1,"G10",53,1,"4","",2,59,"assessor05"
331,"J15","D11","2/09/2015 9:47",1,"D11",191,2,"2","",1,194,"assessor05"
332,"I2","D11","2/09/2015 9:47",1,"D11",24,2,"3","A = vormgeving van mindmap terwijl B onderzoekt hoe visueel een bepaalde inhoud kan worden weergegeven.",31,58,"assessor05"
333,"3649ba8db06d94c8b79911d940ba289c","E27","2/09/2015 10:01",1,"E27",820,7,"2","Twijfel maar gkozen voor B: Pagina A bevat veel ideeën, maar bij de visualisatie lijken de afbeeldingen vrij rechtstreeks uit de werkelijkheid zonder toevoeging te zijn overgenomen. Bij B wel keuze voor een gekozen voor een afbeelding met een aanpassing om een specifiek idee uit te beelden. Ik zie echter nu dat de tekening helemaal linksbovenaan wel een origineler visualisatie is, met de 'positieve reflectie'. Deze tekening vormt m.i. wel een uitzondering op de pagina",337,1159,"assessor05"
334,"201ff93bed1856e467a73afca839da06","29fe32912c306a55427d86d4a78dde8c","2/09/2015 10:14",1,"29fe32912c306a55427d86d4a78dde8c",426,4,"12","",2,440,"assessor05"
335,"D11","K2","2/09/2015 10:19",1,"D11",257,3,"7","Hoewel de arceer-techniek van B wel iets origineels heeft is A voor mijn gevoel meer gericht op het uitdrukken van betekenissen via visuele vormgeving",109,373,"assessor05"
336,"e6a2aa6b4f60dcdfcc0ab434c9db7457","E24","2/09/2015 10:28",1,"e6a2aa6b4f60dcdfcc0ab434c9db7457",443,3,"10","Originele keuze afbeeldingen en meer aandacht voor pagina als geheel",95,548,"assessor05"
337,"F13","786709f6b21b9f098a1c6cbea7fdac08","2/09/2015 19:18",1,"786709f6b21b9f098a1c6cbea7fdac08",52,3,"15","Techniek origineler + vorm origineler",32,99,"assessor03"
338,"K27","H4","2/09/2015 19:20",1,"H4",59,3,"6","tekentechniek beter",12,77,"assessor03"
339,"f48ab1373fce7ff56fa9d6dc6eb9787b","K14","2/09/2015 19:24",1,"f48ab1373fce7ff56fa9d6dc6eb9787b",208,3,"4","samengesteld beeld",6,218,"assessor03"
340,"F3","K27","2/09/2015 19:25",1,"K27",43,3,"3","eigen beeld gemaakt ",40,86,"assessor03"
341,"K27","C18","2/09/2015 19:27",1,"K27",105,4,"6","b wel heel simpel getekent",19,130,"assessor03"
342,"11932db57791df696a819ee36383b36f","K19","2/09/2015 19:29",1,"11932db57791df696a819ee36383b36f",55,5,"3","technisch kundiger",8,66,"assessor03"
343,"ac669b056cd33482fad55d756497b177","B6","2/09/2015 19:30",1,"B6",59,6,"4","compositorisch net iets interessanter",13,76,"assessor03"
344,"J11","H17","2/09/2015 19:31",1,"J11",44,4,"4","sferisch door materiaalgebruik",10,58,"assessor03"
345,"K14","ce5eb73aac1ac0832ad9ec9adedb38da","2/09/2015 19:31",1,"ce5eb73aac1ac0832ad9ec9adedb38da",19,2,"4","materiaal, compositie, beeldbewerking",14,37,"assessor03"
