judge,A,B,choseA,choseB
12,20196841,28196852,0,1
12,20196841,20196849,1,0
3,20196841,71201257,0,1
3,20196841,28196855,1,0
7,20196841,29196851,0,1
7,20196841,581996513,1,0
2,20196841,21196816,1,0
14,20196841,80201244,1,0
10,20196841,651996113,1,0
16,20196843,85196455,0,1
16,20196843,58199653,0,1
4,20196843,58199658,0,1
17,20196843,88196459,1,0
17,20196843,103201253,0,1
5,20196843,34196814,1,0
5,20196843,79201243,0,1
5,20196843,73201216,0,1
5,20196843,621996110,1,0
5,20196843,33196853,0,1
11,20196843,32196857,0,1
11,20196843,65199616,1,0
11,20196843,95196446,1,0
11,20196843,631996111,1,0
10,20196843,85196451,0,1
16,20196844,100196415,1,0
16,20196844,70201251,0,1
18,20196844,66199613,1,0
18,20196844,24196817,0,1
12,20196844,95196449,1,0
3,20196844,58199652,1,0
17,20196844,83201242,0,1
19,20196846,58199658,1,0
19,20196846,28196859,0,1
8,20196846,24196818,0,1
17,20196846,581996510,1,0
5,20196846,102196413,1,0
13,20196846,102196414,1,0
9,20196846,611996511,1,0
11,20196846,98196416,0,1
11,20196846,60199651,1,0
11,20196846,74201213,1,0
12,20196847,65199615,1,0
15,20196847,58199656,1,0
13,20196847,102196413,1,0
13,20196847,29196855,1,0
11,20196847,20196843,0,1
11,20196847,37196847,1,0
2,20196847,74201217,1,0
18,20196848,20196844,0,1
17,20196848,97196416,1,0
17,20196848,26196849,1,0
15,20196848,71201254,1,0
9,20196848,31196841,1,0
9,20196848,32196858,0,1
2,20196848,59199654,0,1
2,20196848,37196848,1,0
18,20196849,61199657,1,0
18,20196849,23196859,0,1
1,20196849,59199656,1,0
12,20196849,94196445,0,1
4,20196849,23196852,0,1
13,20196849,68201258,0,1
10,20196849,92196442,1,0
18,21196811,95196442,0,1
18,21196811,29196851,0,1
18,21196811,651996113,1,0
12,21196811,57199655,0,1
3,21196811,69201254,0,1
8,21196811,73201212,1,0
4,21196811,94196449,1,0
7,21196811,94196443,0,1
7,21196811,73201212,1,0
20,21196811,23196853,0,1
20,21196811,65199615,1,0
11,21196811,27196818,1,0
11,21196811,64199616,0,1
19,21196812,58199654,0,1
12,21196812,752012115,0,1
6,21196812,79201242,0,1
8,21196812,92196447,0,1
4,21196812,59199659,0,1
2,21196812,60199653,0,1
2,21196812,64199613,1,0
2,21196812,79201247,0,1
10,21196812,98196416,0,1
10,21196812,98196414,1,0
16,21196813,33196853,0,1
19,21196813,69201253,0,1
19,21196813,81201242,1,0
7,21196813,93196444,0,1
7,21196813,26196849,1,0
5,21196813,97196416,0,1
5,21196813,20196843,1,0
16,21196814,66199619,0,1
18,21196814,59199653,0,1
18,21196814,76201215,1,0
8,21196814,71201257,0,1
8,21196814,671996112,0,1
7,21196814,57199656,0,1
7,21196814,65199611,0,1
5,21196814,29196858,0,1
15,21196814,96196442,0,1
15,21196814,34196818,0,1
9,21196814,581996513,0,1
2,21196814,64199618,0,1
12,21196816,661996110,1,0
3,21196816,29196853,1,0
2,21196816,601996511,0,1
18,21196818,33196853,0,1
18,21196818,85196453,1,0
1,21196818,63199617,1,0
5,21196818,77201211,1,0
13,21196818,33196858,0,1
11,21196818,23196859,0,1
11,21196818,1021964110,1,0
2,21196818,66199612,1,0
2,21196818,601996513,0,1
2,21196818,91196443,1,0
14,21196818,36196849,0,1
14,21196818,61199652,1,0
16,21196819,67199614,1,0
16,21196819,631996112,0,1
7,21196819,24196814,1,0
13,21196819,71201251,0,1
13,21196819,36196847,0,1
13,21196819,71201255,0,1
9,21196819,31196849,0,1
11,21196819,60199657,0,1
2,21196819,98196413,1,0
2,21196819,581996510,0,1
14,21196819,79201248,1,0
14,21196819,61199654,0,1
16,22196841,65199617,1,0
3,22196841,80201247,1,0
8,22196841,37196844,0,1
8,22196841,581996511,1,0
7,22196841,631996111,1,0
16,22196843,752012118,1,0
18,22196843,63199618,1,0
18,22196843,57199652,0,1
1,22196843,73201211,1,0
19,22196843,75201211,1,0
6,22196843,78201218,1,0
7,22196843,58199652,1,0
20,22196843,63199613,1,0
11,22196843,86196459,1,0
16,22196844,103201257,1,0
19,22196844,62199611,1,0
4,22196844,97196416,0,1
7,22196844,60199658,1,0
5,22196844,101196419,0,1
13,22196844,80201242,0,1
13,22196844,77201212,1,0
11,22196844,103201251,1,0
2,22196844,29196859,0,1
12,22196847,72201258,1,0
4,22196847,27196818,1,0
7,22196847,621996112,1,0
13,22196847,86196456,1,0
11,22196847,87196458,1,0
2,22196847,103201258,1,0
2,22196847,31196848,0,1
1,22196848,67199614,1,0
19,22196848,78201217,0,1
19,22196848,22196841,1,0
4,22196848,66199615,1,0
17,22196848,84201242,1,0
13,22196848,21196819,1,0
9,22196848,101196417,1,0
11,22196848,661996111,1,0
11,22196848,100196413,1,0
18,22196849,20196847,1,0
19,22196849,26196849,1,0
3,22196849,86196455,1,0
3,22196849,98196416,1,0
8,22196849,30196814,1,0
7,22196849,561996510,0,1
7,22196849,62199614,1,0
14,22196849,26196847,0,1
16,23196851,29196851,0,1
16,23196851,101196413,1,0
12,23196851,74201214,1,0
12,23196851,95196442,0,1
3,23196851,57199652,1,0
8,23196851,91196443,1,0
4,23196851,84201248,1,0
7,23196851,28196855,1,0
15,23196851,92196443,0,1
15,23196851,56199658,1,0
6,23196852,70201255,1,0
8,23196852,94196445,1,0
4,23196852,25196813,1,0
5,23196852,101196419,1,0
5,23196852,70201254,1,0
9,23196852,591996512,1,0
16,23196853,91196448,1,0
19,23196853,56199656,0,1
19,23196853,34196813,1,0
7,23196853,21196818,1,0
20,23196853,59199659,1,0
11,23196853,60199653,1,0
11,23196853,33196859,0,1
19,23196856,57199654,0,1
19,23196856,91196449,1,0
19,23196856,101196412,0,1
19,23196856,752012112,1,0
12,23196856,951964410,0,1
12,23196856,57199657,1,0
12,23196856,26196849,0,1
6,23196856,83201245,1,0
4,23196856,99196411,0,1
15,23196856,66199611,1,0
2,23196856,74201218,1,0
10,23196856,64199612,1,0
19,23196857,86196452,0,1
19,23196857,752012115,1,0
19,23196857,86196455,0,1
12,23196857,30196816,1,0
4,23196857,30196812,1,0
7,23196857,77201217,1,0
20,23196857,571996510,1,0
9,23196857,59199657,1,0
10,23196857,87196453,1,0
1,23196858,87196452,1,0
3,23196858,92196444,1,0
8,23196858,67199619,1,0
7,23196858,81201245,1,0
20,23196858,64199614,1,0
20,23196858,95196447,0,1
20,23196858,65199618,1,0
15,23196858,83201241,1,0
13,23196858,591996512,1,0
9,23196858,651996111,1,0
10,23196858,91196448,1,0
10,23196858,63199613,1,0
18,23196859,83201241,1,0
1,23196859,89196459,1,0
19,23196859,621996111,1,0
19,23196859,80201247,0,1
19,23196859,32196853,1,0
5,23196859,90196455,1,0
5,23196859,70201255,1,0
15,23196859,24196816,1,0
11,23196859,69201256,1,0
2,23196859,98196412,1,0
1,24196811,56199654,0,1
12,24196811,95196442,0,1
12,24196811,671996113,1,0
6,24196811,67199616,0,1
20,24196811,64199612,1,0
13,24196811,101196414,1,0
13,24196811,25196813,0,1
1,24196813,101196412,0,1
1,24196813,631996110,1,0
3,24196813,81201241,1,0
7,24196813,951964410,0,1
15,24196813,58199651,1,0
9,24196813,82201248,1,0
9,24196813,101196414,1,0
11,24196813,57199658,1,0
2,24196813,36196847,0,1
2,24196813,98196412,0,1
3,24196814,981964110,0,1
7,24196814,80201243,0,1
7,24196814,70201253,0,1
5,24196814,61199651,0,1
2,24196814,601996513,0,1
2,24196814,71201257,0,1
18,24196815,72201258,0,1
1,24196815,95196447,0,1
19,24196815,86196456,0,1
3,24196815,103201252,0,1
8,24196815,82201241,0,1
20,24196815,81201246,1,0
9,24196815,23196852,0,1
16,24196816,96196445,1,0
12,24196816,581996511,1,0
12,24196816,64199618,1,0
4,24196816,85196452,0,1
4,24196816,23196856,1,0
7,24196816,83201245,1,0
9,24196816,21196819,1,0
2,24196816,88196454,1,0
2,24196816,79201242,0,1
10,24196816,88196459,1,0
10,24196816,36196847,0,1
18,24196817,69201253,1,0
8,24196817,67199615,1,0
7,24196817,82201241,1,0
17,24196817,30196814,1,0
5,24196817,78201212,1,0
2,24196817,561996510,1,0
14,24196817,93196446,1,0
18,24196818,88196455,0,1
3,24196818,37196841,1,0
8,24196818,83201245,1,0
7,24196818,25196813,1,0
9,24196818,94196446,0,1
16,25196811,66199618,1,0
16,25196811,93196449,0,1
19,25196811,93196445,0,1
19,25196811,58199654,1,0
12,25196811,561996513,0,1
12,25196811,83201241,1,0
3,25196811,31196848,0,1
3,25196811,56199657,1,0
7,25196811,64199612,1,0
9,25196811,68201257,0,1
2,25196811,26196841,0,1
16,25196812,58199653,0,1
18,25196812,27196817,0,1
18,25196812,32196853,1,0
19,25196812,61199657,0,1
5,25196812,83201243,0,1
15,25196812,80201246,1,0
1,25196813,22196841,0,1
1,25196813,84201246,1,0
12,25196813,78201217,1,0
3,25196813,22196841,0,1
3,25196813,81201246,1,0
6,25196813,32196855,0,1
8,25196813,99196411,1,0
4,25196813,34196818,0,1
17,25196813,651996113,1,0
5,25196813,62199614,1,0
13,25196813,62199617,1,0
2,25196813,71201257,0,1
16,25196816,33196851,0,1
15,25196816,24196816,0,1
14,25196816,80201244,0,1
10,25196816,87196455,0,1
1,25196817,76201214,0,1
19,25196817,76201212,0,1
8,25196817,86196459,0,1
8,25196817,60199654,1,0
7,25196817,69201251,0,1
7,25196817,661996113,1,0
5,25196817,98196415,1,0
13,25196817,78201214,0,1
11,25196817,84201241,0,1
1,25196818,56199659,0,1
1,25196818,56199657,1,0
12,25196818,90196453,1,0
13,25196818,103201252,0,1
13,25196818,21196818,1,0
14,25196818,89196456,0,1
14,25196818,71201258,1,0
1,25196819,61199655,0,1
1,25196819,77201218,1,0
1,25196819,70201254,1,0
12,25196819,79201242,1,0
4,25196819,103201253,0,1
4,25196819,23196857,0,1
4,25196819,34196813,1,0
7,25196819,31196848,0,1
20,25196819,33196859,0,1
15,25196819,82201246,1,0
15,25196819,29196857,0,1
10,25196819,95196444,0,1
18,26196841,65199619,1,0
19,26196841,29196851,0,1
12,26196841,37196843,0,1
12,26196841,95196449,1,0
12,26196841,74201216,1,0
12,26196841,24196816,0,1
20,26196841,78201211,1,0
13,26196841,82201243,1,0
9,26196841,29196851,0,1
9,26196841,63199612,1,0
2,26196841,80201244,0,1
14,26196841,752012113,1,0
3,26196843,61199652,1,0
3,26196843,70201258,1,0
6,26196843,76201214,0,1
6,26196843,601996510,1,0
6,26196843,79201241,0,1
17,26196843,65199617,1,0
17,26196843,59199658,0,1
11,26196843,79201244,1,0
14,26196843,77201213,1,0
10,26196843,65199613,1,0
18,26196845,99196413,0,1
3,26196845,33196851,1,0
20,26196845,88196456,0,1
9,26196845,37196841,0,1
6,26196846,76201215,1,0
6,26196846,89196454,0,1
4,26196846,77201217,1,0
4,26196846,36196847,0,1
5,26196846,91196443,1,0
15,26196846,96196442,1,0
15,26196846,88196455,1,0
2,26196846,57199655,1,0
2,26196846,89196458,0,1
17,26196847,84201248,1,0
17,26196847,64199616,0,1
20,26196847,65199615,1,0
9,26196847,37196844,1,0
9,26196847,29196851,1,0
9,26196847,57199656,1,0
2,26196847,73201214,0,1
2,26196847,59199656,1,0
14,26196847,88196454,1,0
10,26196847,72201256,1,0
18,26196848,83201245,1,0
18,26196848,100196412,0,1
18,26196848,77201211,1,0
8,26196848,32196852,1,0
17,26196848,82201247,1,0
5,26196848,56199658,1,0
15,26196848,78201212,1,0
15,26196848,94196442,1,0
9,26196848,37196843,1,0
2,26196848,86196454,1,0
2,26196848,57199652,0,1
14,26196848,671996112,1,0
10,26196848,37196846,1,0
10,26196848,63199619,1,0
19,26196849,98196414,0,1
12,26196849,34196814,1,0
12,26196849,661996113,1,0
7,26196849,68201252,0,1
15,26196849,89196458,1,0
2,26196849,79201247,1,0
2,26196849,611996512,0,1
10,26196849,611996513,1,0
10,26196849,70201256,0,1
3,27196812,31196849,0,1
6,27196812,100196412,0,1
17,27196812,25196813,0,1
15,27196812,77201212,0,1
9,27196812,90196456,0,1
2,27196812,66199612,0,1
2,27196812,661996111,0,1
10,27196812,621996112,0,1
18,27196813,66199614,0,1
1,27196813,103201256,0,1
12,27196813,64199612,1,0
6,27196813,74201217,1,0
4,27196813,96196446,0,1
4,27196813,85196458,1,0
17,27196813,97196411,0,1
17,27196813,67199612,1,0
5,27196813,661996110,0,1
9,27196813,21196814,1,0
9,27196813,37196841,0,1
11,27196813,59199658,0,1
11,27196813,56199653,1,0
3,27196814,651996111,0,1
8,27196814,28196852,0,1
7,27196814,37196844,0,1
7,27196814,80201244,1,0
11,27196814,58199651,0,1
14,27196814,30196814,0,1
16,27196816,65199619,1,0
6,27196816,67199616,1,0
4,27196816,71201252,1,0
7,27196816,561996510,1,0
7,27196816,33196858,1,0
17,27196816,100196419,1,0
18,27196817,68201252,1,0
3,27196817,98196415,0,1
7,27196817,91196448,1,0
17,27196817,90196451,1,0
15,27196817,69201251,1,0
15,27196817,74201212,1,0
13,27196817,77201216,1,0
11,27196817,84201241,1,0
11,27196817,56199658,1,0
16,27196818,561996511,1,0
16,27196818,74201215,1,0
16,27196818,32196852,0,1
18,27196818,82201245,0,1
19,27196818,20196849,1,0
12,27196818,58199658,1,0
12,27196818,581996510,1,0
3,27196818,67199612,1,0
4,27196818,661996111,0,1
4,27196818,651996111,1,0
5,27196818,95196447,0,1
5,27196818,61199657,1,0
15,27196818,20196848,0,1
13,27196818,20196843,0,1
13,27196818,58199655,1,0
9,27196818,571996510,1,0
9,27196818,91196444,0,1
11,27196818,60199659,0,1
1,27196819,94196441,1,0
1,27196819,87196454,0,1
19,27196819,77201217,0,1
12,27196819,86196451,0,1
3,27196819,601996512,1,0
8,27196819,21196814,1,0
17,27196819,103201252,0,1
15,27196819,23196859,0,1
15,27196819,77201216,1,0
13,27196819,27196817,0,1
13,27196819,99196417,1,0
11,27196819,661996112,0,1
11,27196819,34196814,1,0
2,27196819,34196817,1,0
2,27196819,56199651,0,1
2,27196819,20196847,0,1
2,27196819,67199611,1,0
12,28196852,28196859,1,0
12,28196852,81201246,1,0
3,28196852,88196454,1,0
3,28196852,81201241,0,1
8,28196852,61199651,1,0
4,28196852,97196411,1,0
4,28196852,34196818,1,0
7,28196852,591996513,1,0
9,28196852,60199652,1,0
11,28196852,96196445,1,0
11,28196852,56199658,0,1
10,28196852,65199618,1,0
19,28196853,31196841,1,0
12,28196853,60199652,1,0
12,28196853,100196412,0,1
3,28196853,81201244,0,1
3,28196853,63199612,1,0
3,28196853,103201251,1,0
6,28196853,58199657,1,0
7,28196853,81201248,1,0
9,28196853,37196848,1,0
2,28196853,103201254,1,0
10,28196853,81201246,1,0
18,28196854,26196845,1,0
18,28196854,56199657,1,0
8,28196854,28196853,0,1
8,28196854,97196413,1,0
7,28196854,24196817,0,1
17,28196854,32196852,0,1
17,28196854,57199652,1,0
20,28196854,23196852,1,0
5,28196854,89196458,1,0
5,28196854,26196847,1,0
15,28196854,60199654,1,0
10,28196854,87196454,0,1
16,28196855,92196444,0,1
12,28196855,26196841,1,0
12,28196855,73201215,1,0
3,28196855,98196414,0,1
3,28196855,641996111,1,0
6,28196855,34196816,0,1
20,28196855,71201256,1,0
13,28196855,69201251,0,1
13,28196855,82201244,1,0
13,28196855,59199659,0,1
9,28196855,82201243,1,0
9,28196855,65199611,1,0
9,28196855,33196854,0,1
9,28196855,100196415,0,1
11,28196855,631996112,1,0
11,28196855,22196848,0,1
2,28196855,84201241,0,1
3,28196856,59199657,1,0
6,28196856,103201254,1,0
17,28196856,32196853,1,0
15,28196856,57199652,1,0
11,28196856,78201218,1,0
3,28196857,81201247,0,1
3,28196857,56199655,1,0
6,28196857,641996110,1,0
4,28196857,72201257,1,0
5,28196857,78201211,0,1
13,28196857,58199653,1,0
9,28196857,70201254,1,0
11,28196857,97196416,1,0
19,28196859,57199652,1,0
19,28196859,82201245,0,1
4,28196859,94196445,0,1
11,28196859,59199656,0,1
2,28196859,37196843,1,0
14,28196859,99196412,1,0
16,29196851,90196459,1,0
18,29196851,60199659,1,0
19,29196851,58199653,1,0
12,29196851,61199658,1,0
12,29196851,101196414,1,0
12,29196851,621996110,1,0
7,29196851,24196818,1,0
7,29196851,37196841,1,0
5,29196851,26196847,0,1
13,29196851,25196817,1,0
9,29196851,30196816,1,0
2,29196851,34196819,1,0
10,29196851,101196419,1,0
6,29196853,96196446,1,0
6,29196853,91196443,1,0
8,29196853,30196816,1,0
4,29196853,80201243,1,0
5,29196853,25196813,1,0
13,29196853,36196843,1,0
14,29196853,70201257,1,0
18,29196855,85196459,0,1
18,29196855,85196459,0,1
12,29196855,61199654,1,0
7,29196855,651996110,0,1
17,29196855,100196412,1,0
15,29196855,66199614,1,0
14,29196855,68201251,1,0
10,29196855,601996513,0,1
19,29196856,85196458,1,0
12,29196856,36196841,1,0
11,29196856,74201212,1,0
11,29196856,22196847,0,1
16,29196857,35196857,1,0
16,29196857,35196856,0,1
19,29196857,87196458,1,0
19,29196857,561996513,1,0
12,29196857,25196816,1,0
7,29196857,651996110,1,0
20,29196857,31196845,1,0
15,29196857,94196445,1,0
14,29196857,22196841,0,1
14,29196857,74201214,1,0
18,29196858,70201255,1,0
18,29196858,22196849,0,1
19,29196858,72201255,1,0
12,29196858,60199656,1,0
12,29196858,79201243,1,0
3,29196858,34196816,1,0
5,29196858,33196853,1,0
2,29196858,891964511,1,0
14,29196858,81201247,1,0
10,29196858,68201254,1,0
16,29196859,84201248,1,0
3,29196859,68201253,1,0
6,29196859,102196413,1,0
6,29196859,74201212,1,0
7,29196859,64199617,1,0
20,29196859,581996512,1,0
2,29196859,101196411,1,0
2,29196859,34196811,1,0
14,29196859,32196852,1,0
10,29196859,98196414,1,0
16,30196811,37196847,0,1
16,30196811,97196412,1,0
18,30196811,74201213,1,0
18,30196811,74201214,0,1
18,30196811,98196413,0,1
18,30196811,61199657,1,0
4,30196811,86196451,0,1
4,30196811,34196814,1,0
17,30196811,72201251,1,0
19,30196812,752012112,0,1
3,30196812,33196854,0,1
8,30196812,30196814,0,1
4,30196812,99196412,0,1
11,30196812,36196842,0,1
11,30196812,78201212,1,0
2,30196812,70201258,1,0
10,30196812,99196413,0,1
3,30196813,34196811,0,1
3,30196813,78201218,1,0
20,30196813,35196858,0,1
10,30196813,87196453,1,0
18,30196814,80201244,0,1
3,30196814,83201243,0,1
4,30196814,22196848,1,0
7,30196814,95196446,1,0
5,30196814,56199657,1,0
9,30196814,71201253,0,1
10,30196814,68201257,0,1
10,30196814,561996513,1,0
10,30196814,611996513,0,1
6,30196815,85196455,1,0
6,30196815,64199614,1,0
6,30196815,89196456,0,1
4,30196815,69201258,0,1
7,30196815,611996511,0,1
11,30196815,661996111,1,0
18,30196816,101196411,1,0
18,30196816,86196451,0,1
18,30196816,101196411,1,0
12,30196816,581996513,0,1
8,30196816,97196415,0,1
17,30196816,61199652,1,0
9,30196816,70201254,0,1
10,30196816,59199658,0,1
19,30196818,65199611,1,0
6,30196818,83201247,1,0
6,30196818,72201252,1,0
5,30196818,561996512,0,1
15,30196818,59199654,0,1
9,30196818,61199651,0,1
11,30196818,27196814,1,0
11,30196818,69201258,0,1
2,30196818,35196856,1,0
2,30196818,71201257,1,0
2,30196818,69201251,0,1
18,31196841,62199618,1,0
18,31196841,70201256,0,1
7,31196841,62199615,1,0
13,31196841,98196415,1,0
19,31196843,62199616,1,0
19,31196843,35196856,0,1
7,31196843,34196813,1,0
20,31196843,100196412,0,1
9,31196843,28196852,0,1
9,31196843,62199611,1,0
11,31196843,752012112,1,0
10,31196843,34196814,1,0
10,31196843,61199653,0,1
1,31196845,67199617,1,0
20,31196845,32196852,0,1
9,31196845,752012117,1,0
11,31196845,951964410,1,0
2,31196845,83201247,0,1
2,31196845,64199612,1,0
15,31196846,72201253,1,0
13,31196846,66199619,0,1
2,31196846,77201215,1,0
2,31196846,35196854,0,1
3,31196847,92196447,1,0
20,31196847,93196445,1,0
5,31196847,94196445,1,0
5,31196847,25196813,0,1
5,31196847,66199613,1,0
19,31196848,85196458,1,0
3,31196848,601996510,1,0
8,31196848,671996112,1,0
7,31196848,70201253,1,0
5,31196848,72201255,1,0
13,31196848,31196841,0,1
13,31196848,78201213,1,0
2,31196848,21196812,1,0
14,31196848,102196419,0,1
19,31196849,29196857,0,1
7,31196849,22196843,0,1
5,31196849,611996511,1,0
11,31196849,35196857,0,1
14,31196849,90196451,0,1
3,32196851,88196456,1,0
4,32196851,99196411,0,1
4,32196851,31196846,1,0
17,32196851,83201244,0,1
20,32196851,581996511,0,1
20,32196851,88196453,1,0
15,32196851,62199613,1,0
9,32196851,28196855,1,0
11,32196851,74201216,1,0
16,32196852,82201247,1,0
12,32196852,79201244,1,0
8,32196852,91196449,0,1
4,32196852,581996510,0,1
4,32196852,69201258,1,0
17,32196852,23196856,1,0
20,32196852,65199617,1,0
9,32196852,78201214,1,0
14,32196852,58199652,0,1
18,32196853,29196859,0,1
1,32196853,80201246,1,0
19,32196853,79201243,0,1
3,32196853,103201258,1,0
6,32196853,98196416,0,1
17,32196853,93196447,0,1
20,32196853,79201245,1,0
15,32196853,32196857,0,1
9,32196853,58199651,1,0
18,32196855,92196444,0,1
1,32196855,631996112,0,1
1,32196855,59199656,0,1
8,32196855,71201251,1,0
4,32196855,24196816,0,1
4,32196855,30196815,1,0
15,32196855,90196459,0,1
15,32196855,591996510,1,0
10,32196855,76201215,1,0
10,32196855,671996112,0,1
1,32196857,73201217,1,0
6,32196857,601996511,1,0
4,32196857,95196446,1,0
17,32196857,20196848,0,1
17,32196857,64199617,1,0
15,32196857,63199613,1,0
13,32196857,83201246,1,0
11,32196857,85196459,1,0
11,32196857,101196414,1,0
14,32196857,58199656,1,0
8,32196858,85196456,1,0
4,32196858,991964110,1,0
5,32196858,32196852,1,0
15,32196858,62199618,1,0
13,32196858,20196849,1,0
9,32196858,83201241,1,0
11,32196858,25196817,1,0
11,32196858,33196851,1,0
11,32196858,60199657,1,0
14,32196858,57199656,1,0
10,32196858,89196456,1,0
18,32196859,752012114,1,0
12,32196859,60199651,1,0
12,32196859,92196444,0,1
6,32196859,62199617,1,0
6,32196859,91196442,0,1
8,32196859,58199657,1,0
8,32196859,33196859,0,1
5,32196859,561996510,1,0
13,32196859,78201217,1,0
16,33196851,77201212,1,0
8,33196851,74201215,1,0
4,33196851,71201253,1,0
17,33196851,74201218,1,0
17,33196851,671996112,0,1
20,33196851,68201253,0,1
11,33196851,74201217,1,0
14,33196851,651996113,0,1
18,33196853,66199614,1,0
1,33196853,20196849,0,1
1,33196853,89196456,1,0
3,33196853,64199614,0,1
14,33196853,24196817,0,1
1,33196854,91196444,0,1
3,33196854,27196814,1,0
6,33196854,83201241,1,0
4,33196854,561996512,1,0
17,33196854,581996510,0,1
20,33196854,66199612,1,0
19,33196856,31196847,0,1
19,33196856,82201245,1,0
3,33196856,85196451,1,0
8,33196856,87196456,1,0
17,33196856,591996512,1,0
14,33196856,63199619,1,0
18,33196857,68201254,1,0
18,33196857,58199655,0,1
1,33196857,641996110,1,0
19,33196857,57199651,1,0
6,33196857,72201257,1,0
6,33196857,101196411,1,0
7,33196857,611996510,1,0
7,33196857,84201248,1,0
2,33196857,65199617,1,0
16,33196858,103201257,1,0
18,33196858,24196818,1,0
19,33196858,611996511,0,1
8,33196858,73201211,1,0
7,33196858,34196819,1,0
7,33196858,27196816,0,1
15,33196858,78201212,1,0
13,33196858,61199655,0,1
